
CellTypeCount
==================== 
Count,Time, CellType
5071.0,2,Fragment-LogNorm
5174.0,3,Fragment-LogNorm
5264.0,4,Fragment-LogNorm
5356.0,5,Fragment-LogNorm
5451.0,6,Fragment-LogNorm
5536.0,7,Fragment-LogNorm
5608.0,8,Fragment-LogNorm
5688.0,9,Fragment-LogNorm
5768.0,10,Fragment-LogNorm
5840.0,11,Fragment-LogNorm
5896.0,12,Fragment-LogNorm
5965.0,13,Fragment-LogNorm
6026.0,14,Fragment-LogNorm
6095.0,15,Fragment-LogNorm
6156.0,16,Fragment-LogNorm
6218.0,17,Fragment-LogNorm
6281.0,18,Fragment-LogNorm
6342.0,19,Fragment-LogNorm
6411.0,20,Fragment-LogNorm
6480.0,21,Fragment-LogNorm
6545.0,22,Fragment-LogNorm
6607.0,23,Fragment-LogNorm
6669.0,24,Fragment-LogNorm
6728.0,25,Fragment-LogNorm
6779.0,26,Fragment-LogNorm
6830.0,27,Fragment-LogNorm
6876.0,28,Fragment-LogNorm
6931.0,29,Fragment-LogNorm
6976.0,30,Fragment-LogNorm
7037.0,31,Fragment-LogNorm
7093.0,32,Fragment-LogNorm
7155.0,33,Fragment-LogNorm
7218.0,34,Fragment-LogNorm
7270.0,35,Fragment-LogNorm
7332.0,36,Fragment-LogNorm
7373.0,37,Fragment-LogNorm
7428.0,38,Fragment-LogNorm
7482.0,39,Fragment-LogNorm
7541.0,40,Fragment-LogNorm
7604.0,41,Fragment-LogNorm
7650.0,42,Fragment-LogNorm
7693.0,43,Fragment-LogNorm
7749.0,44,Fragment-LogNorm
7802.0,45,Fragment-LogNorm
7859.0,46,Fragment-LogNorm
7921.0,47,Fragment-LogNorm
7969.0,48,Fragment-LogNorm
8024.0,49,Fragment-LogNorm
8077.0,50,Fragment-LogNorm
8121.0,51,Fragment-LogNorm
8169.0,52,Fragment-LogNorm
8223.0,53,Fragment-LogNorm
8282.0,54,Fragment-LogNorm
8332.0,55,Fragment-LogNorm
8390.0,56,Fragment-LogNorm
8447.0,57,Fragment-LogNorm
8497.0,58,Fragment-LogNorm
8551.0,59,Fragment-LogNorm
8606.0,60,Fragment-LogNorm
8666.0,61,Fragment-LogNorm
8715.0,62,Fragment-LogNorm
8763.0,63,Fragment-LogNorm
8824.0,64,Fragment-LogNorm
8869.0,65,Fragment-LogNorm
8948.0,66,Fragment-LogNorm
8999.0,67,Fragment-LogNorm
9051.0,68,Fragment-LogNorm
9098.0,69,Fragment-LogNorm
9144.0,70,Fragment-LogNorm
9188.0,71,Fragment-LogNorm
9239.0,72,Fragment-LogNorm
9282.0,73,Fragment-LogNorm
9325.0,74,Fragment-LogNorm
9373.0,75,Fragment-LogNorm
9417.0,76,Fragment-LogNorm
9465.0,77,Fragment-LogNorm
9515.0,78,Fragment-LogNorm
9572.0,79,Fragment-LogNorm
9624.0,80,Fragment-LogNorm
9672.0,81,Fragment-LogNorm
9725.0,82,Fragment-LogNorm
9778.0,83,Fragment-LogNorm
9841.0,84,Fragment-LogNorm
9891.0,85,Fragment-LogNorm
9947.0,86,Fragment-LogNorm
10002.0,87,Fragment-LogNorm
10047.0,88,Fragment-LogNorm
10089.0,89,Fragment-LogNorm
10129.0,90,Fragment-LogNorm
10178.0,91,Fragment-LogNorm
10232.0,92,Fragment-LogNorm
10285.0,93,Fragment-LogNorm
10334.0,94,Fragment-LogNorm
10389.0,95,Fragment-LogNorm
10446.0,96,Fragment-LogNorm
10497.0,97,Fragment-LogNorm
10554.0,98,Fragment-LogNorm
10614.0,99,Fragment-LogNorm
10667.0,100,Fragment-LogNorm
10723.0,101,Fragment-LogNorm
10771.0,102,Fragment-LogNorm
10815.0,103,Fragment-LogNorm
10875.0,104,Fragment-LogNorm
10930.0,105,Fragment-LogNorm
10976.0,106,Fragment-LogNorm
11039.0,107,Fragment-LogNorm
11090.0,108,Fragment-LogNorm
11134.0,109,Fragment-LogNorm
11191.0,110,Fragment-LogNorm
11244.0,111,Fragment-LogNorm
11301.0,112,Fragment-LogNorm
11351.0,113,Fragment-LogNorm
11409.0,114,Fragment-LogNorm
11473.0,115,Fragment-LogNorm
11541.0,116,Fragment-LogNorm
11591.0,117,Fragment-LogNorm
11653.0,118,Fragment-LogNorm
11700.0,119,Fragment-LogNorm
11758.0,120,Fragment-LogNorm
11807.0,121,Fragment-LogNorm
11854.0,122,Fragment-LogNorm
