
Volume
 ==================== 
Volume,Unit,Category,Time,TrackID,ID,
68.2429,µm^3,Spot,5,1000130081,130081,
16.544,µm^3,Spot,5,1000014633,130906,
51.6993,µm^3,Spot,5,1000014915,131163,
41.3595,µm^3,Spot,5,1000074239,131962,
14.476,µm^3,Spot,5,1000018381,134403,
28.9518,µm^3,Spot,5,1000019405,135344,
10.34,µm^3,Spot,5,1000135496,135496,
22.7479,µm^3,Spot,5,1000136105,136105,
26.8838,µm^3,Spot,5,1000023639,136650,
14.476,µm^3,Spot,5,1000080712,138121,
20.6799,µm^3,Spot,5,1000022248,138370,
12.408,µm^3,Spot,5,1000138478,138478,
28.9518,µm^3,Spot,5,1000023039,139141,
97.1941,µm^3,Spot,5,1000111173,139444,
37.2236,µm^3,Spot,5,1000082174,139613,
28.9518,µm^3,Spot,5,1000026990,140299,
35.1557,µm^3,Spot,5,1000025863,141518,
12.408,µm^3,Spot,5,1000025898,141554,
18.6119,µm^3,Spot,5,1000025762,141715,
12.408,µm^3,Spot,5,1000026374,142006,
18.6119,µm^3,Spot,5,1000026660,142309,
26.8838,µm^3,Spot,5,1000026789,142442,
10.34,µm^3,Spot,5,1000024512,142605,
49.6314,µm^3,Spot,5,1000027048,142723,
43.4275,µm^3,Spot,5,1000027245,142911,
31.0197,µm^3,Spot,5,1000027656,143300,
28.9518,µm^3,Spot,5,1000028849,144692,
18.6119,µm^3,Spot,5,1000028860,144697,
12.408,µm^3,Spot,5,1000058544,145135,
12.408,µm^3,Spot,5,1000029962,145462,
24.8158,µm^3,Spot,5,1000145899,145899,
12.408,µm^3,Spot,5,1000117221,146100,
26.8838,µm^3,Spot,6,1000000426,147253,
35.1557,µm^3,Spot,6,1000034728,149987,
8.27204,µm^3,Spot,6,1000005575,151677,
45.4954,µm^3,Spot,6,1000094504,151710,
20.6799,µm^3,Spot,6,1000008102,154042,
10.34,µm^3,Spot,6,1000011182,156798,
41.3595,µm^3,Spot,6,1000071729,157999,
62.039,µm^3,Spot,6,1000158060,158060,
72.3788,µm^3,Spot,6,1000069455,158557,
20.6799,µm^3,Spot,6,1000130081,158794,
14.476,µm^3,Spot,6,1000014633,159593,
45.4954,µm^3,Spot,6,1000014915,159795,
37.2236,µm^3,Spot,6,1000074239,160614,
12.408,µm^3,Spot,6,1000018381,163048,
31.0197,µm^3,Spot,6,1000135496,164167,
10.34,µm^3,Spot,6,1000165097,165097,
31.0197,µm^3,Spot,6,1000136105,165141,
12.408,µm^3,Spot,6,1000023639,165409,
39.2916,µm^3,Spot,6,1000019405,166686,
14.476,µm^3,Spot,6,1000022248,166839,
24.8158,µm^3,Spot,6,1000080712,166933,
24.8158,µm^3,Spot,6,1000138478,167324,
12.408,µm^3,Spot,6,1000023039,168006,
88.9223,µm^3,Spot,6,1000111173,168315,
