
Track Duration
 ==================== 
Track Duration,Unit,Category,ID,
194.175,s,Track,1000000426,
310.704,s,Track,1000005575,
854.253,s,Track,1000008102,
194.175,s,Track,1000011182,
504.759,s,Track,1000014633,
310.704,s,Track,1000014915,
349.472,s,Track,1000018381,
737.721,s,Track,1000019405,
194.175,s,Track,1000022248,
194.175,s,Track,1000023039,
194.175,s,Track,1000023639,
854.253,s,Track,1000024512,
232.921,s,Track,1000025762,
349.472,s,Track,1000025863,
194.175,s,Track,1000025898,
659.827,s,Track,1000026374,
465.982,s,Track,1000026660,
232.921,s,Track,1000026789,
271.679,s,Track,1000026990,
582.304,s,Track,1000027048,
310.704,s,Track,1000027245,
310.704,s,Track,1000027656,
194.175,s,Track,1000028849,
349.472,s,Track,1000028860,
310.704,s,Track,1000029962,
466.055,s,Track,1000034728,
232.975,s,Track,1000058544,
233.162,s,Track,1000069455,
388.44,s,Track,1000071729,
388.44,s,Track,1000074239,
582.285,s,Track,1000080712,
194.137,s,Track,1000082174,
233.229,s,Track,1000094504,
1010.06,s,Track,1000111173,
194.461,s,Track,1000117221,
233.087,s,Track,1000130081,
194.174,s,Track,1000135496,
194.174,s,Track,1000136105,
194.174,s,Track,1000138478,
1437.36,s,Track,1000145899,
233.02,s,Track,1000158060,
582.43,s,Track,1000165097,
504.8,s,Track,1000178867,
776.901,s,Track,1000196023,
310.587,s,Track,1000196749,
349.383,s,Track,1000199932,
310.625,s,Track,1000218062,
233.08,s,Track,1000221333,
233.08,s,Track,1000224234,
233.08,s,Track,1000224241,
310.625,s,Track,1000224431,
194.303,s,Track,1000226383,
310.625,s,Track,1000232501,
271.6,s,Track,1000244446,
232.804,s,Track,1000253547,
271.6,s,Track,1000257305,
582.446,s,Track,1000260417,
310.417,s,Track,1000260594,
815.707,s,Track,1000275823,
232.832,s,Track,1000278844,
388.249,s,Track,1000282540,
582.553,s,Track,1000282868,
427.133,s,Track,1000290426,
232.736,s,Track,1000290900,
737.917,s,Track,1000312915,
271.59,s,Track,1000320447,
193.926,s,Track,1000327258,
310.526,s,Track,1000338312,
388.271,s,Track,1000354440,
543.84,s,Track,1000354480,
854.647,s,Track,1000371442,
193.845,s,Track,1000373068,
349.494,s,Track,1000385100,
194.026,s,Track,1000401657,
232.962,s,Track,1000402605,
310.739,s,Track,1000405139,
621.671,s,Track,1000409035,
233.097,s,Track,1000421574,
233.097,s,Track,1000423376,
349.642,s,Track,1000429687,
388.721,s,Track,1000439186,
660.589,s,Track,1000449132,
1243.76,s,Track,1000454057,
349.721,s,Track,1000454567,
310.904,s,Track,1000488632,
233.132,s,Track,1000489329,
310.904,s,Track,1000493396,
233.323,s,Track,1000515291,
272.198,s,Track,1000522409,
272.198,s,Track,1000522415,
582.876,s,Track,1000534158,
388.769,s,Track,1000535289,
311.037,s,Track,1000549440,
194.304,s,Track,1000566277,
777.157,s,Track,1000569584,
699.498,s,Track,1000572485,
194.304,s,Track,1000574056,
349.833,s,Track,1000576160,
1360.17,s,Track,1000606742,
233.162,s,Track,1000623228,
427.395,s,Track,1000626063,
194.324,s,Track,1000628237,
349.785,s,Track,1000657926,
233.301,s,Track,1000667525,
621.728,s,Track,1000675627,
194.404,s,Track,1000684239,
1476.72,s,Track,1000686553,
777.192,s,Track,1000689377,
349.743,s,Track,1000690930,
194.404,s,Track,1000692325,
194.404,s,Track,1000695046,
505.194,s,Track,1000704730,
621.685,s,Track,1000705525,
194.277,s,Track,1000712057,
310.636,s,Track,1000728131,
271.868,s,Track,1000755087,
233.071,s,Track,1000764459,
233.001,s,Track,1000809896,
388.559,s,Track,1000811156,
194.233,s,Track,1000813964,
388.511,s,Track,1000825954,
349.665,s,Track,1000835089,
233.075,s,Track,1000839692,
233.104,s,Track,1000855659,
194.327,s,Track,1000856861,
194.327,s,Track,1000858553,
233.104,s,Track,1000860086,
699.76,s,Track,1000860289,
310.917,s,Track,1000864199,
194.327,s,Track,1000865808,
271.859,s,Track,1000866048,
349.699,s,Track,1000887899,
349.699,s,Track,1000890207,
232.982,s,Track,1000898844,
233.181,s,Track,1000926710,
622.333,s,Track,1000946144,
310.817,s,Track,1000953090,
271.985,s,Track,1000962165,
971.892,s,Track,1000976176,
194.404,s,Track,1000988049,
388.571,s,Track,1001007366,
505.433,s,Track,1001020468,
622.405,s,Track,1001028919,
194.304,s,Track,1001035449,
544.678,s,Track,1001045764,
349.794,s,Track,1001046137,
194.494,s,Track,1001054405,
467.065,s,Track,1001070831,
350.197,s,Track,1001074979,
467.065,s,Track,1001078337,
233.123,s,Track,1001087121,
660.688,s,Track,1001088762,
194.175,s,Track,1001088789,
194.175,s,Track,1001102674,
271.981,s,Track,1001104072,
1088,s,Track,1001115718,
699.707,s,Track,1001128302,
233.135,s,Track,1001128779,
311.249,s,Track,1001129977,
349.997,s,Track,1001132092,
233.135,s,Track,1001132873,
1088,s,Track,1001138880,
350.348,s,Track,1001148839,
660.894,s,Track,1001162429,
194.648,s,Track,1001183631,
350.374,s,Track,1001190228,
272.571,s,Track,1001205984,
311.429,s,Track,1001222072,
350.213,s,Track,1001223904,
233.832,s,Track,1001236985,
194.668,s,Track,1001244289,
194.668,s,Track,1001261153,
194.668,s,Track,1001265495,
816.046,s,Track,1001290709,
311.337,s,Track,1001298039,
194.884,s,Track,1001304416,
194.884,s,Track,1001307011,
194.884,s,Track,1001310725,
310.865,s,Track,1001347654,
233.453,s,Track,1001349662,
194.51,s,Track,1001351185,
233.223,s,Track,1001373018,
776.749,s,Track,1001374929,
543.768,s,Track,1001376957,
233.223,s,Track,1001382680,
271.909,s,Track,1001390095,
505.02,s,Track,1001399631,
621.494,s,Track,1001414282,
854.366,s,Track,1001432525,
193.997,s,Track,1001443126,
349.304,s,Track,1001444551,
271.549,s,Track,1001447832,
232.691,s,Track,1001459999,
465.782,s,Track,1001463577,
193.823,s,Track,1001470670,
310.685,s,Track,1001484970,
465.875,s,Track,1001498754,
310.685,s,Track,1001510065,
193.907,s,Track,1001511880,
893.127,s,Track,1001515348,
659.991,s,Track,1001524529,
1087.83,s,Track,1001524797,
426.932,s,Track,1001531007,
310.548,s,Track,1001535243,
193.961,s,Track,1001536213,
193.993,s,Track,1001549656,
233.016,s,Track,1001571482,
194.33,s,Track,1001585322,
349.52,s,Track,1001597972,
971.737,s,Track,1001634186,
194.307,s,Track,1001641521,
388.492,s,Track,1001649683,
271.968,s,Track,1001660310,
388.492,s,Track,1001662631,
233.091,s,Track,1001662802,
232.971,s,Track,1001692264,
194.094,s,Track,1001696991,
543.934,s,Track,1001705575,
699.375,s,Track,1001708522,
699.375,s,Track,1001717292,
194.213,s,Track,1001721190,
233.026,s,Track,1001721732,
271.858,s,Track,1001722530,
233.026,s,Track,1001723411,
271.714,s,Track,1001735688,
271.714,s,Track,1001739237,
232.835,s,Track,1001745981,
1087.99,s,Track,1001748846,
271.704,s,Track,1001774250,
194.185,s,Track,1001792466,
232.981,s,Track,1001800294,
388.598,s,Track,1001831823,
271.936,s,Track,1001838017,
505.072,s,Track,1001843531,
194.197,s,Track,1001850191,
349.721,s,Track,1001869026,
233.059,s,Track,1001872907,
544.017,s,Track,1001874170,
427.417,s,Track,1001876881,
271.952,s,Track,1001878744,
738.779,s,Track,1001889904,
310.908,s,Track,1001895167,
233.139,s,Track,1001896809,
194.246,s,Track,1001904297,
505.204,s,Track,1001904618,
427.517,s,Track,1001939884,
194.307,s,Track,1001942811,
388.638,s,Track,1001954731,
388.638,s,Track,1001968557,
622.213,s,Track,1001968819,
777.482,s,Track,1001978360,
349.842,s,Track,1002006710,
271.984,s,Track,1002029154,
738.591,s,Track,1002031500,
699.743,s,Track,1002047887,
699.743,s,Track,1002051985,
310.958,s,Track,1002059095,
272.103,s,Track,1002067444,
310.958,s,Track,1002067747,
389.082,s,Track,1002113497,
