
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
2.12192,µm,Spot,5,1000026990,140299,
2.13016,µm,Spot,5,1000025863,141518,
1.27938,µm,Spot,5,1000025898,141554,
2.99039,µm,Spot,5,1000025762,141715,
2.00627,µm,Spot,5,1000026374,142006,
1.84531,µm,Spot,5,1000026660,142309,
0.385556,µm,Spot,5,1000026789,142442,
4.60665,µm,Spot,5,1000024512,142605,
2.0498,µm,Spot,5,1000027048,142723,
1.0207,µm,Spot,5,1000027245,142911,
0.374055,µm,Spot,5,1000027656,143300,
3.25972,µm,Spot,5,1000028849,144692,
3.00953,µm,Spot,5,1000028860,144697,
1.78216,µm,Spot,5,1000058544,145135,
0.896134,µm,Spot,5,1000029962,145462,
0,µm,Spot,5,1000145899,145899,
0.493256,µm,Spot,5,1000117221,146100,
4.07927,µm,Spot,6,1000000426,147253,
0.974652,µm,Spot,6,1000034728,149987,
4.5603,µm,Spot,6,1000005575,151677,
2.54726,µm,Spot,6,1000094504,151710,
6.7124,µm,Spot,6,1000008102,154042,
4.84359,µm,Spot,6,1000011182,156798,
1.32649,µm,Spot,6,1000071729,157999,
0,µm,Spot,6,1000158060,158060,
2.84015,µm,Spot,6,1000069455,158557,
1.8203,µm,Spot,6,1000130081,158794,
3.55091,µm,Spot,6,1000014633,159593,
2.38288,µm,Spot,6,1000014915,159795,
3.01468,µm,Spot,6,1000074239,160614,
3.10456,µm,Spot,6,1000018381,163048,
3.98178,µm,Spot,6,1000135496,164167,
0,µm,Spot,6,1000165097,165097,
2.57538,µm,Spot,6,1000136105,165141,
2.3041,µm,Spot,6,1000023639,165409,
3.82901,µm,Spot,6,1000019405,166686,
3.91572,µm,Spot,6,1000022248,166839,
2.08887,µm,Spot,6,1000080712,166933,
4.71968,µm,Spot,6,1000138478,167324,
4.04815,µm,Spot,6,1000023039,168006,
3.83282,µm,Spot,6,1000111173,168315,
1.49363,µm,Spot,6,1000082174,168492,
3.99517,µm,Spot,6,1000026990,169213,
5.39687,µm,Spot,6,1000025863,170750,
5.51832,µm,Spot,6,1000025898,170777,
5.68184,µm,Spot,6,1000025762,170880,
3.40469,µm,Spot,6,1000026374,170923,
3.64583,µm,Spot,6,1000026660,171211,
3.08039,µm,Spot,6,1000026789,171326,
7.21159,µm,Spot,6,1000024512,171491,
1.79891,µm,Spot,6,1000027048,171600,
1.68941,µm,Spot,6,1000027245,171786,
2.38572,µm,Spot,6,1000027656,172144,
3.61758,µm,Spot,6,1000028849,173596,
2.97438,µm,Spot,6,1000028860,173606,
3.58196,µm,Spot,6,1000058544,174031,
3.17687,µm,Spot,6,1000029962,174373,
