
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
183.131,µm,Spot,Image 1,4,1000026789,115539,
93.8017,µm,Spot,Image 1,4,1000028860,115808,
92.4324,µm,Spot,Image 1,4,1000058544,116209,
129.012,µm,Spot,Image 1,4,1000029962,116546,
109.212,µm,Spot,Image 1,4,1000117221,117221,
86.9071,µm,Spot,Image 1,5,1000000426,118445,
87.598,µm,Spot,Image 1,5,1000034728,121251,
132.505,µm,Spot,Image 1,5,1000005575,122895,
138.321,µm,Spot,Image 1,5,1000094504,122921,
26.1031,µm,Spot,Image 1,5,1000008102,125190,
146.885,µm,Spot,Image 1,5,1000069455,126997,
27.2827,µm,Spot,Image 1,5,1000011182,128077,
173.921,µm,Spot,Image 1,5,1000071729,129533,
154.729,µm,Spot,Image 1,5,1000130081,130081,
105.776,µm,Spot,Image 1,5,1000014633,130906,
111.212,µm,Spot,Image 1,5,1000014915,131163,
78.6344,µm,Spot,Image 1,5,1000074239,131962,
69.6198,µm,Spot,Image 1,5,1000018381,134403,
80.0462,µm,Spot,Image 1,5,1000019405,135344,
147.021,µm,Spot,Image 1,5,1000135496,135496,
54.6918,µm,Spot,Image 1,5,1000136105,136105,
89.2199,µm,Spot,Image 1,5,1000023639,136650,
163.706,µm,Spot,Image 1,5,1000080712,138121,
110.174,µm,Spot,Image 1,5,1000022248,138370,
179.024,µm,Spot,Image 1,5,1000138478,138478,
138.319,µm,Spot,Image 1,5,1000023039,139141,
44.5098,µm,Spot,Image 1,5,1000111173,139444,
110.422,µm,Spot,Image 1,5,1000082174,139613,
81.481,µm,Spot,Image 1,5,1000026990,140299,
173.107,µm,Spot,Image 1,5,1000025863,141518,
52.412,µm,Spot,Image 1,5,1000025898,141554,
70.0976,µm,Spot,Image 1,5,1000025762,141715,
128.662,µm,Spot,Image 1,5,1000026374,142006,
82.6264,µm,Spot,Image 1,5,1000026660,142309,
181.229,µm,Spot,Image 1,5,1000026789,142442,
137.961,µm,Spot,Image 1,5,1000024512,142605,
61.998,µm,Spot,Image 1,5,1000027048,142723,
111.148,µm,Spot,Image 1,5,1000027245,142911,
50.3086,µm,Spot,Image 1,5,1000027656,143300,
91.244,µm,Spot,Image 1,5,1000028849,144692,
94.9109,µm,Spot,Image 1,5,1000028860,144697,
91.3365,µm,Spot,Image 1,5,1000058544,145135,
126.503,µm,Spot,Image 1,5,1000029962,145462,
124.489,µm,Spot,Image 1,5,1000145899,145899,
109.052,µm,Spot,Image 1,5,1000117221,146100,
85.9468,µm,Spot,Image 1,6,1000000426,147253,
86.0417,µm,Spot,Image 1,6,1000034728,149987,
132.805,µm,Spot,Image 1,6,1000005575,151677,
137.464,µm,Spot,Image 1,6,1000094504,151710,
23.3201,µm,Spot,Image 1,6,1000008102,154042,
28.734,µm,Spot,Image 1,6,1000011182,156798,
173.954,µm,Spot,Image 1,6,1000071729,157999,
141.631,µm,Spot,Image 1,6,1000158060,158060,
147.281,µm,Spot,Image 1,6,1000069455,158557,
154.983,µm,Spot,Image 1,6,1000130081,158794,
105.463,µm,Spot,Image 1,6,1000014633,159593,
110.885,µm,Spot,Image 1,6,1000014915,159795,
77.7047,µm,Spot,Image 1,6,1000074239,160614,
72.1362,µm,Spot,Image 1,6,1000018381,163048,
149.737,µm,Spot,Image 1,6,1000135496,164167,
89.7798,µm,Spot,Image 1,6,1000165097,165097,
53.2572,µm,Spot,Image 1,6,1000136105,165141,
88.5972,µm,Spot,Image 1,6,1000023639,165409,
79.7329,µm,Spot,Image 1,6,1000019405,166686,
110.349,µm,Spot,Image 1,6,1000022248,166839,
165.409,µm,Spot,Image 1,6,1000080712,166933,
174.849,µm,Spot,Image 1,6,1000138478,167324,
140.125,µm,Spot,Image 1,6,1000023039,168006,
43.5799,µm,Spot,Image 1,6,1000111173,168315,
108.075,µm,Spot,Image 1,6,1000082174,168492,
78.9736,µm,Spot,Image 1,6,1000026990,169213,
