
Average Distance To 5 Nearest Neighbours
 ==================== 
Average Distance To 5 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
71.4497,µm,Spot,5,1000022248,138370,
26.5393,µm,Spot,5,1000138478,138478,
32.0759,µm,Spot,5,1000023039,139141,
46.4254,µm,Spot,5,1000111173,139444,
53.5817,µm,Spot,5,1000082174,139613,
36.8426,µm,Spot,5,1000026990,140299,
24.1157,µm,Spot,5,1000025863,141518,
71.768,µm,Spot,5,1000025898,141554,
44.636,µm,Spot,5,1000025762,141715,
35.8279,µm,Spot,5,1000026374,142006,
32.0758,µm,Spot,5,1000026660,142309,
31.3668,µm,Spot,5,1000026789,142442,
64.0335,µm,Spot,5,1000024512,142605,
34.4821,µm,Spot,5,1000027048,142723,
37.1552,µm,Spot,5,1000027245,142911,
42.7726,µm,Spot,5,1000027656,143300,
30.8893,µm,Spot,5,1000028849,144692,
30.5778,µm,Spot,5,1000028860,144697,
44.1518,µm,Spot,5,1000058544,145135,
50.5092,µm,Spot,5,1000029962,145462,
87.1965,µm,Spot,5,1000145899,145899,
71.2152,µm,Spot,5,1000117221,146100,
124.376,µm,Spot,6,1000000426,147253,
106.327,µm,Spot,6,1000034728,149987,
55.0898,µm,Spot,6,1000005575,151677,
52.8926,µm,Spot,6,1000094504,151710,
75.282,µm,Spot,6,1000008102,154042,
79.8821,µm,Spot,6,1000011182,156798,
60.0533,µm,Spot,6,1000071729,157999,
49.0948,µm,Spot,6,1000158060,158060,
62.8402,µm,Spot,6,1000069455,158557,
58.5408,µm,Spot,6,1000130081,158794,
89.0229,µm,Spot,6,1000014633,159593,
48.3544,µm,Spot,6,1000014915,159795,
61.1682,µm,Spot,6,1000074239,160614,
57.5716,µm,Spot,6,1000018381,163048,
31.2895,µm,Spot,6,1000135496,164167,
29.1809,µm,Spot,6,1000165097,165097,
45.5034,µm,Spot,6,1000136105,165141,
28.7897,µm,Spot,6,1000023639,165409,
61.696,µm,Spot,6,1000019405,166686,
70.7887,µm,Spot,6,1000022248,166839,
30.2773,µm,Spot,6,1000080712,166933,
24.3159,µm,Spot,6,1000138478,167324,
32.2087,µm,Spot,6,1000023039,168006,
47.2399,µm,Spot,6,1000111173,168315,
48.6151,µm,Spot,6,1000082174,168492,
29.5025,µm,Spot,6,1000026990,169213,
24.4208,µm,Spot,6,1000025863,170750,
73.3251,µm,Spot,6,1000025898,170777,
44.3156,µm,Spot,6,1000025762,170880,
36.7214,µm,Spot,6,1000026374,170923,
31.5562,µm,Spot,6,1000026660,171211,
32.0922,µm,Spot,6,1000026789,171326,
60.425,µm,Spot,6,1000024512,171491,
33.8818,µm,Spot,6,1000027048,171600,
36.5558,µm,Spot,6,1000027245,171786,
43.5761,µm,Spot,6,1000027656,172144,
30.9296,µm,Spot,6,1000028849,173596,
30.9577,µm,Spot,6,1000028860,173606,
46.2457,µm,Spot,6,1000058544,174031,
46.6593,µm,Spot,6,1000029962,174373,
70.377,µm,Spot,6,1000117221,175066,
87.7944,µm,Spot,6,1000145899,175260,
112.782,µm,Spot,7,1000178867,178867,
144.261,µm,Spot,7,1000034728,179036,
54.6443,µm,Spot,7,1000005575,180676,
53.0776,µm,Spot,7,1000094504,180709,
100.569,µm,Spot,7,1000008102,183000,
48.5823,µm,Spot,7,1000158060,186936,
59.8743,µm,Spot,7,1000071729,187159,
63.5729,µm,Spot,7,1000069455,187472,
58.4583,µm,Spot,7,1000130081,187691,
84.3806,µm,Spot,7,1000014633,188535,
50.5271,µm,Spot,7,1000014915,188987,
62.6934,µm,Spot,7,1000074239,189513,
72.516,µm,Spot,7,1000018381,191915,
67.7607,µm,Spot,7,1000019405,192882,
33.0996,µm,Spot,7,1000135496,193021,
39.2579,µm,Spot,7,1000165097,193932,
48.3385,µm,Spot,7,1000136105,193991,
65.2128,µm,Spot,7,1000196023,196023,
24.9134,µm,Spot,7,1000080712,196104,
16.3593,µm,Spot,7,1000138478,196432,
21.344,µm,Spot,7,1000196749,196749,
47.2465,µm,Spot,7,1000111173,197053,
49.4655,µm,Spot,7,1000082174,197213,
37.4367,µm,Spot,7,1000026990,197885,
44.4529,µm,Spot,7,1000025762,199227,
14.1964,µm,Spot,7,1000025863,199350,
41.4312,µm,Spot,7,1000026374,199538,
18.6066,µm,Spot,7,1000199932,199932,
18.4087,µm,Spot,7,1000026789,199942,
61.7757,µm,Spot,7,1000024512,200064,
35.0814,µm,Spot,7,1000027048,200164,
36.8909,µm,Spot,7,1000027245,200359,
43.2284,µm,Spot,7,1000027656,200760,
40.2098,µm,Spot,7,1000026660,201704,
43.5256,µm,Spot,7,1000028860,202112,
43.8365,µm,Spot,7,1000058544,202550,
47.5572,µm,Spot,7,1000029962,202900,
74.5512,µm,Spot,7,1000117221,203538,
88.0018,µm,Spot,7,1000145899,203689,
113.51,µm,Spot,8,1000178867,207307,
135.618,µm,Spot,8,1000034728,207491,
54.5645,µm,Spot,8,1000005575,209230,
52.7799,µm,Spot,8,1000094504,209263,
81.1528,µm,Spot,8,1000008102,211542,
47.8436,µm,Spot,8,1000158060,215684,
60.3236,µm,Spot,8,1000071729,215911,
58.7745,µm,Spot,8,1000069455,216187,
55.1302,µm,Spot,8,1000130081,216414,
84.734,µm,Spot,8,1000014633,217248,
49.2754,µm,Spot,8,1000014915,217741,
37.1943,µm,Spot,8,1000218062,218062,
48.961,µm,Spot,8,1000074239,218280,
55.6658,µm,Spot,8,1000018381,220701,
43.3136,µm,Spot,8,1000221333,221333,
39.719,µm,Spot,8,1000019405,221685,
31.5648,µm,Spot,8,1000165097,222728,
43.7514,µm,Spot,8,1000136105,222780,
43.8474,µm,Spot,8,1000224234,224234,
44.0557,µm,Spot,8,1000224241,224241,
68.0077,µm,Spot,8,1000224431,224431,
31.0021,µm,Spot,8,1000135496,224496,
64.4521,µm,Spot,8,1000196023,224808,
19.1055,µm,Spot,8,1000138478,224884,
23.1402,µm,Spot,8,1000080712,224892,
21.9551,µm,Spot,8,1000196749,225577,
47.3201,µm,Spot,8,1000111173,225870,
