
Track Intensity Center Mean Ch=1 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
253.833,,Track,1,Image 1,1000000426,
27.8889,,Track,1,Image 1,1000005575,
251.478,,Track,1,Image 1,1000008102,
253,,Track,1,Image 1,1000011182,
253.214,,Track,1,Image 1,1000014633,
13.4444,,Track,1,Image 1,1000014915,
253,,Track,1,Image 1,1000018381,
198.8,,Track,1,Image 1,1000019405,
254.5,,Track,1,Image 1,1000022248,
253.167,,Track,1,Image 1,1000023039,
253.5,,Track,1,Image 1,1000023639,
7.6087,,Track,1,Image 1,1000024512,
255,,Track,1,Image 1,1000025762,
253.9,,Track,1,Image 1,1000025863,
254.167,,Track,1,Image 1,1000025898,
254.722,,Track,1,Image 1,1000026374,
254.077,,Track,1,Image 1,1000026660,
252,,Track,1,Image 1,1000026789,
170.875,,Track,1,Image 1,1000026990,
144.625,,Track,1,Image 1,1000027048,
255,,Track,1,Image 1,1000027245,
254.222,,Track,1,Image 1,1000027656,
215,,Track,1,Image 1,1000028849,
244.3,,Track,1,Image 1,1000028860,
252.111,,Track,1,Image 1,1000029962,
251.692,,Track,1,Image 1,1000034728,
254.857,,Track,1,Image 1,1000058544,
4.28571,,Track,1,Image 1,1000069455,
36.7273,,Track,1,Image 1,1000071729,
252.818,,Track,1,Image 1,1000074239,
21.0625,,Track,1,Image 1,1000080712,
253.5,,Track,1,Image 1,1000082174,
33.2857,,Track,1,Image 1,1000094504,
77.5926,,Track,1,Image 1,1000111173,
248.833,,Track,1,Image 1,1000117221,
0,,Track,1,Image 1,1000130081,
33.6667,,Track,1,Image 1,1000135496,
239.833,,Track,1,Image 1,1000136105,
106,,Track,1,Image 1,1000138478,
88.3684,,Track,1,Image 1,1000145899,
87.1429,,Track,1,Image 1,1000158060,
252.625,,Track,1,Image 1,1000165097,
241.714,,Track,1,Image 1,1000178867,
249.81,,Track,1,Image 1,1000196023,
21.1111,,Track,1,Image 1,1000196749,
252.3,,Track,1,Image 1,1000199932,
83.7778,,Track,1,Image 1,1000218062,
254.857,,Track,1,Image 1,1000221333,
255,,Track,1,Image 1,1000224234,
254.143,,Track,1,Image 1,1000224241,
253.333,,Track,1,Image 1,1000224431,
201.833,,Track,1,Image 1,1000226383,
104.778,,Track,1,Image 1,1000232501,
253.125,,Track,1,Image 1,1000244446,
55.4286,,Track,1,Image 1,1000253547,
252.375,,Track,1,Image 1,1000257305,
252.438,,Track,1,Image 1,1000260417,
254.889,,Track,1,Image 1,1000260594,
251.545,,Track,1,Image 1,1000275823,
9.28571,,Track,1,Image 1,1000278844,
252.636,,Track,1,Image 1,1000282540,
253.357,,Track,1,Image 1,1000282868,
91.75,,Track,1,Image 1,1000290426,
254.143,,Track,1,Image 1,1000290900,
22.45,,Track,1,Image 1,1000312915,
8.25,,Track,1,Image 1,1000320447,
82.5,,Track,1,Image 1,1000327258,
221,,Track,1,Image 1,1000338312,
25.7273,,Track,1,Image 1,1000354440,
17.4,,Track,1,Image 1,1000354480,
169.522,,Track,1,Image 1,1000371442,
32.3333,,Track,1,Image 1,1000373068,
37.9,,Track,1,Image 1,1000385100,
253.833,,Track,1,Image 1,1000401657,
247.714,,Track,1,Image 1,1000402605,
237.556,,Track,1,Image 1,1000405139,
51.9412,,Track,1,Image 1,1000409035,
252.429,,Track,1,Image 1,1000421574,
236.571,,Track,1,Image 1,1000423376,
191.3,,Track,1,Image 1,1000429687,
251.636,,Track,1,Image 1,1000439186,
253.556,,Track,1,Image 1,1000449132,
7.87097,,Track,1,Image 1,1000454057,
208.5,,Track,1,Image 1,1000454567,
253.778,,Track,1,Image 1,1000488632,
6.85714,,Track,1,Image 1,1000489329,
255,,Track,1,Image 1,1000493396,
12.8571,,Track,1,Image 1,1000515291,
70.375,,Track,1,Image 1,1000522409,
99.75,,Track,1,Image 1,1000522415,
252.938,,Track,1,Image 1,1000534158,
0,,Track,1,Image 1,1000535289,
244,,Track,1,Image 1,1000549440,
246,,Track,1,Image 1,1000566277,
206.286,,Track,1,Image 1,1000569584,
250.105,,Track,1,Image 1,1000572485,
34.5,,Track,1,Image 1,1000574056,
247.4,,Track,1,Image 1,1000576160,
245.5,,Track,1,Image 1,1000606742,
236,,Track,1,Image 1,1000623228,
0.416667,,Track,1,Image 1,1000626063,
255,,Track,1,Image 1,1000628237,
249,,Track,1,Image 1,1000657926,
154.429,,Track,1,Image 1,1000667525,
7.875,,Track,1,Image 1,1000675627,
14.8333,,Track,1,Image 1,1000684239,
209.744,,Track,1,Image 1,1000686553,
25.7619,,Track,1,Image 1,1000689377,
189.6,,Track,1,Image 1,1000690930,
251.667,,Track,1,Image 1,1000692325,
244.833,,Track,1,Image 1,1000695046,
248.714,,Track,1,Image 1,1000704730,
20.2353,,Track,1,Image 1,1000705525,
251.667,,Track,1,Image 1,1000712057,
251.778,,Track,1,Image 1,1000728131,
251.625,,Track,1,Image 1,1000755087,
0.857143,,Track,1,Image 1,1000764459,
240.429,,Track,1,Image 1,1000809896,
251.727,,Track,1,Image 1,1000811156,
253.167,,Track,1,Image 1,1000813964,
8,,Track,1,Image 1,1000825954,
251.8,,Track,1,Image 1,1000835089,
240.286,,Track,1,Image 1,1000839692,
0,,Track,1,Image 1,1000855659,
0,,Track,1,Image 1,1000856861,
251.667,,Track,1,Image 1,1000858553,
195.429,,Track,1,Image 1,1000860086,
176,,Track,1,Image 1,1000860289,
85.8889,,Track,1,Image 1,1000864199,
252.667,,Track,1,Image 1,1000865808,
254,,Track,1,Image 1,1000866048,
4.6,,Track,1,Image 1,1000887899,
4.1,,Track,1,Image 1,1000890207,
225.143,,Track,1,Image 1,1000898844,
16.5714,,Track,1,Image 1,1000926710,
