
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
3.28799,3.28799,3.28799,µm,Spot,Diameter,3,1000058544,87764,
3.02378,3.02378,3.02378,µm,Spot,Diameter,3,1000029962,88111,
2.87233,2.87233,2.87233,µm,Spot,Diameter,4,1000000426,89999,
3.28799,3.28799,3.28799,µm,Spot,Diameter,4,1000034728,92817,
3.6189,3.6189,3.6189,µm,Spot,Diameter,4,1000005575,94472,
4.91159,4.91159,4.91159,µm,Spot,Diameter,4,1000094504,94504,
3.16141,3.16141,3.16141,µm,Spot,Diameter,4,1000008102,96642,
4.36103,4.36103,4.36103,µm,Spot,Diameter,4,1000011182,99638,
4.49529,4.49529,4.49529,µm,Spot,Diameter,4,1000071729,100780,
1.58071,1.58071,1.58071,µm,Spot,Diameter,4,1000069455,101402,
3.40552,3.40552,3.40552,µm,Spot,Diameter,4,1000014633,102466,
4.21794,4.21794,4.21794,µm,Spot,Diameter,4,1000014915,102705,
3.80971,3.80971,3.80971,µm,Spot,Diameter,4,1000074239,103194,
2.87233,2.87233,2.87233,µm,Spot,Diameter,4,1000018381,105925,
3.6189,3.6189,3.6189,µm,Spot,Diameter,4,1000019405,106901,
3.40552,3.40552,3.40552,µm,Spot,Diameter,4,1000023639,107889,
3.6189,3.6189,3.6189,µm,Spot,Diameter,4,1000080712,109580,
2.50922,2.50922,2.50922,µm,Spot,Diameter,4,1000022248,109796,
3.98311,3.98311,3.98311,µm,Spot,Diameter,4,1000023039,110552,
4.36103,4.36103,4.36103,µm,Spot,Diameter,4,1000082174,111030,
1.58071,1.58071,1.58071,µm,Spot,Diameter,4,1000111173,111173,
3.28799,3.28799,3.28799,µm,Spot,Diameter,4,1000026990,111660,
4.29068,4.29068,4.29068,µm,Spot,Diameter,4,1000025863,112778,
2.70297,2.70297,2.70297,µm,Spot,Diameter,4,1000025898,112805,
3.51545,3.51545,3.51545,µm,Spot,Diameter,4,1000025762,112950,
3.16141,3.16141,3.16141,µm,Spot,Diameter,4,1000026374,113239,
3.02378,3.02378,3.02378,µm,Spot,Diameter,4,1000026660,113520,
3.98311,3.98311,3.98311,µm,Spot,Diameter,4,1000024512,113757,
4.21794,4.21794,4.21794,µm,Spot,Diameter,4,1000027048,113865,
4.62199,4.62199,4.62199,µm,Spot,Diameter,4,1000027245,114053,
3.02378,3.02378,3.02378,µm,Spot,Diameter,4,1000027656,114406,
3.98311,3.98311,3.98311,µm,Spot,Diameter,4,1000028849,115497,
