
Track Speed Min
 ==================== 
Track Speed Min,Unit,Category,ID,
0.0173615,µm/s,Track,1001132092,
0.0312719,µm/s,Track,1001132873,
0.0167554,µm/s,Track,1001138880,
0.028802,µm/s,Track,1001148839,
0.02299,µm/s,Track,1001162429,
0.0229309,µm/s,Track,1001183631,
0.0239623,µm/s,Track,1001190228,
0.0327364,µm/s,Track,1001205984,
0.0398415,µm/s,Track,1001222072,
0.0499814,µm/s,Track,1001223904,
0.0453646,µm/s,Track,1001236985,
0.0100515,µm/s,Track,1001244289,
0.0278415,µm/s,Track,1001261153,
0.0551104,µm/s,Track,1001265495,
0.0200441,µm/s,Track,1001290709,
0.0190194,µm/s,Track,1001298039,
0.0147442,µm/s,Track,1001304416,
0.0390256,µm/s,Track,1001307011,
0.0474311,µm/s,Track,1001310725,
0.0149424,µm/s,Track,1001347654,
0.0186538,µm/s,Track,1001349662,
0.0391907,µm/s,Track,1001351185,
0.0643211,µm/s,Track,1001373018,
0.0135898,µm/s,Track,1001374929,
0.0225453,µm/s,Track,1001376957,
0.0202881,µm/s,Track,1001382680,
0.029346,µm/s,Track,1001390095,
0.0362889,µm/s,Track,1001399631,
0.026636,µm/s,Track,1001414282,
0.025682,µm/s,Track,1001432525,
0.0240553,µm/s,Track,1001443126,
0.0236299,µm/s,Track,1001444551,
0.0422726,µm/s,Track,1001447832,
0.0265387,µm/s,Track,1001459999,
0.0167425,µm/s,Track,1001463577,
0.0320702,µm/s,Track,1001470670,
0.0247928,µm/s,Track,1001484970,
0.0172221,µm/s,Track,1001498754,
0.0119411,µm/s,Track,1001510065,
0.0213433,µm/s,Track,1001511880,
0.0261065,µm/s,Track,1001515348,
0.0374035,µm/s,Track,1001524529,
0.0237071,µm/s,Track,1001524797,
0.0466543,µm/s,Track,1001531007,
0.0157033,µm/s,Track,1001535243,
0.0286788,µm/s,Track,1001536213,
0.00304273,µm/s,Track,1001549656,
0.0419056,µm/s,Track,1001571482,
0.0317326,µm/s,Track,1001585322,
0.0356491,µm/s,Track,1001597972,
0.0289059,µm/s,Track,1001634186,
0.0112326,µm/s,Track,1001641521,
0.0341584,µm/s,Track,1001649683,
0.0385038,µm/s,Track,1001660310,
0.0171418,µm/s,Track,1001662631,
0.033883,µm/s,Track,1001662802,
0.0110965,µm/s,Track,1001692264,
0.030035,µm/s,Track,1001696991,
0.0178438,µm/s,Track,1001705575,
0.0220634,µm/s,Track,1001708522,
0.0417207,µm/s,Track,1001717292,
0.0170871,µm/s,Track,1001721190,
0.0335665,µm/s,Track,1001721732,
0.0331677,µm/s,Track,1001722530,
0.0306584,µm/s,Track,1001723411,
0.0128616,µm/s,Track,1001735688,
0.0161869,µm/s,Track,1001739237,
0.0273593,µm/s,Track,1001745981,
0.0209708,µm/s,Track,1001748846,
0.0250633,µm/s,Track,1001774250,
0.0517714,µm/s,Track,1001792466,
0.0472682,µm/s,Track,1001800294,
0.0354902,µm/s,Track,1001831823,
0.0294377,µm/s,Track,1001838017,
0.038086,µm/s,Track,1001843531,
0.0282538,µm/s,Track,1001850191,
0.0124439,µm/s,Track,1001869026,
0.0424247,µm/s,Track,1001872907,
0.0339225,µm/s,Track,1001874170,
0.0213578,µm/s,Track,1001876881,
0.0347061,µm/s,Track,1001878744,
0.0121748,µm/s,Track,1001889904,
0.0364146,µm/s,Track,1001895167,
0.0420779,µm/s,Track,1001896809,
0.0217387,µm/s,Track,1001904297,
0.0363743,µm/s,Track,1001904618,
0.0107985,µm/s,Track,1001939884,
0.0307889,µm/s,Track,1001942811,
0.0171321,µm/s,Track,1001954731,
0.0255358,µm/s,Track,1001968557,
0.00955461,µm/s,Track,1001968819,
0.0165155,µm/s,Track,1001978360,
0.0172297,µm/s,Track,1002006710,
0.0313257,µm/s,Track,1002029154,
0.0300435,µm/s,Track,1002031500,
0.0351335,µm/s,Track,1002047887,
0.0303195,µm/s,Track,1002051985,
0.0205915,µm/s,Track,1002059095,
0.0290725,µm/s,Track,1002067444,
0.00894302,µm/s,Track,1002067747,
0.0166588,µm/s,Track,1002113497,
0.0317277,µm/s,Track,1002124155,
0.0192318,µm/s,Track,1002125541,
0.0263426,µm/s,Track,1002142435,
0.0278778,µm/s,Track,1002148602,
0.03181,µm/s,Track,1002150876,
0.032222,µm/s,Track,1002158806,
0.0296136,µm/s,Track,1002180262,
0.0175119,µm/s,Track,1002182375,
0.0399711,µm/s,Track,1002205040,
0.038386,µm/s,Track,1002211774,
0.0166594,µm/s,Track,1002213141,
0.023336,µm/s,Track,1002223441,
0.0456288,µm/s,Track,1002227684,
0.0246943,µm/s,Track,1002236414,
0.0335112,µm/s,Track,1002242134,
0.0390053,µm/s,Track,1002242329,
0.0421996,µm/s,Track,1002243369,
0.0444942,µm/s,Track,1002246854,
0.0115924,µm/s,Track,1002262996,
0.032689,µm/s,Track,1002273437,
0.0230194,µm/s,Track,1002278860,
0.035365,µm/s,Track,1002300559,
0.0237236,µm/s,Track,1002307653,
0.0262134,µm/s,Track,1002309454,
0.0138724,µm/s,Track,1002316459,
0.038546,µm/s,Track,1002316883,
0.0197066,µm/s,Track,1002317275,
0.0258497,µm/s,Track,1002336151,
0.0288387,µm/s,Track,1002336484,
0.0264948,µm/s,Track,1002360360,
0.00988133,µm/s,Track,1002367218,
0.0286376,µm/s,Track,1002369367,
0.0164614,µm/s,Track,1002382179,
0.0433715,µm/s,Track,1002396861,
0.0243801,µm/s,Track,1002402760,
0.0276682,µm/s,Track,1002404222,
0.0229469,µm/s,Track,1002429210,
0.0296384,µm/s,Track,1002435411,
0.0185438,µm/s,Track,1002453328,
0.0453165,µm/s,Track,1002454260,
0.00475507,µm/s,Track,1002458180,
0.0409079,µm/s,Track,1002460030,
0.0281473,µm/s,Track,1002460974,
0.00783572,µm/s,Track,1002461635,
0.0255472,µm/s,Track,1002463724,
