
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
304.273,161.279,37.9864,µm,Track,Track Position,1000675627,
236.617,322.266,53.3863,µm,Track,Track Position,1000684239,
110.536,233.351,56.2561,µm,Track,Track Position,1000686553,
237.794,197.726,74.3893,µm,Track,Track Position,1000689377,
73.9058,373.139,78.2138,µm,Track,Track Position,1000690930,
221.294,185.844,86.4178,µm,Track,Track Position,1000692325,
243.407,208.604,97.2443,µm,Track,Track Position,1000695046,
251.008,35.2674,25.9989,µm,Track,Track Position,1000704730,
114.89,245.175,25.5178,µm,Track,Track Position,1000705525,
303.553,71.0469,58.209,µm,Track,Track Position,1000712057,
111.794,99.8149,9.45819,µm,Track,Track Position,1000728131,
296.137,242.209,98.8432,µm,Track,Track Position,1000755087,
92.6578,308.018,36.613,µm,Track,Track Position,1000764459,
347.272,167.561,91.7555,µm,Track,Track Position,1000809896,
137.879,300.811,89.8686,µm,Track,Track Position,1000811156,
298.316,233.141,98.9161,µm,Track,Track Position,1000813964,
114.82,282.223,36.9906,µm,Track,Track Position,1000825954,
193.387,183.894,71.8644,µm,Track,Track Position,1000835089,
307.285,177.958,93.7361,µm,Track,Track Position,1000839692,
134.782,334.167,32.743,µm,Track,Track Position,1000855659,
297.324,270.323,45.1567,µm,Track,Track Position,1000856861,
302.74,71.0274,55.6834,µm,Track,Track Position,1000858553,
89.8488,264.551,58.5537,µm,Track,Track Position,1000860086,
56.7653,381.003,58.3709,µm,Track,Track Position,1000860289,
106.835,382.053,71.2866,µm,Track,Track Position,1000864199,
308.456,129.649,78.8134,µm,Track,Track Position,1000865808,
349.806,88.1615,81.6175,µm,Track,Track Position,1000866048,
215.555,172.276,54.887,µm,Track,Track Position,1000887899,
231.308,322.123,55.7046,µm,Track,Track Position,1000890207,
242.043,208.13,93.3277,µm,Track,Track Position,1000898844,
164.91,291.018,81.5981,µm,Track,Track Position,1000926710,
96.8966,205.041,47.1241,µm,Track,Track Position,1000946144,
127.604,293.046,68.0395,µm,Track,Track Position,1000953090,
266.166,307.99,100.5,µm,Track,Track Position,1000962165,
172.317,114.161,47.8896,µm,Track,Track Position,1000976176,
308.095,177.774,91.7183,µm,Track,Track Position,1000988049,
239.164,87.213,50.7432,µm,Track,Track Position,1001007366,
292.067,242.576,93.9658,µm,Track,Track Position,1001020468,
26.0778,331.019,19.5881,µm,Track,Track Position,1001028919,
92.6418,304.084,40.3789,µm,Track,Track Position,1001035449,
71.6816,351.306,71.6617,µm,Track,Track Position,1001045764,
78.7478,371.05,74.2701,µm,Track,Track Position,1001046137,
113.5,100.459,9.53166,µm,Track,Track Position,1001054405,
193.151,185.171,68.4574,µm,Track,Track Position,1001070831,
307.263,130.478,75.4209,µm,Track,Track Position,1001074979,
306.367,179.669,90.0463,µm,Track,Track Position,1001078337,
174.892,179.452,15.7956,µm,Track,Track Position,1001087121,
116.76,244.213,20.8113,µm,Track,Track Position,1001088762,
123.673,258.419,20.9219,µm,Track,Track Position,1001088789,
268.147,154.457,69.0397,µm,Track,Track Position,1001102674,
107.312,382.369,69.8541,µm,Track,Track Position,1001104072,
22.9278,318.338,1.60661,µm,Track,Track Position,1001115718,
304.773,74.2314,50.6424,µm,Track,Track Position,1001128302,
204.592,218.994,55.7605,µm,Track,Track Position,1001128779,
104.687,240.561,54.5351,µm,Track,Track Position,1001129977,
282.167,188.495,58.1038,µm,Track,Track Position,1001132092,
269.271,156.187,67.6338,µm,Track,Track Position,1001132873,
345.088,169.507,86.5737,µm,Track,Track Position,1001138880,
253.034,38.7826,22.5412,µm,Track,Track Position,1001148839,
321.93,96.4059,61.5391,µm,Track,Track Position,1001162429,
113.951,283.103,34.8134,µm,Track,Track Position,1001183631,
102.018,230.664,49.6175,µm,Track,Track Position,1001190228,
116.349,103.433,5.98983,µm,Track,Track Position,1001205984,
79.7872,338.318,58.9854,µm,Track,Track Position,1001222072,
256.809,160.874,64.1007,µm,Track,Track Position,1001223904,
47.5262,206.4,10.2424,µm,Track,Track Position,1001236985,
159.546,229.273,30.83,µm,Track,Track Position,1001244289,
293.723,211.697,91.3322,µm,Track,Track Position,1001261153,
261.098,305.634,98.488,µm,Track,Track Position,1001265495,
169.942,293.786,78.0075,µm,Track,Track Position,1001290709,
28.0664,218.746,4.22724,µm,Track,Track Position,1001298039,
189.626,207.663,26.1342,µm,Track,Track Position,1001304416,
96.3979,299.639,34.0485,µm,Track,Track Position,1001307011,
184.539,221.216,46.2212,µm,Track,Track Position,1001310725,
302.255,164.946,60.2693,µm,Track,Track Position,1001347654,
150.136,290.417,67.1158,µm,Track,Track Position,1001349662,
405.919,99.3299,75.9912,µm,Track,Track Position,1001351185,
166.672,298.461,43.2842,µm,Track,Track Position,1001373018,
240.837,92.8629,47.6825,µm,Track,Track Position,1001374929,
108.101,242.158,52.7478,µm,Track,Track Position,1001376957,
220.071,191.396,76.5603,µm,Track,Track Position,1001382680,
267.891,288.264,99.7909,µm,Track,Track Position,1001390095,
161.121,229.679,31.6431,µm,Track,Track Position,1001399631,
80.8199,370.34,73.5368,µm,Track,Track Position,1001414282,
102.058,208.892,43.5748,µm,Track,Track Position,1001432525,
110.672,385.434,69.3046,µm,Track,Track Position,1001443126,
218.762,196.446,76.1092,µm,Track,Track Position,1001444551,
173.952,329.064,84.5891,µm,Track,Track Position,1001447832,
189.359,208.262,33.067,µm,Track,Track Position,1001459999,
85.5617,212.988,45.7545,µm,Track,Track Position,1001463577,
228.393,313.977,58.8659,µm,Track,Track Position,1001470670,
99.0337,128.742,10.5237,µm,Track,Track Position,1001484970,
363.59,60.6631,50.0556,µm,Track,Track Position,1001498754,
143.467,303.03,82.3577,µm,Track,Track Position,1001510065,
289.161,243.438,91.1035,µm,Track,Track Position,1001511880,
119.843,106.182,5.20701,µm,Track,Track Position,1001515348,
105.772,301.225,26.2448,µm,Track,Track Position,1001524529,
121.844,285.358,34.8822,µm,Track,Track Position,1001524797,
289.325,194.449,52.4302,µm,Track,Track Position,1001531007,
234.657,200.182,67.9673,µm,Track,Track Position,1001535243,
93.8628,358.456,68.0654,µm,Track,Track Position,1001536213,
-12.2179,83.6128,16.5236,µm,Track,Track Position,1001549656,
241.122,212.464,87.0923,µm,Track,Track Position,1001571482,
237.659,103.781,32.2699,µm,Track,Track Position,1001585322,
152.004,289.039,64.5851,µm,Track,Track Position,1001597972,
184.426,326.63,82.9344,µm,Track,Track Position,1001634186,
-13.7113,305.434,10.356,µm,Track,Track Position,1001641521,
126.295,209.601,39.9268,µm,Track,Track Position,1001649683,
113.355,386.499,69.2846,µm,Track,Track Position,1001660310,
167.999,284.54,79.9892,µm,Track,Track Position,1001662631,
112.618,383.749,80.7707,µm,Track,Track Position,1001662802,
169.018,314.013,76.5313,µm,Track,Track Position,1001692264,
259.881,304.861,92.3274,µm,Track,Track Position,1001696991,
122.872,250.931,23.5263,µm,Track,Track Position,1001705575,
111.974,281.722,28.579,µm,Track,Track Position,1001708522,
293.616,265.231,47.757,µm,Track,Track Position,1001717292,
406.785,100.722,73.4618,µm,Track,Track Position,1001721190,
219.383,198.151,74.7431,µm,Track,Track Position,1001721732,
78.5649,358.681,72.8604,µm,Track,Track Position,1001722530,
146.569,304.467,82.1454,µm,Track,Track Position,1001723411,
85.756,244.531,16.2079,µm,Track,Track Position,1001735688,
161.207,246.767,29.0763,µm,Track,Track Position,1001739237,
214.659,134.136,55.7452,µm,Track,Track Position,1001745981,
324.5,101.348,59.241,µm,Track,Track Position,1001748846,
168.723,298.157,43.3642,µm,Track,Track Position,1001774250,
153.65,82.0461,7.92799,µm,Track,Track Position,1001792466,
238.704,106.331,32.1548,µm,Track,Track Position,1001800294,
115.683,279.988,25.1592,µm,Track,Track Position,1001831823,
307.357,77.7114,48.8741,µm,Track,Track Position,1001838017,
163.401,297.163,63.8774,µm,Track,Track Position,1001843531,
208.757,284.913,88.6675,µm,Track,Track Position,1001850191,
214.111,128.028,52.1467,µm,Track,Track Position,1001869026,
234.469,202.767,65.0244,µm,Track,Track Position,1001872907,
113.912,385.549,66.3301,µm,Track,Track Position,1001874170,
175.591,321.467,78.6043,µm,Track,Track Position,1001876881,
292.053,215.225,87.452,µm,Track,Track Position,1001878744,
34.7643,331.916,17.1195,µm,Track,Track Position,1001889904,
88.1146,215.926,44.5912,µm,Track,Track Position,1001895167,
172.094,306.02,38.3578,µm,Track,Track Position,1001896809,
107.361,290.333,61.4933,µm,Track,Track Position,1001904297,
156.093,290.013,62.7641,µm,Track,Track Position,1001904618,
310.274,173.033,87.9517,µm,Track,Track Position,1001939884,
263.53,296.26,94.6697,µm,Track,Track Position,1001942811,
161.899,249.311,31.1072,µm,Track,Track Position,1001954731,
242.681,214.642,84.6767,µm,Track,Track Position,1001968557,
86.6997,372.724,73.5538,µm,Track,Track Position,1001968819,
31.1795,321.056,2.12356,µm,Track,Track Position,1001978360,
264.89,366.964,100.5,µm,Track,Track Position,1002006710,
97.1949,360.254,66.577,µm,Track,Track Position,1002029154,
173.466,296.622,76.2056,µm,Track,Track Position,1002031500,
239.004,109.489,32.9684,µm,Track,Track Position,1002047887,
242.497,98.5412,46.9422,µm,Track,Track Position,1002051985,
234.66,204.567,64.4997,µm,Track,Track Position,1002059095,
268.606,290.717,91.8802,µm,Track,Track Position,1002067444,
315.582,264.611,94.8755,µm,Track,Track Position,1002067747,
179.103,122.61,44.8457,µm,Track,Track Position,1002113497,
277.619,129.938,71.506,µm,Track,Track Position,1002124155,
171.24,286.718,78.0775,µm,Track,Track Position,1002125541,
110.801,304.1,23.9714,µm,Track,Track Position,1002142435,
153.94,200.422,59.4115,µm,Track,Track Position,1002148602,
178.32,398.999,52.667,µm,Track,Track Position,1002150876,
291.022,216.149,86.7172,µm,Track,Track Position,1002158806,
221.843,173.347,51.9757,µm,Track,Track Position,1002180262,
85.2466,341.97,56.5585,µm,Track,Track Position,1002182375,
114.207,283.93,27.3081,µm,Track,Track Position,1002205040,
214.537,129.285,53.0117,µm,Track,Track Position,1002211774,
157.011,285.341,52.8452,µm,Track,Track Position,1002213141,
206.512,292.493,89.0426,µm,Track,Track Position,1002223441,
121.74,109.815,7.51603,µm,Track,Track Position,1002227684,
162.277,252.218,32.561,µm,Track,Track Position,1002236414,
185.067,173.332,59.5634,µm,Track,Track Position,1002242134,
308.912,79.7886,49.593,µm,Track,Track Position,1002242329,
347.599,90.9509,60.4694,µm,Track,Track Position,1002243369,
353.695,184.026,68.5695,µm,Track,Track Position,1002246854,
257.067,43.231,21.6867,µm,Track,Track Position,1002262996,
366.113,64.1254,51.2672,µm,Track,Track Position,1002273437,
158.444,292.298,64.561,µm,Track,Track Position,1002278860,
185.772,216.409,42.0045,µm,Track,Track Position,1002300559,
179.214,399.499,57.545,µm,Track,Track Position,1002307653,
238.747,205.256,67.7847,µm,Track,Track Position,1002309454,
287.781,255.599,86.5337,µm,Track,Track Position,1002316459,
239.76,290.06,89.4316,µm,Track,Track Position,1002316883,
263.577,297.393,92.9669,µm,Track,Track Position,1002317275,
290.616,159.801,51.0204,µm,Track,Track Position,1002336151,
258.092,137.386,59.0512,µm,Track,Track Position,1002336484,
120.491,309.459,29.7349,µm,Track,Track Position,1002360360,
185.806,229.267,48.1361,µm,Track,Track Position,1002367218,
165.562,132.37,61.8097,µm,Track,Track Position,1002369367,
122.315,110.478,4.66357,µm,Track,Track Position,1002382179,
229.075,169.103,46.9182,µm,Track,Track Position,1002396861,
116.046,389.12,65.2973,µm,Track,Track Position,1002402760,
223.595,204.198,73.936,µm,Track,Track Position,1002404222,
119.481,240.356,52.7528,µm,Track,Track Position,1002429210,
87.5248,374.664,71.9281,µm,Track,Track Position,1002435411,
117.219,289.652,34.2655,µm,Track,Track Position,1002453328,
185.298,213.987,39.2054,µm,Track,Track Position,1002454260,
175.429,213.731,52.1587,µm,Track,Track Position,1002458180,
228.02,189.875,59.6572,µm,Track,Track Position,1002460030,
86.054,342.113,55.1185,µm,Track,Track Position,1002460974,
208.447,228.135,52.0785,µm,Track,Track Position,1002461635,
156.529,291.042,62.2188,µm,Track,Track Position,1002463724,
