
Track Volume Mean
 ==================== 
Track Volume Mean,Unit,Category,ID,
24.5861,µm^3,Track,1001222072,
27.5042,µm^3,Track,1001223904,
12.1126,µm^3,Track,1001236985,
47.5634,µm^3,Track,1001244289,
14.1313,µm^3,Track,1001261153,
22.7477,µm^3,Track,1001265495,
33.2757,µm^3,Track,1001290709,
28.9518,µm^3,Track,1001298039,
55.8352,µm^3,Track,1001304416,
28.2624,µm^3,Track,1001307011,
12.7527,µm^3,Track,1001310725,
31.0197,µm^3,Track,1001347654,
14.7714,µm^3,Track,1001349662,
33.0876,µm^3,Track,1001351185,
22.7479,µm^3,Track,1001373018,
20.5814,µm^3,Track,1001374929,
21.2313,µm^3,Track,1001376957,
25.1113,µm^3,Track,1001382680,
27.1423,µm^3,Track,1001390095,
38.1098,µm^3,Track,1001399631,
25.0591,µm^3,Track,1001414282,
24.0965,µm^3,Track,1001432525,
54.8011,µm^3,Track,1001443126,
26.8838,µm^3,Track,1001444551,
41.101,µm^3,Track,1001447832,
72.9696,µm^3,Track,1001459999,
24.1795,µm^3,Track,1001463577,
40.6701,µm^3,Track,1001470670,
15.6248,µm^3,Track,1001484970,
27.2019,µm^3,Track,1001498754,
18.8417,µm^3,Track,1001510065,
14.8206,µm^3,Track,1001511880,
25.936,µm^3,Track,1001515348,
36.1896,µm^3,Track,1001524529,
27.0977,µm^3,Track,1001524797,
27.0561,µm^3,Track,1001531007,
25.2754,µm^3,Track,1001535243,
48.5974,µm^3,Track,1001536213,
18.2673,µm^3,Track,1001549656,
32.4968,µm^3,Track,1001571482,
18.6119,µm^3,Track,1001585322,
17.9915,µm^3,Track,1001597972,
34.2807,µm^3,Track,1001634186,
16.8886,µm^3,Track,1001641521,
21.8079,µm^3,Track,1001649683,
64.6239,µm^3,Track,1001660310,
22.3719,µm^3,Track,1001662631,
18.0211,µm^3,Track,1001662802,
13.2943,µm^3,Track,1001692264,
50.3205,µm^3,Track,1001696991,
53.3536,µm^3,Track,1001705575,
45.3866,µm^3,Track,1001708522,
39.6181,µm^3,Track,1001717292,
37.9129,µm^3,Track,1001721190,
16.2485,µm^3,Track,1001721732,
18.6119,µm^3,Track,1001722530,
16.544,µm^3,Track,1001723411,
18.8704,µm^3,Track,1001735688,
22.2309,µm^3,Track,1001739237,
18.3165,µm^3,Track,1001745981,
31.8754,µm^3,Track,1001748846,
13.959,µm^3,Track,1001774250,
14.8206,µm^3,Track,1001792466,
21.5662,µm^3,Track,1001800294,
27.4478,µm^3,Track,1001831823,
28.9518,µm^3,Track,1001838017,
18.1688,µm^3,Track,1001843531,
19.6459,µm^3,Track,1001850191,
18.6119,µm^3,Track,1001869026,
25.7021,µm^3,Track,1001872907,
64.6584,µm^3,Track,1001874170,
27.0561,µm^3,Track,1001876881,
19.9044,µm^3,Track,1001878744,
14.0624,µm^3,Track,1001889904,
25.2753,µm^3,Track,1001895167,
18.3165,µm^3,Track,1001896809,
19.3012,µm^3,Track,1001904297,
28.2132,µm^3,Track,1001904618,
33.777,µm^3,Track,1001939884,
11.7187,µm^3,Track,1001942811,
35.3436,µm^3,Track,1001954731,
24.2518,µm^3,Track,1001968557,
24.9375,µm^3,Track,1001968819,
