
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
1689,,Spot,5,Image 1,1,1000000426,426,
3501,,Spot,5,Image 1,1,1000005575,5575,
1835,,Spot,5,Image 1,1,1000008102,8102,
510,,Spot,5,Image 1,1,1000011182,11182,
2007,,Spot,5,Image 1,1,1000014633,14633,
1741,,Spot,5,Image 1,1,1000014915,14915,
1406,,Spot,5,Image 1,1,1000018381,18381,
3023,,Spot,5,Image 1,1,1000019405,19405,
2389,,Spot,5,Image 1,1,1000022248,22248,
1660,,Spot,5,Image 1,1,1000023039,23039,
2190,,Spot,5,Image 1,1,1000023639,23639,
1675,,Spot,5,Image 1,1,1000024512,24512,
1609,,Spot,5,Image 1,1,1000025762,25762,
1847,,Spot,5,Image 1,1,1000025863,25863,
1385,,Spot,5,Image 1,1,1000025898,25898,
1441,,Spot,5,Image 1,1,1000026374,26374,
470,,Spot,5,Image 1,1,1000026660,26660,
2389,,Spot,5,Image 1,1,1000026789,26789,
1582,,Spot,5,Image 1,1,1000026990,26990,
3190,,Spot,5,Image 1,1,1000027048,27048,
3097,,Spot,5,Image 1,1,1000027245,27245,
1710,,Spot,5,Image 1,1,1000027656,27656,
2534,,Spot,5,Image 1,1,1000028849,28849,
2639,,Spot,5,Image 1,1,1000028860,28860,
1482,,Spot,5,Image 1,1,1000029962,29962,
1500,,Spot,5,Image 1,2,1000000426,31408,
1974,,Spot,5,Image 1,2,1000034728,34728,
2277,,Spot,5,Image 1,2,1000005575,36136,
2081,,Spot,5,Image 1,2,1000008102,38443,
3569,,Spot,5,Image 1,2,1000011182,41290,
1638,,Spot,5,Image 1,2,1000014633,44511,
2442,,Spot,5,Image 1,2,1000014915,44743,
1646,,Spot,5,Image 1,2,1000018381,48029,
2411,,Spot,5,Image 1,2,1000019405,48982,
4690,,Spot,5,Image 1,2,1000023639,50349,
1678,,Spot,5,Image 1,2,1000022248,51941,
2925,,Spot,5,Image 1,2,1000023039,52388,
1839,,Spot,5,Image 1,2,1000024512,53806,
1006,,Spot,5,Image 1,2,1000026990,53878,
2339,,Spot,5,Image 1,2,1000025863,54980,
1536,,Spot,5,Image 1,2,1000025898,55022,
753,,Spot,5,Image 1,2,1000025762,55178,
1933,,Spot,5,Image 1,2,1000026374,55483,
1411,,Spot,5,Image 1,2,1000026660,55751,
3348,,Spot,5,Image 1,2,1000026789,55877,
2598,,Spot,5,Image 1,2,1000027048,56142,
2801,,Spot,5,Image 1,2,1000027245,56330,
1768,,Spot,5,Image 1,2,1000027656,56728,
1664,,Spot,5,Image 1,2,1000028849,57830,
2588,,Spot,5,Image 1,2,1000028860,57836,
1739,,Spot,5,Image 1,2,1000058544,58544,
1586,,Spot,5,Image 1,2,1000029962,58891,
2848,,Spot,5,Image 1,3,1000000426,60244,
2006,,Spot,5,Image 1,3,1000034728,63643,
3149,,Spot,5,Image 1,3,1000005575,65097,
1951,,Spot,5,Image 1,3,1000008102,67443,
5261,,Spot,5,Image 1,3,1000069455,69455,
1767,,Spot,5,Image 1,3,1000011182,70317,
3429,,Spot,5,Image 1,3,1000071729,71729,
1421,,Spot,5,Image 1,3,1000014633,73446,
7983,,Spot,5,Image 1,3,1000014915,73705,
2102,,Spot,5,Image 1,3,1000074239,74239,
1334,,Spot,5,Image 1,3,1000018381,76943,
2552,,Spot,5,Image 1,3,1000019405,77924,
2361,,Spot,5,Image 1,3,1000023639,79247,
1789,,Spot,5,Image 1,3,1000080712,80712,
1139,,Spot,5,Image 1,3,1000022248,80953,
1456,,Spot,5,Image 1,3,1000023039,81387,
1656,,Spot,5,Image 1,3,1000082174,82174,
2345,,Spot,5,Image 1,3,1000025863,84084,
1478,,Spot,5,Image 1,3,1000025898,84121,
1670,,Spot,5,Image 1,3,1000025762,84276,
1409,,Spot,5,Image 1,3,1000026374,84574,
1880,,Spot,5,Image 1,3,1000026660,84846,
1518,,Spot,5,Image 1,3,1000024512,85119,
1521,,Spot,5,Image 1,3,1000026990,85188,
2734,,Spot,5,Image 1,3,1000027048,85231,
2006,,Spot,5,Image 1,3,1000027245,85436,
