
Track Intensity Min Ch=4 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
159,,Track,4,Image 1,1001190228,
111,,Track,4,Image 1,1001205984,
180,,Track,4,Image 1,1001222072,
0,,Track,4,Image 1,1001223904,
255,,Track,4,Image 1,1001236985,
0,,Track,4,Image 1,1001244289,
254,,Track,4,Image 1,1001261153,
13,,Track,4,Image 1,1001265495,
0,,Track,4,Image 1,1001290709,
255,,Track,4,Image 1,1001298039,
0,,Track,4,Image 1,1001304416,
40,,Track,4,Image 1,1001307011,
92,,Track,4,Image 1,1001310725,
84,,Track,4,Image 1,1001347654,
12,,Track,4,Image 1,1001349662,
129,,Track,4,Image 1,1001351185,
0,,Track,4,Image 1,1001373018,
122,,Track,4,Image 1,1001374929,
52,,Track,4,Image 1,1001376957,
55,,Track,4,Image 1,1001382680,
254,,Track,4,Image 1,1001390095,
0,,Track,4,Image 1,1001399631,
0,,Track,4,Image 1,1001414282,
154,,Track,4,Image 1,1001432525,
0,,Track,4,Image 1,1001443126,
113,,Track,4,Image 1,1001444551,
0,,Track,4,Image 1,1001447832,
0,,Track,4,Image 1,1001459999,
251,,Track,4,Image 1,1001463577,
0,,Track,4,Image 1,1001470670,
251,,Track,4,Image 1,1001484970,
29,,Track,4,Image 1,1001498754,
198,,Track,4,Image 1,1001510065,
251,,Track,4,Image 1,1001511880,
59,,Track,4,Image 1,1001515348,
0,,Track,4,Image 1,1001524529,
0,,Track,4,Image 1,1001524797,
0,,Track,4,Image 1,1001531007,
0,,Track,4,Image 1,1001535243,
251,,Track,4,Image 1,1001536213,
0,,Track,4,Image 1,1001549656,
118,,Track,4,Image 1,1001571482,
117,,Track,4,Image 1,1001585322,
32,,Track,4,Image 1,1001597972,
0,,Track,4,Image 1,1001634186,
0,,Track,4,Image 1,1001641521,
108,,Track,4,Image 1,1001649683,
0,,Track,4,Image 1,1001660310,
0,,Track,4,Image 1,1001662631,
252,,Track,4,Image 1,1001662802,
56,,Track,4,Image 1,1001692264,
35,,Track,4,Image 1,1001696991,
0,,Track,4,Image 1,1001705575,
0,,Track,4,Image 1,1001708522,
0,,Track,4,Image 1,1001717292,
113,,Track,4,Image 1,1001721190,
135,,Track,4,Image 1,1001721732,
0,,Track,4,Image 1,1001722530,
188,,Track,4,Image 1,1001723411,
29,,Track,4,Image 1,1001735688,
0,,Track,4,Image 1,1001739237,
227,,Track,4,Image 1,1001745981,
4,,Track,4,Image 1,1001748846,
0,,Track,4,Image 1,1001774250,
196,,Track,4,Image 1,1001792466,
87,,Track,4,Image 1,1001800294,
0,,Track,4,Image 1,1001831823,
97,,Track,4,Image 1,1001838017,
36,,Track,4,Image 1,1001843531,
148,,Track,4,Image 1,1001850191,
143,,Track,4,Image 1,1001869026,
0,,Track,4,Image 1,1001872907,
0,,Track,4,Image 1,1001874170,
0,,Track,4,Image 1,1001876881,
253,,Track,4,Image 1,1001878744,
253,,Track,4,Image 1,1001889904,
