
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
780300,,Spot,4,Image 1,1,1000000426,426,
775874,,Spot,4,Image 1,1,1000005575,5575,
845325,,Spot,4,Image 1,1,1000008102,8102,
130050,,Spot,4,Image 1,1,1000011182,11182,
910350,,Spot,4,Image 1,1,1000014633,14633,
30256,,Spot,4,Image 1,1,1000014915,14915,
520200,,Spot,4,Image 1,1,1000018381,18381,
1.1295e+06,,Spot,4,Image 1,1,1000019405,19405,
1.0404e+06,,Spot,4,Image 1,1,1000022248,22248,
780300,,Spot,4,Image 1,1,1000023039,23039,
650250,,Spot,4,Image 1,1,1000023639,23639,
0,,Spot,4,Image 1,1,1000024512,24512,
715275,,Spot,4,Image 1,1,1000025762,25762,
780300,,Spot,4,Image 1,1,1000025863,25863,
455175,,Spot,4,Image 1,1,1000025898,25898,
520200,,Spot,4,Image 1,1,1000026374,26374,
130050,,Spot,4,Image 1,1,1000026660,26660,
975375,,Spot,4,Image 1,1,1000026789,26789,
203989,,Spot,4,Image 1,1,1000026990,26990,
571138,,Spot,4,Image 1,1,1000027048,27048,
1.36553e+06,,Spot,4,Image 1,1,1000027245,27245,
1.0404e+06,,Spot,4,Image 1,1,1000027656,27656,
1.0404e+06,,Spot,4,Image 1,1,1000028849,28849,
1.0404e+06,,Spot,4,Image 1,1,1000028860,28860,
650250,,Spot,4,Image 1,1,1000029962,29962,
578117,,Spot,4,Image 1,2,1000000426,31408,
1.01252e+06,,Spot,4,Image 1,2,1000034728,34728,
368857,,Spot,4,Image 1,2,1000005575,36136,
910350,,Spot,4,Image 1,2,1000008102,38443,
1.3005e+06,,Spot,4,Image 1,2,1000011182,41290,
650250,,Spot,4,Image 1,2,1000014633,44511,
35924,,Spot,4,Image 1,2,1000014915,44743,
772677,,Spot,4,Image 1,2,1000018381,48029,
995707,,Spot,4,Image 1,2,1000019405,48982,
1.65087e+06,,Spot,4,Image 1,2,1000023639,50349,
845325,,Spot,4,Image 1,2,1000022248,51941,
1.54688e+06,,Spot,4,Image 1,2,1000023039,52388,
5172,,Spot,4,Image 1,2,1000024512,53806,
207719,,Spot,4,Image 1,2,1000026990,53878,
1.09628e+06,,Spot,4,Image 1,2,1000025863,54980,
649232,,Spot,4,Image 1,2,1000025898,55022,
195075,,Spot,4,Image 1,2,1000025762,55178,
910350,,Spot,4,Image 1,2,1000026374,55483,
580648,,Spot,4,Image 1,2,1000026660,55751,
1.16791e+06,,Spot,4,Image 1,2,1000026789,55877,
551025,,Spot,4,Image 1,2,1000027048,56142,
1.03989e+06,,Spot,4,Image 1,2,1000027245,56330,
841255,,Spot,4,Image 1,2,1000027656,56728,
585225,,Spot,4,Image 1,2,1000028849,57830,
910350,,Spot,4,Image 1,2,1000028860,57836,
1.17045e+06,,Spot,4,Image 1,2,1000058544,58544,
512583,,Spot,4,Image 1,2,1000029962,58891,
1.29136e+06,,Spot,4,Image 1,3,1000000426,60244,
1.02067e+06,,Spot,4,Image 1,3,1000034728,63643,
407481,,Spot,4,Image 1,3,1000005575,65097,
845325,,Spot,4,Image 1,3,1000008102,67443,
684,,Spot,4,Image 1,3,1000069455,69455,
1.0404e+06,,Spot,4,Image 1,3,1000011182,70317,
204113,,Spot,4,Image 1,3,1000071729,71729,
585225,,Spot,4,Image 1,3,1000014633,73446,
205902,,Spot,4,Image 1,3,1000014915,73705,
1.05489e+06,,Spot,4,Image 1,3,1000074239,74239,
582682,,Spot,4,Image 1,3,1000018381,76943,
874980,,Spot,4,Image 1,3,1000019405,77924,
974866,,Spot,4,Image 1,3,1000023639,79247,
63114,,Spot,4,Image 1,3,1000080712,80712,
455175,,Spot,4,Image 1,3,1000022248,80953,
648216,,Spot,4,Image 1,3,1000023039,81387,
975375,,Spot,4,Image 1,3,1000082174,82174,
1.16029e+06,,Spot,4,Image 1,3,1000025863,84084,
646691,,Spot,4,Image 1,3,1000025898,84121,
585225,,Spot,4,Image 1,3,1000025762,84276,
455175,,Spot,4,Image 1,3,1000026374,84574,
776230,,Spot,4,Image 1,3,1000026660,84846,
773,,Spot,4,Image 1,3,1000024512,85119,
198879,,Spot,4,Image 1,3,1000026990,85188,
623861,,Spot,4,Image 1,3,1000027048,85231,
779791,,Spot,4,Image 1,3,1000027245,85436,
1.35688e+06,,Spot,4,Image 1,3,1000027656,85840,
910350,,Spot,4,Image 1,3,1000028860,87067,
975375,,Spot,4,Image 1,3,1000028849,87068,
195075,,Spot,4,Image 1,3,1000026789,87113,
910350,,Spot,4,Image 1,3,1000058544,87764,
704113,,Spot,4,Image 1,3,1000029962,88111,
580145,,Spot,4,Image 1,4,1000000426,89999,
809672,,Spot,4,Image 1,4,1000034728,92817,
190608,,Spot,4,Image 1,4,1000005575,94472,
620328,,Spot,4,Image 1,4,1000094504,94504,
779791,,Spot,4,Image 1,4,1000008102,96642,
1.36553e+06,,Spot,4,Image 1,4,1000011182,99638,
85837,,Spot,4,Image 1,4,1000071729,100780,
49,,Spot,4,Image 1,4,1000069455,101402,
779282,,Spot,4,Image 1,4,1000014633,102466,
60574,,Spot,4,Image 1,4,1000014915,102705,
787794,,Spot,4,Image 1,4,1000074239,103194,
583189,,Spot,4,Image 1,4,1000018381,105925,
904816,,Spot,4,Image 1,4,1000019405,106901,
780300,,Spot,4,Image 1,4,1000023639,107889,
20283,,Spot,4,Image 1,4,1000080712,109580,
453650,,Spot,4,Image 1,4,1000022248,109796,
1.02821e+06,,Spot,4,Image 1,4,1000023039,110552,
1.49558e+06,,Spot,4,Image 1,4,1000082174,111030,
173963,,Spot,4,Image 1,4,1000111173,111173,
717115,,Spot,4,Image 1,4,1000026990,111660,
1.35333e+06,,Spot,4,Image 1,4,1000025863,112778,
454666,,Spot,4,Image 1,4,1000025898,112805,
845325,,Spot,4,Image 1,4,1000025762,112950,
650250,,Spot,4,Image 1,4,1000026374,113239,
645673,,Spot,4,Image 1,4,1000026660,113520,
537,,Spot,4,Image 1,4,1000024512,113757,
921798,,Spot,4,Image 1,4,1000027048,113865,
1.49405e+06,,Spot,4,Image 1,4,1000027245,114053,
645673,,Spot,4,Image 1,4,1000027656,114406,
1.0404e+06,,Spot,4,Image 1,4,1000028849,115497,
780300,,Spot,4,Image 1,4,1000026789,115539,
1.10543e+06,,Spot,4,Image 1,4,1000028860,115808,
715275,,Spot,4,Image 1,4,1000058544,116209,
636565,,Spot,4,Image 1,4,1000029962,116546,
609948,,Spot,4,Image 1,4,1000117221,117221,
514108,,Spot,4,Image 1,5,1000000426,118445,
706133,,Spot,4,Image 1,5,1000034728,121251,
191413,,Spot,4,Image 1,5,1000005575,122895,
835007,,Spot,4,Image 1,5,1000094504,122921,
975375,,Spot,4,Image 1,5,1000008102,125190,
1658,,Spot,4,Image 1,5,1000069455,126997,
1.38181e+06,,Spot,4,Image 1,5,1000011182,128077,
115392,,Spot,4,Image 1,5,1000071729,129533,
1533,,Spot,4,Image 1,5,1000130081,130081,
712223,,Spot,4,Image 1,5,1000014633,130906,
46527,,Spot,4,Image 1,5,1000014915,131163,
1.08463e+06,,Spot,4,Image 1,5,1000074239,131962,
