
Intensity Sum of Square Ch=5 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
246634,,Spot,5,Image 1,5,1000000426,118445,
371645,,Spot,5,Image 1,5,1000034728,121251,
774752,,Spot,5,Image 1,5,1000005575,122895,
1.65075e+06,,Spot,5,Image 1,5,1000094504,122921,
414499,,Spot,5,Image 1,5,1000008102,125190,
980329,,Spot,5,Image 1,5,1000069455,126997,
726332,,Spot,5,Image 1,5,1000011182,128077,
907350,,Spot,5,Image 1,5,1000071729,129533,
1.30557e+06,,Spot,5,Image 1,5,1000130081,130081,
370006,,Spot,5,Image 1,5,1000014633,130906,
927524,,Spot,5,Image 1,5,1000014915,131163,
439371,,Spot,5,Image 1,5,1000074239,131962,
273888,,Spot,5,Image 1,5,1000018381,134403,
574157,,Spot,5,Image 1,5,1000019405,135344,
363158,,Spot,5,Image 1,5,1000135496,135496,
326584,,Spot,5,Image 1,5,1000136105,136105,
391292,,Spot,5,Image 1,5,1000023639,136650,
387706,,Spot,5,Image 1,5,1000080712,138121,
230212,,Spot,5,Image 1,5,1000022248,138370,
258576,,Spot,5,Image 1,5,1000138478,138478,
416428,,Spot,5,Image 1,5,1000023039,139141,
1.82562e+06,,Spot,5,Image 1,5,1000111173,139444,
672967,,Spot,5,Image 1,5,1000082174,139613,
470923,,Spot,5,Image 1,5,1000026990,140299,
462215,,Spot,5,Image 1,5,1000025863,141518,
280436,,Spot,5,Image 1,5,1000025898,141554,
286533,,Spot,5,Image 1,5,1000025762,141715,
350136,,Spot,5,Image 1,5,1000026374,142006,
370071,,Spot,5,Image 1,5,1000026660,142309,
443673,,Spot,5,Image 1,5,1000026789,142442,
311948,,Spot,5,Image 1,5,1000024512,142605,
950644,,Spot,5,Image 1,5,1000027048,142723,
601498,,Spot,5,Image 1,5,1000027245,142911,
293458,,Spot,5,Image 1,5,1000027656,143300,
417799,,Spot,5,Image 1,5,1000028849,144692,
395490,,Spot,5,Image 1,5,1000028860,144697,
221389,,Spot,5,Image 1,5,1000058544,145135,
316805,,Spot,5,Image 1,5,1000029962,145462,
490877,,Spot,5,Image 1,5,1000145899,145899,
302726,,Spot,5,Image 1,5,1000117221,146100,
304345,,Spot,5,Image 1,6,1000000426,147253,
477793,,Spot,5,Image 1,6,1000034728,149987,
418615,,Spot,5,Image 1,6,1000005575,151677,
941893,,Spot,5,Image 1,6,1000094504,151710,
394939,,Spot,5,Image 1,6,1000008102,154042,
201612,,Spot,5,Image 1,6,1000011182,156798,
545035,,Spot,5,Image 1,6,1000071729,157999,
1.02435e+06,,Spot,5,Image 1,6,1000158060,158060,
897198,,Spot,5,Image 1,6,1000069455,158557,
402960,,Spot,5,Image 1,6,1000130081,158794,
316657,,Spot,5,Image 1,6,1000014633,159593,
710622,,Spot,5,Image 1,6,1000014915,159795,
349758,,Spot,5,Image 1,6,1000074239,160614,
267382,,Spot,5,Image 1,6,1000018381,163048,
450400,,Spot,5,Image 1,6,1000135496,164167,
267158,,Spot,5,Image 1,6,1000165097,165097,
413908,,Spot,5,Image 1,6,1000136105,165141,
333228,,Spot,5,Image 1,6,1000023639,165409,
521393,,Spot,5,Image 1,6,1000019405,166686,
228006,,Spot,5,Image 1,6,1000022248,166839,
344461,,Spot,5,Image 1,6,1000080712,166933,
409326,,Spot,5,Image 1,6,1000138478,167324,
268759,,Spot,5,Image 1,6,1000023039,168006,
1.03523e+06,,Spot,5,Image 1,6,1000111173,168315,
480337,,Spot,5,Image 1,6,1000082174,168492,
729689,,Spot,5,Image 1,6,1000026990,169213,
650052,,Spot,5,Image 1,6,1000025863,170750,
313693,,Spot,5,Image 1,6,1000025898,170777,
296992,,Spot,5,Image 1,6,1000025762,170880,
314938,,Spot,5,Image 1,6,1000026374,170923,
257940,,Spot,5,Image 1,6,1000026660,171211,
392354,,Spot,5,Image 1,6,1000026789,171326,
333600,,Spot,5,Image 1,6,1000024512,171491,
622814,,Spot,5,Image 1,6,1000027048,171600,
395382,,Spot,5,Image 1,6,1000027245,171786,
320229,,Spot,5,Image 1,6,1000027656,172144,
191795,,Spot,5,Image 1,6,1000028849,173596,
347591,,Spot,5,Image 1,6,1000028860,173606,
345343,,Spot,5,Image 1,6,1000058544,174031,
360252,,Spot,5,Image 1,6,1000029962,174373,
312568,,Spot,5,Image 1,6,1000117221,175066,
954405,,Spot,5,Image 1,6,1000145899,175260,
240907,,Spot,5,Image 1,7,1000178867,178867,
368664,,Spot,5,Image 1,7,1000034728,179036,
812743,,Spot,5,Image 1,7,1000005575,180676,
841159,,Spot,5,Image 1,7,1000094504,180709,
479611,,Spot,5,Image 1,7,1000008102,183000,
1.60305e+06,,Spot,5,Image 1,7,1000158060,186936,
828675,,Spot,5,Image 1,7,1000071729,187159,
833375,,Spot,5,Image 1,7,1000069455,187472,
567168,,Spot,5,Image 1,7,1000130081,187691,
404505,,Spot,5,Image 1,7,1000014633,188535,
467725,,Spot,5,Image 1,7,1000014915,188987,
335698,,Spot,5,Image 1,7,1000074239,189513,
293911,,Spot,5,Image 1,7,1000018381,191915,
900961,,Spot,5,Image 1,7,1000019405,192882,
432930,,Spot,5,Image 1,7,1000135496,193021,
559521,,Spot,5,Image 1,7,1000165097,193932,
344803,,Spot,5,Image 1,7,1000136105,193991,
581561,,Spot,5,Image 1,7,1000196023,196023,
313213,,Spot,5,Image 1,7,1000080712,196104,
231942,,Spot,5,Image 1,7,1000196749,196749,
962813,,Spot,5,Image 1,7,1000111173,197053,
374660,,Spot,5,Image 1,7,1000082174,197213,
468470,,Spot,5,Image 1,7,1000026990,197885,
471680,,Spot,5,Image 1,7,1000025762,199227,
413875,,Spot,5,Image 1,7,1000025863,199350,
339451,,Spot,5,Image 1,7,1000026374,199538,
235021,,Spot,5,Image 1,7,1000199932,199932,
237074,,Spot,5,Image 1,7,1000026789,199942,
423594,,Spot,5,Image 1,7,1000024512,200064,
539778,,Spot,5,Image 1,7,1000027048,200164,
473475,,Spot,5,Image 1,7,1000027245,200359,
525113,,Spot,5,Image 1,7,1000027656,200760,
251503,,Spot,5,Image 1,7,1000026660,201704,
392970,,Spot,5,Image 1,7,1000028860,202112,
244565,,Spot,5,Image 1,7,1000058544,202550,
320585,,Spot,5,Image 1,7,1000029962,202900,
277624,,Spot,5,Image 1,7,1000117221,203538,
374265,,Spot,5,Image 1,7,1000145899,203689,
371213,,Spot,5,Image 1,8,1000178867,207307,
340717,,Spot,5,Image 1,8,1000034728,207491,
504800,,Spot,5,Image 1,8,1000005575,209230,
560652,,Spot,5,Image 1,8,1000094504,209263,
363989,,Spot,5,Image 1,8,1000008102,211542,
1.21746e+06,,Spot,5,Image 1,8,1000158060,215684,
1.00554e+06,,Spot,5,Image 1,8,1000071729,215911,
953023,,Spot,5,Image 1,8,1000069455,216187,
443091,,Spot,5,Image 1,8,1000130081,216414,
403664,,Spot,5,Image 1,8,1000014633,217248,
1.1924e+06,,Spot,5,Image 1,8,1000014915,217741,
525375,,Spot,5,Image 1,8,1000218062,218062,
257385,,Spot,5,Image 1,8,1000074239,218280,
324497,,Spot,5,Image 1,8,1000018381,220701,
310122,,Spot,5,Image 1,8,1000221333,221333,
512904,,Spot,5,Image 1,8,1000019405,221685,
514371,,Spot,5,Image 1,8,1000165097,222728,
270108,,Spot,5,Image 1,8,1000136105,222780,
481245,,Spot,5,Image 1,8,1000224234,224234,
256610,,Spot,5,Image 1,8,1000224241,224241,
320233,,Spot,5,Image 1,8,1000224431,224431,
583347,,Spot,5,Image 1,8,1000135496,224496,
442144,,Spot,5,Image 1,8,1000196023,224808,
194307,,Spot,5,Image 1,8,1000138478,224884,
365343,,Spot,5,Image 1,8,1000080712,224892,
330637,,Spot,5,Image 1,8,1000196749,225577,
254521,,Spot,5,Image 1,8,1000111173,225870,
315958,,Spot,5,Image 1,8,1000082174,226025,
189506,,Spot,5,Image 1,8,1000226383,226383,
407802,,Spot,5,Image 1,8,1000026990,226673,
410351,,Spot,5,Image 1,8,1000025863,228123,
321167,,Spot,5,Image 1,8,1000026374,228289,
376096,,Spot,5,Image 1,8,1000199932,228667,
415338,,Spot,5,Image 1,8,1000024512,228832,
219425,,Spot,5,Image 1,8,1000027245,228847,
615612,,Spot,5,Image 1,8,1000027048,228921,
335743,,Spot,5,Image 1,8,1000027656,229877,
358325,,Spot,5,Image 1,8,1000026660,230497,
259239,,Spot,5,Image 1,8,1000028860,230918,
326627,,Spot,5,Image 1,8,1000058544,231336,
385715,,Spot,5,Image 1,8,1000029962,231689,
265649,,Spot,5,Image 1,8,1000117221,232329,
816220,,Spot,5,Image 1,8,1000145899,232497,
289148,,Spot,5,Image 1,8,1000232501,232501,
372233,,Spot,5,Image 1,9,1000178867,236041,
318872,,Spot,5,Image 1,9,1000034728,236229,
767419,,Spot,5,Image 1,9,1000005575,237846,
1.05968e+06,,Spot,5,Image 1,9,1000094504,238096,
476113,,Spot,5,Image 1,9,1000008102,240127,
709709,,Spot,5,Image 1,9,1000071729,244439,
268207,,Spot,5,Image 1,9,1000244446,244446,
1.44813e+06,,Spot,5,Image 1,9,1000158060,244507,
300951,,Spot,5,Image 1,9,1000069455,244734,
265277,,Spot,5,Image 1,9,1000130081,244994,
290147,,Spot,5,Image 1,9,1000014633,245823,
1.55186e+06,,Spot,5,Image 1,9,1000014915,246314,
421111,,Spot,5,Image 1,9,1000074239,246863,
1.30014e+06,,Spot,5,Image 1,9,1000218062,246918,
376598,,Spot,5,Image 1,9,1000018381,249362,
214572,,Spot,5,Image 1,9,1000221333,249997,
732285,,Spot,5,Image 1,9,1000019405,250348,
95762,,Spot,5,Image 1,9,1000165097,251399,
364521,,Spot,5,Image 1,9,1000136105,251464,
356486,,Spot,5,Image 1,9,1000224234,252909,
1.15143e+06,,Spot,5,Image 1,9,1000224241,252913,
318597,,Spot,5,Image 1,9,1000224431,253095,
676958,,Spot,5,Image 1,9,1000135496,253178,
332310,,Spot,5,Image 1,9,1000196023,253490,
126505,,Spot,5,Image 1,9,1000253547,253547,
388430,,Spot,5,Image 1,9,1000080712,253569,
667824,,Spot,5,Image 1,9,1000138478,253896,
331793,,Spot,5,Image 1,9,1000196749,254212,
1.00864e+06,,Spot,5,Image 1,9,1000111173,254504,
467604,,Spot,5,Image 1,9,1000226383,255067,
556298,,Spot,5,Image 1,9,1000025863,256714,
299085,,Spot,5,Image 1,9,1000026374,256892,
356399,,Spot,5,Image 1,9,1000026660,257187,
351345,,Spot,5,Image 1,9,1000199932,257298,
456455,,Spot,5,Image 1,9,1000257305,257305,
481290,,Spot,5,Image 1,9,1000024512,257487,
407092,,Spot,5,Image 1,9,1000027245,257516,
604513,,Spot,5,Image 1,9,1000027048,257607,
189003,,Spot,5,Image 1,9,1000027656,258625,
266431,,Spot,5,Image 1,9,1000028860,259655,
408374,,Spot,5,Image 1,9,1000029962,260412,
269345,,Spot,5,Image 1,9,1000260417,260417,
285785,,Spot,5,Image 1,9,1000260594,260594,
246081,,Spot,5,Image 1,9,1000117221,261077,
602224,,Spot,5,Image 1,9,1000145899,261278,
301076,,Spot,5,Image 1,9,1000232501,261285,
403670,,Spot,5,Image 1,10,1000178867,264958,
411540,,Spot,5,Image 1,10,1000034728,265173,
726788,,Spot,5,Image 1,10,1000094504,266925,
527344,,Spot,5,Image 1,10,1000008102,269091,
