
Average Distance To 3 Nearest Neighbours
 ==================== 
Average Distance To 3 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
142.206,µm,Spot,1,1000000426,426,
91.241,µm,Spot,1,1000005575,5575,
67.7969,µm,Spot,1,1000008102,8102,
66.7768,µm,Spot,1,1000011182,11182,
104.702,µm,Spot,1,1000014633,14633,
46.2601,µm,Spot,1,1000014915,14915,
55.9475,µm,Spot,1,1000018381,18381,
58.2118,µm,Spot,1,1000019405,19405,
72.0175,µm,Spot,1,1000022248,22248,
34.1234,µm,Spot,1,1000023039,23039,
29.4954,µm,Spot,1,1000023639,23639,
74.8913,µm,Spot,1,1000024512,24512,
32.9388,µm,Spot,1,1000025762,25762,
37.5344,µm,Spot,1,1000025863,25863,
59.1331,µm,Spot,1,1000025898,25898,
33.2204,µm,Spot,1,1000026374,26374,
19.8036,µm,Spot,1,1000026660,26660,
42.4574,µm,Spot,1,1000026789,26789,
28.6243,µm,Spot,1,1000026990,26990,
34.3213,µm,Spot,1,1000027048,27048,
40.2178,µm,Spot,1,1000027245,27245,
51.6964,µm,Spot,1,1000027656,27656,
19.8871,µm,Spot,1,1000028849,28849,
21.2585,µm,Spot,1,1000028860,28860,
54.5411,µm,Spot,1,1000029962,29962,
103.093,µm,Spot,2,1000000426,31408,
89.5739,µm,Spot,2,1000034728,34728,
90.909,µm,Spot,2,1000005575,36136,
68.7776,µm,Spot,2,1000008102,38443,
67.7476,µm,Spot,2,1000011182,41290,
100.899,µm,Spot,2,1000014633,44511,
46.8018,µm,Spot,2,1000014915,44743,
58.2231,µm,Spot,2,1000018381,48029,
58.0235,µm,Spot,2,1000019405,48982,
28.7701,µm,Spot,2,1000023639,50349,
71.4963,µm,Spot,2,1000022248,51941,
35.1034,µm,Spot,2,1000023039,52388,
68.4537,µm,Spot,2,1000024512,53806,
27.8616,µm,Spot,2,1000026990,53878,
38.6339,µm,Spot,2,1000025863,54980,
59.5415,µm,Spot,2,1000025898,55022,
32.3449,µm,Spot,2,1000025762,55178,
34.1552,µm,Spot,2,1000026374,55483,
19.4597,µm,Spot,2,1000026660,55751,
42.8346,µm,Spot,2,1000026789,55877,
34.9316,µm,Spot,2,1000027048,56142,
34.7807,µm,Spot,2,1000027245,56330,
47.1597,µm,Spot,2,1000027656,56728,
19.7096,µm,Spot,2,1000028849,57830,
21.3623,µm,Spot,2,1000028860,57836,
38.4241,µm,Spot,2,1000058544,58544,
43.3678,µm,Spot,2,1000029962,58891,
101.901,µm,Spot,3,1000000426,60244,
89.0676,µm,Spot,3,1000034728,63643,
72.9301,µm,Spot,3,1000005575,65097,
55.9202,µm,Spot,3,1000008102,67443,
75.7524,µm,Spot,3,1000069455,69455,
64.856,µm,Spot,3,1000011182,70317,
62.0649,µm,Spot,3,1000071729,71729,
92.0662,µm,Spot,3,1000014633,73446,
48.0322,µm,Spot,3,1000014915,73705,
51.1889,µm,Spot,3,1000074239,74239,
49.4875,µm,Spot,3,1000018381,76943,
49.3042,µm,Spot,3,1000019405,77924,
30.9443,µm,Spot,3,1000023639,79247,
32.1821,µm,Spot,3,1000080712,80712,
69.873,µm,Spot,3,1000022248,80953,
35.0797,µm,Spot,3,1000023039,81387,
47.3784,µm,Spot,3,1000082174,82174,
25.7429,µm,Spot,3,1000025863,84084,
58.6999,µm,Spot,3,1000025898,84121,
32.0408,µm,Spot,3,1000025762,84276,
33.5935,µm,Spot,3,1000026374,84574,
19.1734,µm,Spot,3,1000026660,84846,
57.3854,µm,Spot,3,1000024512,85119,
29.1607,µm,Spot,3,1000026990,85188,
35.2194,µm,Spot,3,1000027048,85231,
34.837,µm,Spot,3,1000027245,85436,
45.5469,µm,Spot,3,1000027656,85840,
20.685,µm,Spot,3,1000028860,87067,
19.439,µm,Spot,3,1000028849,87068,
32.6787,µm,Spot,3,1000026789,87113,
38.5923,µm,Spot,3,1000058544,87764,
42.06,µm,Spot,3,1000029962,88111,
102.372,µm,Spot,4,1000000426,89999,
90.0812,µm,Spot,4,1000034728,92817,
52.2178,µm,Spot,4,1000005575,94472,
49.6149,µm,Spot,4,1000094504,94504,
55.9341,µm,Spot,4,1000008102,96642,
65.0912,µm,Spot,4,1000011182,99638,
60.8371,µm,Spot,4,1000071729,100780,
75.3005,µm,Spot,4,1000069455,101402,
80.9862,µm,Spot,4,1000014633,102466,
47.4005,µm,Spot,4,1000014915,102705,
51.0773,µm,Spot,4,1000074239,103194,
49.4523,µm,Spot,4,1000018381,105925,
48.8507,µm,Spot,4,1000019405,106901,
30.6414,µm,Spot,4,1000023639,107889,
32.0806,µm,Spot,4,1000080712,109580,
69.5073,µm,Spot,4,1000022248,109796,
34.0358,µm,Spot,4,1000023039,110552,
46.5474,µm,Spot,4,1000082174,111030,
36.8409,µm,Spot,4,1000111173,111173,
28.2455,µm,Spot,4,1000026990,111660,
25.8576,µm,Spot,4,1000025863,112778,
59.8315,µm,Spot,4,1000025898,112805,
33.4117,µm,Spot,4,1000025762,112950,
32.7964,µm,Spot,4,1000026374,113239,
19.3328,µm,Spot,4,1000026660,113520,
56.891,µm,Spot,4,1000024512,113757,
34.3874,µm,Spot,4,1000027048,113865,
33.8983,µm,Spot,4,1000027245,114053,
33.8086,µm,Spot,4,1000027656,114406,
19.6396,µm,Spot,4,1000028849,115497,
33.3784,µm,Spot,4,1000026789,115539,
21.1165,µm,Spot,4,1000028860,115808,
38.3837,µm,Spot,4,1000058544,116209,
40.8157,µm,Spot,4,1000029962,116546,
70.2861,µm,Spot,4,1000117221,117221,
103.098,µm,Spot,5,1000000426,118445,
90.4572,µm,Spot,5,1000034728,121251,
52.7479,µm,Spot,5,1000005575,122895,
49.2814,µm,Spot,5,1000094504,122921,
54.3656,µm,Spot,5,1000008102,125190,
50.5966,µm,Spot,5,1000069455,126997,
62.9441,µm,Spot,5,1000011182,128077,
55.6939,µm,Spot,5,1000071729,129533,
45.3932,µm,Spot,5,1000130081,130081,
80.9089,µm,Spot,5,1000014633,130906,
43.5226,µm,Spot,5,1000014915,131163,
50.5442,µm,Spot,5,1000074239,131962,
48.4753,µm,Spot,5,1000018381,134403,
48.5822,µm,Spot,5,1000019405,135344,
27.5656,µm,Spot,5,1000135496,135496,
39.9471,µm,Spot,5,1000136105,136105,
29.9741,µm,Spot,5,1000023639,136650,
24.3916,µm,Spot,5,1000080712,138121,
67.5229,µm,Spot,5,1000022248,138370,
16.9823,µm,Spot,5,1000138478,138478,
24.7909,µm,Spot,5,1000023039,139141,
37.5628,µm,Spot,5,1000111173,139444,
47.4118,µm,Spot,5,1000082174,139613,
28.7181,µm,Spot,5,1000026990,140299,
14.4795,µm,Spot,5,1000025863,141518,
59.0713,µm,Spot,5,1000025898,141554,
33.804,µm,Spot,5,1000025762,141715,
30.1142,µm,Spot,5,1000026374,142006,
19.8759,µm,Spot,5,1000026660,142309,
20.3685,µm,Spot,5,1000026789,142442,
56.5095,µm,Spot,5,1000024512,142605,
31.2401,µm,Spot,5,1000027048,142723,
34.0548,µm,Spot,5,1000027245,142911,
33.0754,µm,Spot,5,1000027656,143300,
20.2842,µm,Spot,5,1000028849,144692,
21.2344,µm,Spot,5,1000028860,144697,
37.7223,µm,Spot,5,1000058544,145135,
40.6704,µm,Spot,5,1000029962,145462,
73.511,µm,Spot,5,1000145899,145899,
66.8671,µm,Spot,5,1000117221,146100,
102.492,µm,Spot,6,1000000426,147253,
89.8046,µm,Spot,6,1000034728,149987,
43.5569,µm,Spot,6,1000005575,151677,
38.2637,µm,Spot,6,1000094504,151710,
56.651,µm,Spot,6,1000008102,154042,
64.544,µm,Spot,6,1000011182,156798,
55.9655,µm,Spot,6,1000071729,157999,
41.3286,µm,Spot,6,1000158060,158060,
49.5072,µm,Spot,6,1000069455,158557,
45.8382,µm,Spot,6,1000130081,158794,
