
Track Speed Variation
 ==================== 
Track Speed Variation,Unit,Category,ID,
0.346796,,Track,1000000426,
0.240865,,Track,1000005575,
0.400773,,Track,1000008102,
0.18368,,Track,1000011182,
0.383572,,Track,1000014633,
0.181686,,Track,1000014915,
0.236117,,Track,1000018381,
0.23138,,Track,1000019405,
0.495651,,Track,1000022248,
0.256968,,Track,1000023039,
0.157047,,Track,1000023639,
0.310716,,Track,1000024512,
0.285454,,Track,1000025762,
0.353619,,Track,1000025863,
0.310907,,Track,1000025898,
0.313737,,Track,1000026374,
0.305615,,Track,1000026660,
0.285768,,Track,1000026789,
0.0707225,,Track,1000026990,
0.261211,,Track,1000027048,
0.406831,,Track,1000027245,
0.220947,,Track,1000027656,
0.466957,,Track,1000028849,
0.304059,,Track,1000028860,
0.65352,,Track,1000029962,
0.389054,,Track,1000034728,
0.277652,,Track,1000058544,
0.149381,,Track,1000069455,
0.38983,,Track,1000071729,
0.246392,,Track,1000074239,
0.240039,,Track,1000080712,
0.333095,,Track,1000082174,
0.352318,,Track,1000094504,
0.231152,,Track,1000111173,
0.328418,,Track,1000117221,
0.204515,,Track,1000130081,
0.238043,,Track,1000135496,
0.368011,,Track,1000136105,
0.320057,,Track,1000138478,
0.399554,,Track,1000145899,
0.17154,,Track,1000158060,
0.268487,,Track,1000165097,
0.331729,,Track,1000178867,
0.370588,,Track,1000196023,
0.232522,,Track,1000196749,
0.35047,,Track,1000199932,
0.398907,,Track,1000218062,
0.189612,,Track,1000221333,
0.172863,,Track,1000224234,
0.263857,,Track,1000224241,
0.323378,,Track,1000224431,
0.314001,,Track,1000226383,
0.297236,,Track,1000232501,
0.333746,,Track,1000244446,
0.165588,,Track,1000253547,
0.25726,,Track,1000257305,
0.534597,,Track,1000260417,
0.422831,,Track,1000260594,
0.304194,,Track,1000275823,
0.185549,,Track,1000278844,
0.467108,,Track,1000282540,
0.466745,,Track,1000282868,
0.508273,,Track,1000290426,
0.404239,,Track,1000290900,
0.323117,,Track,1000312915,
0.251469,,Track,1000320447,
0.124576,,Track,1000327258,
0.175907,,Track,1000338312,
0.272466,,Track,1000354440,
0.417386,,Track,1000354480,
0.238726,,Track,1000371442,
0.101408,,Track,1000373068,
0.35648,,Track,1000385100,
0.210083,,Track,1000401657,
0.279223,,Track,1000402605,
0.313164,,Track,1000405139,
0.371244,,Track,1000409035,
0.152859,,Track,1000421574,
0.499887,,Track,1000423376,
0.385303,,Track,1000429687,
0.446758,,Track,1000439186,
0.359556,,Track,1000449132,
0.321163,,Track,1000454057,
0.372254,,Track,1000454567,
0.310955,,Track,1000488632,
0.341644,,Track,1000489329,
0.167069,,Track,1000493396,
0.256269,,Track,1000515291,
0.276265,,Track,1000522409,
0.335223,,Track,1000522415,
0.351938,,Track,1000534158,
0.359892,,Track,1000535289,
0.668735,,Track,1000549440,
0.617764,,Track,1000566277,
0.287371,,Track,1000569584,
0.318423,,Track,1000572485,
0.294957,,Track,1000574056,
