
Track Straightness
 ==================== 
Track Straightness,Unit,Category,ID,
0.323781,,Track,1000000426,
0.266248,,Track,1000005575,
0.0939374,,Track,1000008102,
0.356258,,Track,1000011182,
0.207207,,Track,1000014633,
0.306795,,Track,1000014915,
0.168796,,Track,1000018381,
0.0623543,,Track,1000019405,
0.344428,,Track,1000022248,
0.357788,,Track,1000023039,
0.247125,,Track,1000023639,
0.222579,,Track,1000024512,
0.464449,,Track,1000025762,
0.323046,,Track,1000025863,
0.434706,,Track,1000025898,
0.175073,,Track,1000026374,
0.273303,,Track,1000026660,
0.345582,,Track,1000026789,
0.176934,,Track,1000026990,
0.175043,,Track,1000027048,
0.267603,,Track,1000027245,
0.270091,,Track,1000027656,
0.545876,,Track,1000028849,
0.255302,,Track,1000028860,
0.357792,,Track,1000029962,
0.135046,,Track,1000034728,
0.101494,,Track,1000058544,
0.263719,,Track,1000069455,
0.142532,,Track,1000071729,
0.206608,,Track,1000074239,
0.359368,,Track,1000080712,
0.207336,,Track,1000082174,
0.0361499,,Track,1000094504,
0.0865545,,Track,1000111173,
0.523094,,Track,1000117221,
0.244611,,Track,1000130081,
0.349762,,Track,1000135496,
0.158151,,Track,1000136105,
0.497963,,Track,1000138478,
0.150106,,Track,1000145899,
0.477377,,Track,1000158060,
0.100585,,Track,1000165097,
0.234048,,Track,1000178867,
0.195521,,Track,1000196023,
0.400656,,Track,1000196749,
0.213047,,Track,1000199932,
0.493255,,Track,1000218062,
0.191733,,Track,1000221333,
0.225089,,Track,1000224234,
0.203887,,Track,1000224241,
0.294483,,Track,1000224431,
0.250484,,Track,1000226383,
0.312863,,Track,1000232501,
0.254688,,Track,1000244446,
0.202324,,Track,1000253547,
0.196766,,Track,1000257305,
0.344208,,Track,1000260417,
0.164291,,Track,1000260594,
0.200666,,Track,1000275823,
0.536264,,Track,1000278844,
0.24397,,Track,1000282540,
0.204818,,Track,1000282868,
0.0397205,,Track,1000290426,
0.352422,,Track,1000290900,
0.219118,,Track,1000312915,
0.606538,,Track,1000320447,
0.337961,,Track,1000327258,
