
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
16445,,Spot,2,Image 1,1,1000000426,426,
0,,Spot,2,Image 1,1,1000005575,5575,
5431,,Spot,2,Image 1,1,1000008102,8102,
130050,,Spot,2,Image 1,1,1000011182,11182,
5861,,Spot,2,Image 1,1,1000014633,14633,
0,,Spot,2,Image 1,1,1000014915,14915,
13507,,Spot,2,Image 1,1,1000018381,18381,
17094,,Spot,2,Image 1,1,1000019405,19405,
139966,,Spot,2,Image 1,1,1000022248,22248,
2395,,Spot,2,Image 1,1,1000023039,23039,
583184,,Spot,2,Image 1,1,1000023639,23639,
0,,Spot,2,Image 1,1,1000024512,24512,
8371,,Spot,2,Image 1,1,1000025762,25762,
17326,,Spot,2,Image 1,1,1000025863,25863,
137880,,Spot,2,Image 1,1,1000025898,25898,
545,,Spot,2,Image 1,1,1000026374,26374,
0,,Spot,2,Image 1,1,1000026660,26660,
2361,,Spot,2,Image 1,1,1000026789,26789,
0,,Spot,2,Image 1,1,1000026990,26990,
0,,Spot,2,Image 1,1,1000027048,27048,
4060,,Spot,2,Image 1,1,1000027245,27245,
1902,,Spot,2,Image 1,1,1000027656,27656,
1912,,Spot,2,Image 1,1,1000028849,28849,
26288,,Spot,2,Image 1,1,1000028860,28860,
822,,Spot,2,Image 1,1,1000029962,29962,
6735,,Spot,2,Image 1,2,1000000426,31408,
38138,,Spot,2,Image 1,2,1000034728,34728,
0,,Spot,2,Image 1,2,1000005575,36136,
12895,,Spot,2,Image 1,2,1000008102,38443,
848581,,Spot,2,Image 1,2,1000011182,41290,
11618,,Spot,2,Image 1,2,1000014633,44511,
0,,Spot,2,Image 1,2,1000014915,44743,
15812,,Spot,2,Image 1,2,1000018381,48029,
10791,,Spot,2,Image 1,2,1000019405,48982,
1.17259e+06,,Spot,2,Image 1,2,1000023639,50349,
11414,,Spot,2,Image 1,2,1000022248,51941,
3550,,Spot,2,Image 1,2,1000023039,52388,
0,,Spot,2,Image 1,2,1000024512,53806,
0,,Spot,2,Image 1,2,1000026990,53878,
11219,,Spot,2,Image 1,2,1000025863,54980,
134464,,Spot,2,Image 1,2,1000025898,55022,
2481,,Spot,2,Image 1,2,1000025762,55178,
3593,,Spot,2,Image 1,2,1000026374,55483,
2545,,Spot,2,Image 1,2,1000026660,55751,
6256,,Spot,2,Image 1,2,1000026789,55877,
0,,Spot,2,Image 1,2,1000027048,56142,
4151,,Spot,2,Image 1,2,1000027245,56330,
1088,,Spot,2,Image 1,2,1000027656,56728,
728,,Spot,2,Image 1,2,1000028849,57830,
1036,,Spot,2,Image 1,2,1000028860,57836,
6507,,Spot,2,Image 1,2,1000058544,58544,
656,,Spot,2,Image 1,2,1000029962,58891,
3044,,Spot,2,Image 1,3,1000000426,60244,
49097,,Spot,2,Image 1,3,1000034728,63643,
0,,Spot,2,Image 1,3,1000005575,65097,
28130,,Spot,2,Image 1,3,1000008102,67443,
4184,,Spot,2,Image 1,3,1000069455,69455,
350891,,Spot,2,Image 1,3,1000011182,70317,
0,,Spot,2,Image 1,3,1000071729,71729,
2736,,Spot,2,Image 1,3,1000014633,73446,
0,,Spot,2,Image 1,3,1000014915,73705,
7908,,Spot,2,Image 1,3,1000074239,74239,
42461,,Spot,2,Image 1,3,1000018381,76943,
15792,,Spot,2,Image 1,3,1000019405,77924,
542152,,Spot,2,Image 1,3,1000023639,79247,
0,,Spot,2,Image 1,3,1000080712,80712,
13648,,Spot,2,Image 1,3,1000022248,80953,
806,,Spot,2,Image 1,3,1000023039,81387,
300029,,Spot,2,Image 1,3,1000082174,82174,
8334,,Spot,2,Image 1,3,1000025863,84084,
66908,,Spot,2,Image 1,3,1000025898,84121,
1035,,Spot,2,Image 1,3,1000025762,84276,
12177,,Spot,2,Image 1,3,1000026374,84574,
10306,,Spot,2,Image 1,3,1000026660,84846,
0,,Spot,2,Image 1,3,1000024512,85119,
0,,Spot,2,Image 1,3,1000026990,85188,
0,,Spot,2,Image 1,3,1000027048,85231,
139,,Spot,2,Image 1,3,1000027245,85436,
126212,,Spot,2,Image 1,3,1000027656,85840,
2859,,Spot,2,Image 1,3,1000028860,87067,
3692,,Spot,2,Image 1,3,1000028849,87068,
3341,,Spot,2,Image 1,3,1000026789,87113,
7125,,Spot,2,Image 1,3,1000058544,87764,
17919,,Spot,2,Image 1,3,1000029962,88111,
21628,,Spot,2,Image 1,4,1000000426,89999,
20044,,Spot,2,Image 1,4,1000034728,92817,
4,,Spot,2,Image 1,4,1000005575,94472,
0,,Spot,2,Image 1,4,1000094504,94504,
121,,Spot,2,Image 1,4,1000008102,96642,
624206,,Spot,2,Image 1,4,1000011182,99638,
0,,Spot,2,Image 1,4,1000071729,100780,
0,,Spot,2,Image 1,4,1000069455,101402,
5779,,Spot,2,Image 1,4,1000014633,102466,
1,,Spot,2,Image 1,4,1000014915,102705,
11002,,Spot,2,Image 1,4,1000074239,103194,
60084,,Spot,2,Image 1,4,1000018381,105925,
7676,,Spot,2,Image 1,4,1000019405,106901,
478996,,Spot,2,Image 1,4,1000023639,107889,
25,,Spot,2,Image 1,4,1000080712,109580,
8306,,Spot,2,Image 1,4,1000022248,109796,
401,,Spot,2,Image 1,4,1000023039,110552,
714775,,Spot,2,Image 1,4,1000082174,111030,
16,,Spot,2,Image 1,4,1000111173,111173,
0,,Spot,2,Image 1,4,1000026990,111660,
18161,,Spot,2,Image 1,4,1000025863,112778,
25038,,Spot,2,Image 1,4,1000025898,112805,
