
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
252,,Spot,2,Image 1,5,1000011182,128077,
0,,Spot,2,Image 1,5,1000071729,129533,
0,,Spot,2,Image 1,5,1000130081,130081,
26,,Spot,2,Image 1,5,1000014633,130906,
0,,Spot,2,Image 1,5,1000014915,131163,
53,,Spot,2,Image 1,5,1000074239,131962,
20,,Spot,2,Image 1,5,1000018381,134403,
41,,Spot,2,Image 1,5,1000019405,135344,
0,,Spot,2,Image 1,5,1000135496,135496,
41,,Spot,2,Image 1,5,1000136105,136105,
129,,Spot,2,Image 1,5,1000023639,136650,
0,,Spot,2,Image 1,5,1000080712,138121,
70,,Spot,2,Image 1,5,1000022248,138370,
0,,Spot,2,Image 1,5,1000138478,138478,
0,,Spot,2,Image 1,5,1000023039,139141,
0,,Spot,2,Image 1,5,1000111173,139444,
251,,Spot,2,Image 1,5,1000082174,139613,
0,,Spot,2,Image 1,5,1000026990,140299,
66,,Spot,2,Image 1,5,1000025863,141518,
0,,Spot,2,Image 1,5,1000025898,141554,
2,,Spot,2,Image 1,5,1000025762,141715,
76,,Spot,2,Image 1,5,1000026374,142006,
31,,Spot,2,Image 1,5,1000026660,142309,
0,,Spot,2,Image 1,5,1000026789,142442,
0,,Spot,2,Image 1,5,1000024512,142605,
0,,Spot,2,Image 1,5,1000027048,142723,
6,,Spot,2,Image 1,5,1000027245,142911,
0,,Spot,2,Image 1,5,1000027656,143300,
0,,Spot,2,Image 1,5,1000028849,144692,
12,,Spot,2,Image 1,5,1000028860,144697,
0,,Spot,2,Image 1,5,1000058544,145135,
74,,Spot,2,Image 1,5,1000029962,145462,
0,,Spot,2,Image 1,5,1000145899,145899,
92,,Spot,2,Image 1,5,1000117221,146100,
54,,Spot,2,Image 1,6,1000000426,147253,
158,,Spot,2,Image 1,6,1000034728,149987,
0,,Spot,2,Image 1,6,1000005575,151677,
0,,Spot,2,Image 1,6,1000094504,151710,
53,,Spot,2,Image 1,6,1000008102,154042,
252,,Spot,2,Image 1,6,1000011182,156798,
0,,Spot,2,Image 1,6,1000071729,157999,
0,,Spot,2,Image 1,6,1000158060,158060,
0,,Spot,2,Image 1,6,1000069455,158557,
0,,Spot,2,Image 1,6,1000130081,158794,
