
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
184,,Spot,4,Image 1,5,1000011182,128077,
4,,Spot,4,Image 1,5,1000071729,129533,
0,,Spot,4,Image 1,5,1000130081,130081,
253,,Spot,4,Image 1,5,1000014633,130906,
0,,Spot,4,Image 1,5,1000014915,131163,
251,,Spot,4,Image 1,5,1000074239,131962,
253,,Spot,4,Image 1,5,1000018381,134403,
184,,Spot,4,Image 1,5,1000019405,135344,
69,,Spot,4,Image 1,5,1000135496,135496,
253,,Spot,4,Image 1,5,1000136105,136105,
255,,Spot,4,Image 1,5,1000023639,136650,
18,,Spot,4,Image 1,5,1000080712,138121,
253,,Spot,4,Image 1,5,1000022248,138370,
0,,Spot,4,Image 1,5,1000138478,138478,
251,,Spot,4,Image 1,5,1000023039,139141,
0,,Spot,4,Image 1,5,1000111173,139444,
231,,Spot,4,Image 1,5,1000082174,139613,
252,,Spot,4,Image 1,5,1000026990,140299,
252,,Spot,4,Image 1,5,1000025863,141518,
254,,Spot,4,Image 1,5,1000025898,141554,
255,,Spot,4,Image 1,5,1000025762,141715,
255,,Spot,4,Image 1,5,1000026374,142006,
253,,Spot,4,Image 1,5,1000026660,142309,
231,,Spot,4,Image 1,5,1000026789,142442,
0,,Spot,4,Image 1,5,1000024512,142605,
201,,Spot,4,Image 1,5,1000027048,142723,
254,,Spot,4,Image 1,5,1000027245,142911,
253,,Spot,4,Image 1,5,1000027656,143300,
185,,Spot,4,Image 1,5,1000028849,144692,
255,,Spot,4,Image 1,5,1000028860,144697,
255,,Spot,4,Image 1,5,1000058544,145135,
251,,Spot,4,Image 1,5,1000029962,145462,
57,,Spot,4,Image 1,5,1000145899,145899,
151,,Spot,4,Image 1,5,1000117221,146100,
251,,Spot,4,Image 1,6,1000000426,147253,
251,,Spot,4,Image 1,6,1000034728,149987,
50,,Spot,4,Image 1,6,1000005575,151677,
0,,Spot,4,Image 1,6,1000094504,151710,
255,,Spot,4,Image 1,6,1000008102,154042,
239,,Spot,4,Image 1,6,1000011182,156798,
0,,Spot,4,Image 1,6,1000071729,157999,
74,,Spot,4,Image 1,6,1000158060,158060,
0,,Spot,4,Image 1,6,1000069455,158557,
0,,Spot,4,Image 1,6,1000130081,158794,
255,,Spot,4,Image 1,6,1000014633,159593,
5,,Spot,4,Image 1,6,1000014915,159795,
251,,Spot,4,Image 1,6,1000074239,160614,
253,,Spot,4,Image 1,6,1000018381,163048,
20,,Spot,4,Image 1,6,1000135496,164167,
255,,Spot,4,Image 1,6,1000165097,165097,
253,,Spot,4,Image 1,6,1000136105,165141,
255,,Spot,4,Image 1,6,1000023639,165409,
176,,Spot,4,Image 1,6,1000019405,166686,
253,,Spot,4,Image 1,6,1000022248,166839,
8,,Spot,4,Image 1,6,1000080712,166933,
100,,Spot,4,Image 1,6,1000138478,167324,
253,,Spot,4,Image 1,6,1000023039,168006,
0,,Spot,4,Image 1,6,1000111173,168315,
209,,Spot,4,Image 1,6,1000082174,168492,
255,,Spot,4,Image 1,6,1000026990,169213,
252,,Spot,4,Image 1,6,1000025863,170750,
254,,Spot,4,Image 1,6,1000025898,170777,
255,,Spot,4,Image 1,6,1000025762,170880,
255,,Spot,4,Image 1,6,1000026374,170923,
253,,Spot,4,Image 1,6,1000026660,171211,
251,,Spot,4,Image 1,6,1000026789,171326,
0,,Spot,4,Image 1,6,1000024512,171491,
214,,Spot,4,Image 1,6,1000027048,171600,
254,,Spot,4,Image 1,6,1000027245,171786,
253,,Spot,4,Image 1,6,1000027656,172144,
242,,Spot,4,Image 1,6,1000028849,173596,
255,,Spot,4,Image 1,6,1000028860,173606,
255,,Spot,4,Image 1,6,1000058544,174031,
251,,Spot,4,Image 1,6,1000029962,174373,
255,,Spot,4,Image 1,6,1000117221,175066,
56,,Spot,4,Image 1,6,1000145899,175260,
255,,Spot,4,Image 1,7,1000178867,178867,
198,,Spot,4,Image 1,7,1000034728,179036,
10,,Spot,4,Image 1,7,1000005575,180676,
0,,Spot,4,Image 1,7,1000094504,180709,
254,,Spot,4,Image 1,7,1000008102,183000,
26,,Spot,4,Image 1,7,1000158060,186936,
12,,Spot,4,Image 1,7,1000071729,187159,
0,,Spot,4,Image 1,7,1000069455,187472,
0,,Spot,4,Image 1,7,1000130081,187691,
254,,Spot,4,Image 1,7,1000014633,188535,
0,,Spot,4,Image 1,7,1000014915,188987,
159,,Spot,4,Image 1,7,1000074239,189513,
254,,Spot,4,Image 1,7,1000018381,191915,
195,,Spot,4,Image 1,7,1000019405,192882,
50,,Spot,4,Image 1,7,1000135496,193021,
254,,Spot,4,Image 1,7,1000165097,193932,
254,,Spot,4,Image 1,7,1000136105,193991,
255,,Spot,4,Image 1,7,1000196023,196023,
0,,Spot,4,Image 1,7,1000080712,196104,
10,,Spot,4,Image 1,7,1000196749,196749,
0,,Spot,4,Image 1,7,1000111173,197053,
227,,Spot,4,Image 1,7,1000082174,197213,
253,,Spot,4,Image 1,7,1000026990,197885,
255,,Spot,4,Image 1,7,1000025762,199227,
254,,Spot,4,Image 1,7,1000025863,199350,
255,,Spot,4,Image 1,7,1000026374,199538,
253,,Spot,4,Image 1,7,1000199932,199932,
255,,Spot,4,Image 1,7,1000026789,199942,
0,,Spot,4,Image 1,7,1000024512,200064,
103,,Spot,4,Image 1,7,1000027048,200164,
255,,Spot,4,Image 1,7,1000027245,200359,
254,,Spot,4,Image 1,7,1000027656,200760,
254,,Spot,4,Image 1,7,1000026660,201704,
255,,Spot,4,Image 1,7,1000028860,202112,
255,,Spot,4,Image 1,7,1000058544,202550,
251,,Spot,4,Image 1,7,1000029962,202900,
243,,Spot,4,Image 1,7,1000117221,203538,
21,,Spot,4,Image 1,7,1000145899,203689,
255,,Spot,4,Image 1,8,1000178867,207307,
201,,Spot,4,Image 1,8,1000034728,207491,
13,,Spot,4,Image 1,8,1000005575,209230,
5,,Spot,4,Image 1,8,1000094504,209263,
253,,Spot,4,Image 1,8,1000008102,211542,
12,,Spot,4,Image 1,8,1000158060,215684,
11,,Spot,4,Image 1,8,1000071729,215911,
0,,Spot,4,Image 1,8,1000069455,216187,
0,,Spot,4,Image 1,8,1000130081,216414,
254,,Spot,4,Image 1,8,1000014633,217248,
10,,Spot,4,Image 1,8,1000014915,217741,
34,,Spot,4,Image 1,8,1000218062,218062,
251,,Spot,4,Image 1,8,1000074239,218280,
253,,Spot,4,Image 1,8,1000018381,220701,
255,,Spot,4,Image 1,8,1000221333,221333,
146,,Spot,4,Image 1,8,1000019405,221685,
254,,Spot,4,Image 1,8,1000165097,222728,
254,,Spot,4,Image 1,8,1000136105,222780,
255,,Spot,4,Image 1,8,1000224234,224234,
255,,Spot,4,Image 1,8,1000224241,224241,
252,,Spot,4,Image 1,8,1000224431,224431,
24,,Spot,4,Image 1,8,1000135496,224496,
255,,Spot,4,Image 1,8,1000196023,224808,
157,,Spot,4,Image 1,8,1000138478,224884,
0,,Spot,4,Image 1,8,1000080712,224892,
0,,Spot,4,Image 1,8,1000196749,225577,
120,,Spot,4,Image 1,8,1000111173,225870,
253,,Spot,4,Image 1,8,1000082174,226025,
255,,Spot,4,Image 1,8,1000226383,226383,
253,,Spot,4,Image 1,8,1000026990,226673,
252,,Spot,4,Image 1,8,1000025863,228123,
255,,Spot,4,Image 1,8,1000026374,228289,
251,,Spot,4,Image 1,8,1000199932,228667,
3,,Spot,4,Image 1,8,1000024512,228832,
255,,Spot,4,Image 1,8,1000027245,228847,
95,,Spot,4,Image 1,8,1000027048,228921,
255,,Spot,4,Image 1,8,1000027656,229877,
254,,Spot,4,Image 1,8,1000026660,230497,
255,,Spot,4,Image 1,8,1000028860,230918,
255,,Spot,4,Image 1,8,1000058544,231336,
251,,Spot,4,Image 1,8,1000029962,231689,
235,,Spot,4,Image 1,8,1000117221,232329,
34,,Spot,4,Image 1,8,1000145899,232497,
213,,Spot,4,Image 1,8,1000232501,232501,
255,,Spot,4,Image 1,9,1000178867,236041,
251,,Spot,4,Image 1,9,1000034728,236229,
2,,Spot,4,Image 1,9,1000005575,237846,
9,,Spot,4,Image 1,9,1000094504,238096,
255,,Spot,4,Image 1,9,1000008102,240127,
21,,Spot,4,Image 1,9,1000071729,244439,
252,,Spot,4,Image 1,9,1000244446,244446,
40,,Spot,4,Image 1,9,1000158060,244507,
0,,Spot,4,Image 1,9,1000069455,244734,
0,,Spot,4,Image 1,9,1000130081,244994,
255,,Spot,4,Image 1,9,1000014633,245823,
0,,Spot,4,Image 1,9,1000014915,246314,
251,,Spot,4,Image 1,9,1000074239,246863,
11,,Spot,4,Image 1,9,1000218062,246918,
255,,Spot,4,Image 1,9,1000018381,249362,
255,,Spot,4,Image 1,9,1000221333,249997,
161,,Spot,4,Image 1,9,1000019405,250348,
252,,Spot,4,Image 1,9,1000165097,251399,
252,,Spot,4,Image 1,9,1000136105,251464,
255,,Spot,4,Image 1,9,1000224234,252909,
248,,Spot,4,Image 1,9,1000224241,252913,
253,,Spot,4,Image 1,9,1000224431,253095,
39,,Spot,4,Image 1,9,1000135496,253178,
255,,Spot,4,Image 1,9,1000196023,253490,
132,,Spot,4,Image 1,9,1000253547,253547,
30,,Spot,4,Image 1,9,1000080712,253569,
88,,Spot,4,Image 1,9,1000138478,253896,
0,,Spot,4,Image 1,9,1000196749,254212,
31,,Spot,4,Image 1,9,1000111173,254504,
255,,Spot,4,Image 1,9,1000226383,255067,
253,,Spot,4,Image 1,9,1000025863,256714,
255,,Spot,4,Image 1,9,1000026374,256892,
253,,Spot,4,Image 1,9,1000026660,257187,
251,,Spot,4,Image 1,9,1000199932,257298,
255,,Spot,4,Image 1,9,1000257305,257305,
