
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
780300,,Spot,1,Image 1,1,1000000426,426,
304356,,Spot,1,Image 1,1,1000005575,5575,
845325,,Spot,1,Image 1,1,1000008102,8102,
130050,,Spot,1,Image 1,1,1000011182,11182,
910350,,Spot,1,Image 1,1,1000014633,14633,
5232,,Spot,1,Image 1,1,1000014915,14915,
493687,,Spot,1,Image 1,1,1000018381,18381,
908571,,Spot,1,Image 1,1,1000019405,19405,
1.0404e+06,,Spot,1,Image 1,1,1000022248,22248,
780300,,Spot,1,Image 1,1,1000023039,23039,
650250,,Spot,1,Image 1,1,1000023639,23639,
676,,Spot,1,Image 1,1,1000024512,24512,
715275,,Spot,1,Image 1,1,1000025762,25762,
780300,,Spot,1,Image 1,1,1000025863,25863,
455175,,Spot,1,Image 1,1,1000025898,25898,
520200,,Spot,1,Image 1,1,1000026374,26374,
130050,,Spot,1,Image 1,1,1000026660,26660,
975375,,Spot,1,Image 1,1,1000026789,26789,
55372,,Spot,1,Image 1,1,1000026990,26990,
367199,,Spot,1,Image 1,1,1000027048,27048,
1.36553e+06,,Spot,1,Image 1,1,1000027245,27245,
985867,,Spot,1,Image 1,1,1000027656,27656,
1.00181e+06,,Spot,1,Image 1,1,1000028849,28849,
1.0404e+06,,Spot,1,Image 1,1,1000028860,28860,
630594,,Spot,1,Image 1,1,1000029962,29962,
578117,,Spot,1,Image 1,2,1000000426,31408,
788322,,Spot,1,Image 1,2,1000034728,34728,
83072,,Spot,1,Image 1,2,1000005575,36136,
888869,,Spot,1,Image 1,2,1000008102,38443,
1.25894e+06,,Spot,1,Image 1,2,1000011182,41290,
647198,,Spot,1,Image 1,2,1000014633,44511,
8530,,Spot,1,Image 1,2,1000014915,44743,
763070,,Spot,1,Image 1,2,1000018381,48029,
888132,,Spot,1,Image 1,2,1000019405,48982,
1.54936e+06,,Spot,1,Image 1,2,1000023639,50349,
845325,,Spot,1,Image 1,2,1000022248,51941,
1.52673e+06,,Spot,1,Image 1,2,1000023039,52388,
9,,Spot,1,Image 1,2,1000024512,53806,
45251,,Spot,1,Image 1,2,1000026990,53878,
1.09172e+06,,Spot,1,Image 1,2,1000025863,54980,
643649,,Spot,1,Image 1,2,1000025898,55022,
195075,,Spot,1,Image 1,2,1000025762,55178,
906282,,Spot,1,Image 1,2,1000026374,55483,
580648,,Spot,1,Image 1,2,1000026660,55751,
1.10794e+06,,Spot,1,Image 1,2,1000026789,55877,
239688,,Spot,1,Image 1,2,1000027048,56142,
1.03989e+06,,Spot,1,Image 1,2,1000027245,56330,
837700,,Spot,1,Image 1,2,1000027656,56728,
457831,,Spot,1,Image 1,2,1000028849,57830,
890102,,Spot,1,Image 1,2,1000028860,57836,
1.16892e+06,,Spot,1,Image 1,2,1000058544,58544,
500645,,Spot,1,Image 1,2,1000029962,58891,
1.28731e+06,,Spot,1,Image 1,3,1000000426,60244,
769014,,Spot,1,Image 1,3,1000034728,63643,
111898,,Spot,1,Image 1,3,1000005575,65097,
841770,,Spot,1,Image 1,3,1000008102,67443,
225,,Spot,1,Image 1,3,1000069455,69455,
978662,,Spot,1,Image 1,3,1000011182,70317,
23316,,Spot,1,Image 1,3,1000071729,71729,
557026,,Spot,1,Image 1,3,1000014633,73446,
38588,,Spot,1,Image 1,3,1000014915,73705,
991843,,Spot,1,Image 1,3,1000074239,74239,
558926,,Spot,1,Image 1,3,1000018381,76943,
711997,,Spot,1,Image 1,3,1000019405,77924,
854843,,Spot,1,Image 1,3,1000023639,79247,
18299,,Spot,1,Image 1,3,1000080712,80712,
454159,,Spot,1,Image 1,3,1000022248,80953,
639591,,Spot,1,Image 1,3,1000023039,81387,
924520,,Spot,1,Image 1,3,1000082174,82174,
1.11866e+06,,Spot,1,Image 1,3,1000025863,84084,
644158,,Spot,1,Image 1,3,1000025898,84121,
585225,,Spot,1,Image 1,3,1000025762,84276,
454157,,Spot,1,Image 1,3,1000026374,84574,
776230,,Spot,1,Image 1,3,1000026660,84846,
9,,Spot,1,Image 1,3,1000024512,85119,
48619,,Spot,1,Image 1,3,1000026990,85188,
306211,,Spot,1,Image 1,3,1000027048,85231,
779282,,Spot,1,Image 1,3,1000027245,85436,
1.34727e+06,,Spot,1,Image 1,3,1000027656,85840,
882362,,Spot,1,Image 1,3,1000028860,87067,
888376,,Spot,1,Image 1,3,1000028849,87068,
192029,,Spot,1,Image 1,3,1000026789,87113,
910350,,Spot,1,Image 1,3,1000058544,87764,
698051,,Spot,1,Image 1,3,1000029962,88111,
579129,,Spot,1,Image 1,4,1000000426,89999,
670988,,Spot,1,Image 1,4,1000034728,92817,
35071,,Spot,1,Image 1,4,1000005575,94472,
154607,,Spot,1,Image 1,4,1000094504,94504,
769134,,Spot,1,Image 1,4,1000008102,96642,
1.30853e+06,,Spot,1,Image 1,4,1000011182,99638,
18863,,Spot,1,Image 1,4,1000071729,100780,
0,,Spot,1,Image 1,4,1000069455,101402,
727453,,Spot,1,Image 1,4,1000014633,102466,
14805,,Spot,1,Image 1,4,1000014915,102705,
781502,,Spot,1,Image 1,4,1000074239,103194,
564345,,Spot,1,Image 1,4,1000018381,105925,
642205,,Spot,1,Image 1,4,1000019405,106901,
771671,,Spot,1,Image 1,4,1000023639,107889,
1454,,Spot,1,Image 1,4,1000080712,109580,
452632,,Spot,1,Image 1,4,1000022248,109796,
1.0157e+06,,Spot,1,Image 1,4,1000023039,110552,
1.44733e+06,,Spot,1,Image 1,4,1000082174,111030,
76697,,Spot,1,Image 1,4,1000111173,111173,
420465,,Spot,1,Image 1,4,1000026990,111660,
1.31443e+06,,Spot,1,Image 1,4,1000025863,112778,
451616,,Spot,1,Image 1,4,1000025898,112805,
845325,,Spot,1,Image 1,4,1000025762,112950,
629122,,Spot,1,Image 1,4,1000026374,113239,
642633,,Spot,1,Image 1,4,1000026660,113520,
0,,Spot,1,Image 1,4,1000024512,113757,
611150,,Spot,1,Image 1,4,1000027048,113865,
1.48998e+06,,Spot,1,Image 1,4,1000027245,114053,
642126,,Spot,1,Image 1,4,1000027656,114406,
996237,,Spot,1,Image 1,4,1000028849,115497,
771176,,Spot,1,Image 1,4,1000026789,115539,
1.08266e+06,,Spot,1,Image 1,4,1000028860,115808,
715275,,Spot,1,Image 1,4,1000058544,116209,
580330,,Spot,1,Image 1,4,1000029962,116546,
491123,,Spot,1,Image 1,4,1000117221,117221,
512084,,Spot,1,Image 1,5,1000000426,118445,
663694,,Spot,1,Image 1,5,1000034728,121251,
39124,,Spot,1,Image 1,5,1000005575,122895,
231803,,Spot,1,Image 1,5,1000094504,122921,
957235,,Spot,1,Image 1,5,1000008102,125190,
484,,Spot,1,Image 1,5,1000069455,126997,
1.2483e+06,,Spot,1,Image 1,5,1000011182,128077,
18935,,Spot,1,Image 1,5,1000071729,129533,
481,,Spot,1,Image 1,5,1000130081,130081,
687539,,Spot,1,Image 1,5,1000014633,130906,
12122,,Spot,1,Image 1,5,1000014915,131163,
1.08261e+06,,Spot,1,Image 1,5,1000074239,131962,
551046,,Spot,1,Image 1,5,1000018381,134403,
701206,,Spot,1,Image 1,5,1000019405,135344,
16075,,Spot,1,Image 1,5,1000135496,135496,
731379,,Spot,1,Image 1,5,1000136105,136105,
895639,,Spot,1,Image 1,5,1000023639,136650,
30995,,Spot,1,Image 1,5,1000080712,138121,
645675,,Spot,1,Image 1,5,1000022248,138370,
870,,Spot,1,Image 1,5,1000138478,138478,
1.02417e+06,,Spot,1,Image 1,5,1000023039,139141,
463806,,Spot,1,Image 1,5,1000111173,139444,
1.22153e+06,,Spot,1,Image 1,5,1000082174,139613,
1.0715e+06,,Spot,1,Image 1,5,1000026990,140299,
1.0097e+06,,Spot,1,Image 1,5,1000025863,141518,
709173,,Spot,1,Image 1,5,1000025898,141554,
