
Track Intensity Center Mean Ch=2 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
0,,Track,2,Image 1,1001088789,
0,,Track,2,Image 1,1001102674,
0,,Track,2,Image 1,1001104072,
0,,Track,2,Image 1,1001115718,
30.6316,,Track,2,Image 1,1001128302,
0,,Track,2,Image 1,1001128779,
5.55556,,Track,2,Image 1,1001129977,
0,,Track,2,Image 1,1001132092,
0.571429,,Track,2,Image 1,1001132873,
32.1379,,Track,2,Image 1,1001138880,
35.7,,Track,2,Image 1,1001148839,
30.4444,,Track,2,Image 1,1001162429,
0,,Track,2,Image 1,1001183631,
18.6,,Track,2,Image 1,1001190228,
136.75,,Track,2,Image 1,1001205984,
239.111,,Track,2,Image 1,1001222072,
0,,Track,2,Image 1,1001223904,
24.7143,,Track,2,Image 1,1001236985,
0,,Track,2,Image 1,1001244289,
11,,Track,2,Image 1,1001261153,
0,,Track,2,Image 1,1001265495,
0,,Track,2,Image 1,1001290709,
6.33333,,Track,2,Image 1,1001298039,
0,,Track,2,Image 1,1001304416,
0,,Track,2,Image 1,1001307011,
0,,Track,2,Image 1,1001310725,
8.22222,,Track,2,Image 1,1001347654,
0,,Track,2,Image 1,1001349662,
203,,Track,2,Image 1,1001351185,
0,,Track,2,Image 1,1001373018,
53.7143,,Track,2,Image 1,1001374929,
18.5333,,Track,2,Image 1,1001376957,
50.7143,,Track,2,Image 1,1001382680,
38.125,,Track,2,Image 1,1001390095,
0,,Track,2,Image 1,1001399631,
0,,Track,2,Image 1,1001414282,
36.1304,,Track,2,Image 1,1001432525,
0.666667,,Track,2,Image 1,1001443126,
22.9,,Track,2,Image 1,1001444551,
0,,Track,2,Image 1,1001447832,
0,,Track,2,Image 1,1001459999,
1.30769,,Track,2,Image 1,1001463577,
0,,Track,2,Image 1,1001470670,
40.6667,,Track,2,Image 1,1001484970,
244,,Track,2,Image 1,1001498754,
30.2222,,Track,2,Image 1,1001510065,
74,,Track,2,Image 1,1001511880,
161.87,,Track,2,Image 1,1001515348,
0,,Track,2,Image 1,1001524529,
0,,Track,2,Image 1,1001524797,
0,,Track,2,Image 1,1001531007,
0,,Track,2,Image 1,1001535243,
0,,Track,2,Image 1,1001536213,
