
Track Number of Spots
 ==================== 
Track Number of Spots,Unit,Category,ID,
15,,Track,1002148602,
6,,Track,1002150876,
14,,Track,1002158806,
7,,Track,1002180262,
8,,Track,1002182375,
6,,Track,1002205040,
7,,Track,1002211774,
8,,Track,1002213141,
14,,Track,1002223441,
6,,Track,1002227684,
13,,Track,1002236414,
13,,Track,1002242134,
10,,Track,1002242329,
12,,Track,1002243369,
6,,Track,1002246854,
7,,Track,1002262996,
7,,Track,1002273437,
7,,Track,1002278860,
6,,Track,1002300559,
11,,Track,1002307653,
11,,Track,1002309454,
11,,Track,1002316459,
6,,Track,1002316883,
11,,Track,1002317275,
10,,Track,1002336151,
6,,Track,1002336484,
9,,Track,1002360360,
9,,Track,1002367218,
9,,Track,1002369367,
8,,Track,1002382179,
8,,Track,1002396861,
8,,Track,1002402760,
6,,Track,1002404222,
7,,Track,1002429210,
7,,Track,1002435411,
6,,Track,1002453328,
6,,Track,1002454260,
6,,Track,1002458180,
6,,Track,1002460030,
6,,Track,1002460974,
6,,Track,1002461635,
6,,Track,1002463724,
