
Track Intensity Center Mean Ch=6 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
249.667,,Track,6,Image 1,1000000426,
252.111,,Track,6,Image 1,1000005575,
251.478,,Track,6,Image 1,1000008102,
251.833,,Track,6,Image 1,1000011182,
249.5,,Track,6,Image 1,1000014633,
247.667,,Track,6,Image 1,1000014915,
251.6,,Track,6,Image 1,1000018381,
251.3,,Track,6,Image 1,1000019405,
245.167,,Track,6,Image 1,1000022248,
239.833,,Track,6,Image 1,1000023039,
252.333,,Track,6,Image 1,1000023639,
251.652,,Track,6,Image 1,1000024512,
250.143,,Track,6,Image 1,1000025762,
251.5,,Track,6,Image 1,1000025863,
250.5,,Track,6,Image 1,1000025898,
250.944,,Track,6,Image 1,1000026374,
248.462,,Track,6,Image 1,1000026660,
251.571,,Track,6,Image 1,1000026789,
252,,Track,6,Image 1,1000026990,
250.938,,Track,6,Image 1,1000027048,
237.222,,Track,6,Image 1,1000027245,
248.778,,Track,6,Image 1,1000027656,
239.167,,Track,6,Image 1,1000028849,
251.5,,Track,6,Image 1,1000028860,
251.667,,Track,6,Image 1,1000029962,
251.769,,Track,6,Image 1,1000034728,
240,,Track,6,Image 1,1000058544,
249.857,,Track,6,Image 1,1000069455,
251.273,,Track,6,Image 1,1000071729,
245.909,,Track,6,Image 1,1000074239,
251.125,,Track,6,Image 1,1000080712,
251.167,,Track,6,Image 1,1000082174,
251.857,,Track,6,Image 1,1000094504,
249.444,,Track,6,Image 1,1000111173,
251,,Track,6,Image 1,1000117221,
250.571,,Track,6,Image 1,1000130081,
251.667,,Track,6,Image 1,1000135496,
232.833,,Track,6,Image 1,1000136105,
251.6,,Track,6,Image 1,1000138478,
251.342,,Track,6,Image 1,1000145899,
251.857,,Track,6,Image 1,1000158060,
250.188,,Track,6,Image 1,1000165097,
243,,Track,6,Image 1,1000178867,
241.714,,Track,6,Image 1,1000196023,
251.889,,Track,6,Image 1,1000196749,
249.6,,Track,6,Image 1,1000199932,
251.556,,Track,6,Image 1,1000218062,
251.286,,Track,6,Image 1,1000221333,
248,,Track,6,Image 1,1000224234,
250.429,,Track,6,Image 1,1000224241,
248.222,,Track,6,Image 1,1000224431,
251.667,,Track,6,Image 1,1000226383,
252,,Track,6,Image 1,1000232501,
238.75,,Track,6,Image 1,1000244446,
252,,Track,6,Image 1,1000253547,
244.5,,Track,6,Image 1,1000257305,
249.813,,Track,6,Image 1,1000260417,
243,,Track,6,Image 1,1000260594,
251.136,,Track,6,Image 1,1000275823,
251.429,,Track,6,Image 1,1000278844,
250.909,,Track,6,Image 1,1000282540,
251,,Track,6,Image 1,1000282868,
251.5,,Track,6,Image 1,1000290426,
251,,Track,6,Image 1,1000290900,
250.15,,Track,6,Image 1,1000312915,
251,,Track,6,Image 1,1000320447,
222.167,,Track,6,Image 1,1000327258,
251.111,,Track,6,Image 1,1000338312,
251.364,,Track,6,Image 1,1000354440,
237.533,,Track,6,Image 1,1000354480,
251.522,,Track,6,Image 1,1000371442,
251.833,,Track,6,Image 1,1000373068,
241,,Track,6,Image 1,1000385100,
251,,Track,6,Image 1,1000401657,
249.429,,Track,6,Image 1,1000402605,
250.222,,Track,6,Image 1,1000405139,
251.824,,Track,6,Image 1,1000409035,
251,,Track,6,Image 1,1000421574,
250.857,,Track,6,Image 1,1000423376,
251.7,,Track,6,Image 1,1000429687,
251.545,,Track,6,Image 1,1000439186,
247.722,,Track,6,Image 1,1000449132,
251.871,,Track,6,Image 1,1000454057,
246.6,,Track,6,Image 1,1000454567,
251,,Track,6,Image 1,1000488632,
242,,Track,6,Image 1,1000489329,
246.444,,Track,6,Image 1,1000493396,
251.714,,Track,6,Image 1,1000515291,
252.125,,Track,6,Image 1,1000522409,
243.25,,Track,6,Image 1,1000522415,
248.813,,Track,6,Image 1,1000534158,
250.909,,Track,6,Image 1,1000535289,
247.778,,Track,6,Image 1,1000549440,
243.167,,Track,6,Image 1,1000566277,
251.524,,Track,6,Image 1,1000569584,
251.053,,Track,6,Image 1,1000572485,
252,,Track,6,Image 1,1000574056,
241.4,,Track,6,Image 1,1000576160,
246.028,,Track,6,Image 1,1000606742,
245.857,,Track,6,Image 1,1000623228,
247.667,,Track,6,Image 1,1000626063,
244.833,,Track,6,Image 1,1000628237,
243.6,,Track,6,Image 1,1000657926,
242.286,,Track,6,Image 1,1000667525,
250.875,,Track,6,Image 1,1000675627,
245,,Track,6,Image 1,1000684239,
251.231,,Track,6,Image 1,1000686553,
251.476,,Track,6,Image 1,1000689377,
251.8,,Track,6,Image 1,1000690930,
248.5,,Track,6,Image 1,1000692325,
251,,Track,6,Image 1,1000695046,
251.429,,Track,6,Image 1,1000704730,
251.353,,Track,6,Image 1,1000705525,
250.833,,Track,6,Image 1,1000712057,
251.667,,Track,6,Image 1,1000728131,
251,,Track,6,Image 1,1000755087,
245.714,,Track,6,Image 1,1000764459,
250.857,,Track,6,Image 1,1000809896,
251,,Track,6,Image 1,1000811156,
251,,Track,6,Image 1,1000813964,
251.091,,Track,6,Image 1,1000825954,
251,,Track,6,Image 1,1000835089,
245.714,,Track,6,Image 1,1000839692,
235.143,,Track,6,Image 1,1000855659,
251.167,,Track,6,Image 1,1000856861,
250.667,,Track,6,Image 1,1000858553,
251.286,,Track,6,Image 1,1000860086,
237.474,,Track,6,Image 1,1000860289,
251.889,,Track,6,Image 1,1000864199,
251.167,,Track,6,Image 1,1000865808,
244.375,,Track,6,Image 1,1000866048,
251.5,,Track,6,Image 1,1000887899,
251.2,,Track,6,Image 1,1000890207,
251.143,,Track,6,Image 1,1000898844,
251.857,,Track,6,Image 1,1000926710,
251,,Track,6,Image 1,1000946144,
251.889,,Track,6,Image 1,1000953090,
251.375,,Track,6,Image 1,1000962165,
234.808,,Track,6,Image 1,1000976176,
234.5,,Track,6,Image 1,1000988049,
251.273,,Track,6,Image 1,1001007366,
251.071,,Track,6,Image 1,1001020468,
250.353,,Track,6,Image 1,1001028919,
251.667,,Track,6,Image 1,1001035449,
251.333,,Track,6,Image 1,1001045764,
251.2,,Track,6,Image 1,1001046137,
251.833,,Track,6,Image 1,1001054405,
