
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
144.98,125.016,89.1976,°,Spot,Velocity Angle,3,1000028849,87068,
83.5799,97.1693,9.64622,°,Spot,Velocity Angle,3,1000026789,87113,
32.0079,121.978,91.2897,°,Spot,Velocity Angle,3,1000058544,87764,
166.466,103.542,90.0027,°,Spot,Velocity Angle,3,1000029962,88111,
115.083,56.7439,43.8796,°,Spot,Velocity Angle,4,1000000426,89999,
114.493,45.6077,125.597,°,Spot,Velocity Angle,4,1000034728,92817,
132.641,62.9113,54.7084,°,Spot,Velocity Angle,4,1000005575,94472,
143.921,56.3503,78.4941,°,Spot,Velocity Angle,4,1000094504,94504,
84.6391,60.4099,30.1722,°,Spot,Velocity Angle,4,1000008102,96642,
50.516,63.0536,51.3399,°,Spot,Velocity Angle,4,1000011182,99638,
82.2771,52.0969,38.969,°,Spot,Velocity Angle,4,1000071729,100780,
125.941,40.9107,73.1137,°,Spot,Velocity Angle,4,1000069455,101402,
52.8997,40.4775,76.1302,°,Spot,Velocity Angle,4,1000014633,102466,
122.58,60.7299,46.6622,°,Spot,Velocity Angle,4,1000014915,102705,
63.7029,89.2992,26.3106,°,Spot,Velocity Angle,4,1000074239,103194,
69.8888,29.8844,68.8686,°,Spot,Velocity Angle,4,1000018381,105925,
27.6396,64.4987,99.9464,°,Spot,Velocity Angle,4,1000019405,106901,
12.5168,78.2297,94.1934,°,Spot,Velocity Angle,4,1000023639,107889,
60.7201,34.0285,105.779,°,Spot,Velocity Angle,4,1000080712,109580,
32.3024,97.1178,121.324,°,Spot,Velocity Angle,4,1000022248,109796,
92.3423,120.509,30.6152,°,Spot,Velocity Angle,4,1000023039,110552,
30.3598,98.5863,118.877,°,Spot,Velocity Angle,4,1000082174,111030,
91.3536,69.3805,159.335,°,Spot,Velocity Angle,4,1000111173,111173,
99.2451,40.9295,129.433,°,Spot,Velocity Angle,4,1000026990,111660,
15.7311,82.9581,103.995,°,Spot,Velocity Angle,4,1000025863,112778,
110.329,159.662,90.7836,°,Spot,Velocity Angle,4,1000025898,112805,
18.038,87.633,72.1316,°,Spot,Velocity Angle,4,1000025762,112950,
156.903,89.9102,113.105,°,Spot,Velocity Angle,4,1000026374,113239,
158.207,84.8774,68.8759,°,Spot,Velocity Angle,4,1000026660,113520,
104.043,51.9264,41.507,°,Spot,Velocity Angle,4,1000024512,113757,
