
Track Diameter Mean
 ==================== 
Track Diameter Mean,Unit,Category,ID,
3.894,µm,Track,1001399631,
3.61513,µm,Track,1001414282,
3.55526,µm,Track,1001432525,
4.42249,µm,Track,1001443126,
3.68917,µm,Track,1001444551,
4.0609,µm,Track,1001447832,
5.06969,µm,Track,1001459999,
3.45472,µm,Track,1001463577,
3.93829,µm,Track,1001470670,
3.0058,µm,Track,1001484970,
3.68533,µm,Track,1001498754,
3.16666,µm,Track,1001510065,
3.01053,µm,Track,1001511880,
3.61137,µm,Track,1001515348,
3.96729,µm,Track,1001524529,
3.70072,µm,Track,1001524797,
3.69182,µm,Track,1001531007,
3.53956,µm,Track,1001535243,
4.51956,µm,Track,1001536213,
3.26203,µm,Track,1001549656,
3.92818,µm,Track,1001571482,
3.28162,µm,Track,1001585322,
3.21743,µm,Track,1001597972,
3.98777,µm,Track,1001634186,
3.1314,µm,Track,1001641521,
3.42398,µm,Track,1001649683,
4.74282,µm,Track,1001660310,
3.45195,µm,Track,1001662631,
3.18999,µm,Track,1001662802,
2.8941,µm,Track,1001692264,
4.24953,µm,Track,1001696991,
4.6106,µm,Track,1001705575,
4.33295,µm,Track,1001708522,
4.11442,µm,Track,1001717292,
4.08256,µm,Track,1001721190,
3.02017,µm,Track,1001721732,
3.26525,µm,Track,1001722530,
3.12545,µm,Track,1001723411,
3.27855,µm,Track,1001735688,
3.43945,µm,Track,1001739237,
3.2477,µm,Track,1001745981,
3.9227,µm,Track,1001748846,
2.95843,µm,Track,1001774250,
3.00744,µm,Track,1001792466,
3.43478,µm,Track,1001800294,
3.73255,µm,Track,1001831823,
3.80054,µm,Track,1001838017,
3.19825,µm,Track,1001843531,
3.31945,µm,Track,1001850191,
3.26359,µm,Track,1001869026,
3.5939,µm,Track,1001872907,
4.89629,µm,Track,1001874170,
3.67655,µm,Track,1001876881,
3.35168,µm,Track,1001878744,
2.96726,µm,Track,1001889904,
3.4479,µm,Track,1001895167,
3.23354,µm,Track,1001896809,
3.27389,µm,Track,1001904297,
3.76446,µm,Track,1001904618,
3.87787,µm,Track,1001939884,
2.78349,µm,Track,1001942811,
3.94033,µm,Track,1001954731,
3.53728,µm,Track,1001968557,
3.55882,µm,Track,1001968819,
3.51918,µm,Track,1001978360,
2.97061,µm,Track,1002006710,
4.18148,µm,Track,1002029154,
3.79383,µm,Track,1002031500,
3.50717,µm,Track,1002047887,
3.25666,µm,Track,1002051985,
3.91226,µm,Track,1002059095,
3.27962,µm,Track,1002067444,
3.40663,µm,Track,1002067747,
3.63558,µm,Track,1002113497,
4.05294,µm,Track,1002124155,
3.32007,µm,Track,1002125541,
3.38974,µm,Track,1002142435,
3.49831,µm,Track,1002148602,
3.81855,µm,Track,1002150876,
3.3799,µm,Track,1002158806,
3.61659,µm,Track,1002180262,
3.69817,µm,Track,1002182375,
3.9143,µm,Track,1002205040,
3.2563,µm,Track,1002211774,
3.95764,µm,Track,1002213141,
3.4289,µm,Track,1002223441,
3.389,µm,Track,1002227684,
3.65173,µm,Track,1002236414,
3.3905,µm,Track,1002242134,
3.44386,µm,Track,1002242329,
4.07558,µm,Track,1002243369,
3.31066,µm,Track,1002246854,
3.2537,µm,Track,1002262996,
3.56105,µm,Track,1002273437,
3.26285,µm,Track,1002278860,
3.27709,µm,Track,1002300559,
3.89616,µm,Track,1002307653,
4.12135,µm,Track,1002309454,
3.00963,µm,Track,1002316459,
3.17166,µm,Track,1002316883,
3.19947,µm,Track,1002317275,
4.1621,µm,Track,1002336151,
3.05687,µm,Track,1002336484,
3.25092,µm,Track,1002360360,
3.52143,µm,Track,1002367218,
2.95574,µm,Track,1002369367,
3.67334,µm,Track,1002382179,
3.67547,µm,Track,1002396861,
5.07277,µm,Track,1002402760,
3.19762,µm,Track,1002404222,
2.89141,µm,Track,1002429210,
3.1236,µm,Track,1002435411,
3.86003,µm,Track,1002453328,
3.1579,µm,Track,1002454260,
3.46162,µm,Track,1002458180,
4.23657,µm,Track,1002460030,
3.39794,µm,Track,1002460974,
4.15482,µm,Track,1002461635,
3.40384,µm,Track,1002463724,
