
Track Intensity StdDev Ch=4 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
38.1017,,Track,4,Image 1,1001035449,
89.6935,,Track,4,Image 1,1001045764,
49.8786,,Track,4,Image 1,1001046137,
11.1195,,Track,4,Image 1,1001054405,
1.05,,Track,4,Image 1,1001070831,
0.53203,,Track,4,Image 1,1001074979,
14.9992,,Track,4,Image 1,1001078337,
29.4329,,Track,4,Image 1,1001087121,
36.6097,,Track,4,Image 1,1001088762,
48.7671,,Track,4,Image 1,1001088789,
0.576341,,Track,4,Image 1,1001102674,
78.5259,,Track,4,Image 1,1001104072,
59.2889,,Track,4,Image 1,1001115718,
23.8921,,Track,4,Image 1,1001128302,
36.2145,,Track,4,Image 1,1001128779,
29.3589,,Track,4,Image 1,1001129977,
9.65083,,Track,4,Image 1,1001132092,
0.867987,,Track,4,Image 1,1001132873,
27.1226,,Track,4,Image 1,1001138880,
24.2406,,Track,4,Image 1,1001148839,
50.7238,,Track,4,Image 1,1001162429,
14.2484,,Track,4,Image 1,1001183631,
15.7681,,Track,4,Image 1,1001190228,
22.4737,,Track,4,Image 1,1001205984,
15.209,,Track,4,Image 1,1001222072,
54.8955,,Track,4,Image 1,1001223904,
0,,Track,4,Image 1,1001236985,
38.2802,,Track,4,Image 1,1001244289,
0.229061,,Track,4,Image 1,1001261153,
53.2543,,Track,4,Image 1,1001265495,
60.3143,,Track,4,Image 1,1001290709,
0,,Track,4,Image 1,1001298039,
20.3458,,Track,4,Image 1,1001304416,
44.5529,,Track,4,Image 1,1001307011,
39.5643,,Track,4,Image 1,1001310725,
43.8731,,Track,4,Image 1,1001347654,
55.6121,,Track,4,Image 1,1001349662,
25.6117,,Track,4,Image 1,1001351185,
20.0158,,Track,4,Image 1,1001373018,
17.2151,,Track,4,Image 1,1001374929,
21.9726,,Track,4,Image 1,1001376957,
32.6222,,Track,4,Image 1,1001382680,
0.232562,,Track,4,Image 1,1001390095,
33.3615,,Track,4,Image 1,1001399631,
84.8462,,Track,4,Image 1,1001414282,
6.11917,,Track,4,Image 1,1001432525,
69.7809,,Track,4,Image 1,1001443126,
33.5667,,Track,4,Image 1,1001444551,
54.2032,,Track,4,Image 1,1001447832,
20.4407,,Track,4,Image 1,1001459999,
1.12706,,Track,4,Image 1,1001463577,
25.0721,,Track,4,Image 1,1001470670,
1.02774,,Track,4,Image 1,1001484970,
49.1702,,Track,4,Image 1,1001498754,
5.72612,,Track,4,Image 1,1001510065,
0.990568,,Track,4,Image 1,1001511880,
42.4425,,Track,4,Image 1,1001515348,
57.6315,,Track,4,Image 1,1001524529,
27.8542,,Track,4,Image 1,1001524797,
4.56011,,Track,4,Image 1,1001531007,
46.6052,,Track,4,Image 1,1001535243,
0.89906,,Track,4,Image 1,1001536213,
94.7723,,Track,4,Image 1,1001549656,
21.4755,,Track,4,Image 1,1001571482,
34.2354,,Track,4,Image 1,1001585322,
62.7652,,Track,4,Image 1,1001597972,
43.3259,,Track,4,Image 1,1001634186,
55.0576,,Track,4,Image 1,1001641521,
39.3701,,Track,4,Image 1,1001649683,
74.7317,,Track,4,Image 1,1001660310,
58.2422,,Track,4,Image 1,1001662631,
0.861895,,Track,4,Image 1,1001662802,
60.1128,,Track,4,Image 1,1001692264,
60.2382,,Track,4,Image 1,1001696991,
45.6497,,Track,4,Image 1,1001705575,
31.4066,,Track,4,Image 1,1001708522,
5.28815,,Track,4,Image 1,1001717292,
34.7452,,Track,4,Image 1,1001721190,
24.7555,,Track,4,Image 1,1001721732,
71.164,,Track,4,Image 1,1001722530,
10.544,,Track,4,Image 1,1001723411,
54.8538,,Track,4,Image 1,1001735688,
28.1825,,Track,4,Image 1,1001739237,
3.79911,,Track,4,Image 1,1001745981,
52.0702,,Track,4,Image 1,1001748846,
22.518,,Track,4,Image 1,1001774250,
9.93862,,Track,4,Image 1,1001792466,
28.5292,,Track,4,Image 1,1001800294,
21.6393,,Track,4,Image 1,1001831823,
29.7702,,Track,4,Image 1,1001838017,
57.0791,,Track,4,Image 1,1001843531,
22.8343,,Track,4,Image 1,1001850191,
23.6827,,Track,4,Image 1,1001869026,
44.6184,,Track,4,Image 1,1001872907,
62.5423,,Track,4,Image 1,1001874170,
48.9036,,Track,4,Image 1,1001876881,
0.736058,,Track,4,Image 1,1001878744,
0.391404,,Track,4,Image 1,1001889904,
8.54557,,Track,4,Image 1,1001895167,
19.6468,,Track,4,Image 1,1001896809,
53.3132,,Track,4,Image 1,1001904297,
68.0248,,Track,4,Image 1,1001904618,
1.09366,,Track,4,Image 1,1001939884,
0.481217,,Track,4,Image 1,1001942811,
34.1885,,Track,4,Image 1,1001954731,
33.758,,Track,4,Image 1,1001968557,
55.4386,,Track,4,Image 1,1001968819,
61.0814,,Track,4,Image 1,1001978360,
12.5488,,Track,4,Image 1,1002006710,
0.871761,,Track,4,Image 1,1002029154,
66.8091,,Track,4,Image 1,1002031500,
22.2875,,Track,4,Image 1,1002047887,
21.6828,,Track,4,Image 1,1002051985,
39.8174,,Track,4,Image 1,1002059095,
0,,Track,4,Image 1,1002067444,
1.01737,,Track,4,Image 1,1002067747,
0.812754,,Track,4,Image 1,1002113497,
9.5763,,Track,4,Image 1,1002124155,
50.3198,,Track,4,Image 1,1002125541,
39.7122,,Track,4,Image 1,1002142435,
33.731,,Track,4,Image 1,1002148602,
50.4707,,Track,4,Image 1,1002150876,
0.876066,,Track,4,Image 1,1002158806,
21.4246,,Track,4,Image 1,1002180262,
21.4554,,Track,4,Image 1,1002182375,
34.3693,,Track,4,Image 1,1002205040,
39.3084,,Track,4,Image 1,1002211774,
64.713,,Track,4,Image 1,1002213141,
63.9803,,Track,4,Image 1,1002223441,
46.4049,,Track,4,Image 1,1002227684,
32.0787,,Track,4,Image 1,1002236414,
20.1691,,Track,4,Image 1,1002242134,
25.5837,,Track,4,Image 1,1002242329,
0.629932,,Track,4,Image 1,1002243369,
33.021,,Track,4,Image 1,1002246854,
33.4464,,Track,4,Image 1,1002262996,
47.3121,,Track,4,Image 1,1002273437,
64.8252,,Track,4,Image 1,1002278860,
9.53384,,Track,4,Image 1,1002300559,
56.0685,,Track,4,Image 1,1002307653,
68.8405,,Track,4,Image 1,1002309454,
26.9981,,Track,4,Image 1,1002316459,
1.11224,,Track,4,Image 1,1002316883,
0.851178,,Track,4,Image 1,1002317275,
30.4251,,Track,4,Image 1,1002336151,
43.7587,,Track,4,Image 1,1002336484,
34.6847,,Track,4,Image 1,1002360360,
64.4727,,Track,4,Image 1,1002367218,
63.5612,,Track,4,Image 1,1002369367,
49.7486,,Track,4,Image 1,1002382179,
14.1851,,Track,4,Image 1,1002396861,
34.2924,,Track,4,Image 1,1002402760,
48.0104,,Track,4,Image 1,1002404222,
49.6869,,Track,4,Image 1,1002429210,
70.6834,,Track,4,Image 1,1002435411,
37.424,,Track,4,Image 1,1002453328,
8.5541,,Track,4,Image 1,1002454260,
47.8888,,Track,4,Image 1,1002458180,
38.2092,,Track,4,Image 1,1002460030,
27.3476,,Track,4,Image 1,1002460974,
45.6452,,Track,4,Image 1,1002461635,
36.6643,,Track,4,Image 1,1002463724,
