
Track Intensity Sum Ch=4 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
7155,,Track,4,Image 1,1001128779,
24293,,Track,4,Image 1,1001129977,
437,,Track,4,Image 1,1001132092,
21366,,Track,4,Image 1,1001132873,
99783,,Track,4,Image 1,1001138880,
27316,,Track,4,Image 1,1001148839,
64027,,Track,4,Image 1,1001162429,
854,,Track,4,Image 1,1001183631,
24504,,Track,4,Image 1,1001190228,
26576,,Track,4,Image 1,1001205984,
27362,,Track,4,Image 1,1001222072,
7713,,Track,4,Image 1,1001223904,
16065,,Track,4,Image 1,1001236985,
7416,,Track,4,Image 1,1001244289,
13767,,Track,4,Image 1,1001261153,
17908,,Track,4,Image 1,1001265495,
26210,,Track,4,Image 1,1001290709,
34680,,Track,4,Image 1,1001298039,
3152,,Track,4,Image 1,1001304416,
13080,,Track,4,Image 1,1001307011,
10311,,Track,4,Image 1,1001310725,
31403,,Track,4,Image 1,1001347654,
7455,,Track,4,Image 1,1001349662,
23961,,Track,4,Image 1,1001351185,
1083,,Track,4,Image 1,1001373018,
60940,,Track,4,Image 1,1001374929,
42994,,Track,4,Image 1,1001376957,
23861,,Track,4,Image 1,1001382680,
31103,,Track,4,Image 1,1001390095,
13612,,Track,4,Image 1,1001399631,
32148,,Track,4,Image 1,1001414282,
81466,,Track,4,Image 1,1001432525,
31399,,Track,4,Image 1,1001443126,
30009,,Track,4,Image 1,1001444551,
12270,,Track,4,Image 1,1001447832,
4250,,Track,4,Image 1,1001459999,
40581,,Track,4,Image 1,1001463577,
4065,,Track,4,Image 1,1001470670,
21854,,Track,4,Image 1,1001484970,
40979,,Track,4,Image 1,1001498754,
24756,,Track,4,Image 1,1001510065,
14495,,Track,4,Image 1,1001511880,
69328,,Track,4,Image 1,1001515348,
29940,,Track,4,Image 1,1001524529,
11816,,Track,4,Image 1,1001524797,
267,,Track,4,Image 1,1001531007,
12318,,Track,4,Image 1,1001535243,
35863,,Track,4,Image 1,1001536213,
9761,,Track,4,Image 1,1001549656,
29404,,Track,4,Image 1,1001571482,
12337,,Track,4,Image 1,1001585322,
11763,,Track,4,Image 1,1001597972,
22462,,Track,4,Image 1,1001634186,
14766,,Track,4,Image 1,1001641521,
28574,,Track,4,Image 1,1001649683,
51336,,Track,4,Image 1,1001660310,
15991,,Track,4,Image 1,1001662631,
17293,,Track,4,Image 1,1001662802,
12754,,Track,4,Image 1,1001692264,
38088,,Track,4,Image 1,1001696991,
33074,,Track,4,Image 1,1001705575,
11429,,Track,4,Image 1,1001708522,
633,,Track,4,Image 1,1001717292,
23811,,Track,4,Image 1,1001721190,
13067,,Track,4,Image 1,1001721732,
13065,,Track,4,Image 1,1001722530,
18781,,Track,4,Image 1,1001723411,
13665,,Track,4,Image 1,1001735688,
4360,,Track,4,Image 1,1001739237,
20817,,Track,4,Image 1,1001745981,
82966,,Track,4,Image 1,1001748846,
1269,,Track,4,Image 1,1001774250,
14354,,Track,4,Image 1,1001792466,
19343,,Track,4,Image 1,1001800294,
4078,,Track,4,Image 1,1001831823,
27948,,Track,4,Image 1,1001838017,
29867,,Track,4,Image 1,1001843531,
18481,,Track,4,Image 1,1001850191,
24727,,Track,4,Image 1,1001869026,
6707,,Track,4,Image 1,1001872907,
104276,,Track,4,Image 1,1001874170,
10199,,Track,4,Image 1,1001876881,
16768,,Track,4,Image 1,1001878744,
47398,,Track,4,Image 1,1001889904,
29020,,Track,4,Image 1,1001895167,
868,,Track,4,Image 1,1001896809,
11155,,Track,4,Image 1,1001904297,
29679,,Track,4,Image 1,1001904618,
50260,,Track,4,Image 1,1001939884,
12486,,Track,4,Image 1,1001942811,
10058,,Track,4,Image 1,1001954731,
30360,,Track,4,Image 1,1001968557,
18680,,Track,4,Image 1,1001968819,
47818,,Track,4,Image 1,1001978360,
25192,,Track,4,Image 1,1002006710,
38397,,Track,4,Image 1,1002029154,
19708,,Track,4,Image 1,1002031500,
56411,,Track,4,Image 1,1002047887,
53205,,Track,4,Image 1,1002051985,
8711,,Track,4,Image 1,1002059095,
20910,,Track,4,Image 1,1002067444,
27936,,Track,4,Image 1,1002067747,
41911,,Track,4,Image 1,1002113497,
25634,,Track,4,Image 1,1002124155,
19790,,Track,4,Image 1,1002125541,
6052,,Track,4,Image 1,1002142435,
44057,,Track,4,Image 1,1002148602,
10467,,Track,4,Image 1,1002150876,
42077,,Track,4,Image 1,1002158806,
1141,,Track,4,Image 1,1002180262,
28459,,Track,4,Image 1,1002182375,
5048,,Track,4,Image 1,1002205040,
15312,,Track,4,Image 1,1002211774,
11003,,Track,4,Image 1,1002213141,
20683,,Track,4,Image 1,1002223441,
15177,,Track,4,Image 1,1002227684,
8064,,Track,4,Image 1,1002236414,
41527,,Track,4,Image 1,1002242134,
27224,,Track,4,Image 1,1002242329,
58050,,Track,4,Image 1,1002243369,
14860,,Track,4,Image 1,1002246854,
16638,,Track,4,Image 1,1002262996,
19963,,Track,4,Image 1,1002273437,
11205,,Track,4,Image 1,1002278860,
279,,Track,4,Image 1,1002300559,
29541,,Track,4,Image 1,1002307653,
25525,,Track,4,Image 1,1002309454,
25288,,Track,4,Image 1,1002316459,
11137,,Track,4,Image 1,1002316883,
30030,,Track,4,Image 1,1002317275,
3730,,Track,4,Image 1,1002336151,
12021,,Track,4,Image 1,1002336484,
2630,,Track,4,Image 1,1002360360,
20620,,Track,4,Image 1,1002367218,
11553,,Track,4,Image 1,1002369367,
26237,,Track,4,Image 1,1002382179,
775,,Track,4,Image 1,1002396861,
62293,,Track,4,Image 1,1002402760,
11022,,Track,4,Image 1,1002404222,
10541,,Track,4,Image 1,1002429210,
5518,,Track,4,Image 1,1002435411,
3225,,Track,4,Image 1,1002453328,
231,,Track,4,Image 1,1002454260,
17030,,Track,4,Image 1,1002458180,
5230,,Track,4,Image 1,1002460030,
17434,,Track,4,Image 1,1002460974,
13006,,Track,4,Image 1,1002461635,
7759,,Track,4,Image 1,1002463724,
