
Track Intensity StdDev Ch=1 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
10.5052,,Track,1,Image 1,1000000426,
42.7227,,Track,1,Image 1,1000005575,
28.8963,,Track,1,Image 1,1000008102,
22.8352,,Track,1,Image 1,1000011182,
8.32773,,Track,1,Image 1,1000014633,
24.4486,,Track,1,Image 1,1000014915,
7.9615,,Track,1,Image 1,1000018381,
51.1984,,Track,1,Image 1,1000019405,
1.0354,,Track,1,Image 1,1000022248,
2.07458,,Track,1,Image 1,1000023039,
29.6587,,Track,1,Image 1,1000023639,
21.8243,,Track,1,Image 1,1000024512,
2.94599,,Track,1,Image 1,1000025762,
6.97205,,Track,1,Image 1,1000025863,
0.933744,,Track,1,Image 1,1000025898,
5.77665,,Track,1,Image 1,1000026374,
0.894637,,Track,1,Image 1,1000026660,
14.3305,,Track,1,Image 1,1000026789,
80.7654,,Track,1,Image 1,1000026990,
74.4012,,Track,1,Image 1,1000027048,
0.523327,,Track,1,Image 1,1000027245,
8.98661,,Track,1,Image 1,1000027656,
41.4689,,Track,1,Image 1,1000028849,
24.4715,,Track,1,Image 1,1000028860,
15.1315,,Track,1,Image 1,1000029962,
49.9694,,Track,1,Image 1,1000034728,
0.523772,,Track,1,Image 1,1000058544,
2.52729,,Track,1,Image 1,1000069455,
31.8863,,Track,1,Image 1,1000071729,
29.0236,,Track,1,Image 1,1000074239,
25.9208,,Track,1,Image 1,1000080712,
23.4443,,Track,1,Image 1,1000082174,
39.2109,,Track,1,Image 1,1000094504,
43.7038,,Track,1,Image 1,1000111173,
37.0632,,Track,1,Image 1,1000117221,
4.03204,,Track,1,Image 1,1000130081,
43.034,,Track,1,Image 1,1000135496,
27.9877,,Track,1,Image 1,1000136105,
66.0705,,Track,1,Image 1,1000138478,
68.212,,Track,1,Image 1,1000145899,
52.2045,,Track,1,Image 1,1000158060,
14.3008,,Track,1,Image 1,1000165097,
12.3915,,Track,1,Image 1,1000178867,
17.4585,,Track,1,Image 1,1000196023,
27.4332,,Track,1,Image 1,1000196749,
24.3976,,Track,1,Image 1,1000199932,
46.175,,Track,1,Image 1,1000218062,
0.776288,,Track,1,Image 1,1000221333,
18.701,,Track,1,Image 1,1000224234,
23.5464,,Track,1,Image 1,1000224241,
1.18886,,Track,1,Image 1,1000224431,
41.702,,Track,1,Image 1,1000226383,
71.0033,,Track,1,Image 1,1000232501,
14.3579,,Track,1,Image 1,1000244446,
48.6662,,Track,1,Image 1,1000253547,
28.2925,,Track,1,Image 1,1000257305,
15.6083,,Track,1,Image 1,1000260417,
0.54564,,Track,1,Image 1,1000260594,
22.3346,,Track,1,Image 1,1000275823,
21.4502,,Track,1,Image 1,1000278844,
15.7736,,Track,1,Image 1,1000282540,
9.79409,,Track,1,Image 1,1000282868,
50.157,,Track,1,Image 1,1000290426,
1.17703,,Track,1,Image 1,1000290900,
42.9639,,Track,1,Image 1,1000312915,
17.3975,,Track,1,Image 1,1000320447,
67.5832,,Track,1,Image 1,1000327258,
58.4776,,Track,1,Image 1,1000338312,
34.0094,,Track,1,Image 1,1000354440,
25.4868,,Track,1,Image 1,1000354480,
62.71,,Track,1,Image 1,1000371442,
27.8342,,Track,1,Image 1,1000373068,
62.9996,,Track,1,Image 1,1000385100,
1.18393,,Track,1,Image 1,1000401657,
33.1164,,Track,1,Image 1,1000402605,
43.5276,,Track,1,Image 1,1000405139,
43.7426,,Track,1,Image 1,1000409035,
12.3764,,Track,1,Image 1,1000421574,
73.0558,,Track,1,Image 1,1000423376,
45.5744,,Track,1,Image 1,1000429687,
40.0343,,Track,1,Image 1,1000439186,
7.8388,,Track,1,Image 1,1000449132,
16.3333,,Track,1,Image 1,1000454057,
41.8305,,Track,1,Image 1,1000454567,
19.7886,,Track,1,Image 1,1000488632,
10.0451,,Track,1,Image 1,1000489329,
0.305415,,Track,1,Image 1,1000493396,
22.3294,,Track,1,Image 1,1000515291,
54.8143,,Track,1,Image 1,1000522409,
48.9819,,Track,1,Image 1,1000522415,
6.35032,,Track,1,Image 1,1000534158,
8.52738,,Track,1,Image 1,1000535289,
38.7068,,Track,1,Image 1,1000549440,
48.2508,,Track,1,Image 1,1000566277,
54.8398,,Track,1,Image 1,1000569584,
26.9968,,Track,1,Image 1,1000572485,
35.2833,,Track,1,Image 1,1000574056,
42.3903,,Track,1,Image 1,1000576160,
57.4884,,Track,1,Image 1,1000606742,
31.9216,,Track,1,Image 1,1000623228,
6.86527,,Track,1,Image 1,1000626063,
3.92472,,Track,1,Image 1,1000628237,
27.4323,,Track,1,Image 1,1000657926,
60.3466,,Track,1,Image 1,1000667525,
14.7077,,Track,1,Image 1,1000675627,
14.6712,,Track,1,Image 1,1000684239,
61.9324,,Track,1,Image 1,1000686553,
27.939,,Track,1,Image 1,1000689377,
54.0859,,Track,1,Image 1,1000690930,
32.1793,,Track,1,Image 1,1000692325,
50.1012,,Track,1,Image 1,1000695046,
38.1995,,Track,1,Image 1,1000704730,
24.2906,,Track,1,Image 1,1000705525,
44.4748,,Track,1,Image 1,1000712057,
42.7816,,Track,1,Image 1,1000728131,
34.1233,,Track,1,Image 1,1000755087,
7.30807,,Track,1,Image 1,1000764459,
29.6161,,Track,1,Image 1,1000809896,
26.7959,,Track,1,Image 1,1000811156,
13.2853,,Track,1,Image 1,1000813964,
11.0412,,Track,1,Image 1,1000825954,
19.288,,Track,1,Image 1,1000835089,
46.5972,,Track,1,Image 1,1000839692,
1.37365,,Track,1,Image 1,1000855659,
0,,Track,1,Image 1,1000856861,
39.1187,,Track,1,Image 1,1000858553,
37.6861,,Track,1,Image 1,1000860086,
50.5461,,Track,1,Image 1,1000860289,
46.3401,,Track,1,Image 1,1000864199,
8.02322,,Track,1,Image 1,1000865808,
18.3201,,Track,1,Image 1,1000866048,
6.40889,,Track,1,Image 1,1000887899,
15.8999,,Track,1,Image 1,1000890207,
40.946,,Track,1,Image 1,1000898844,
61.5045,,Track,1,Image 1,1000926710,
16.6287,,Track,1,Image 1,1000946144,
50.8353,,Track,1,Image 1,1000953090,
64.2496,,Track,1,Image 1,1000962165,
11.0427,,Track,1,Image 1,1000976176,
51.0932,,Track,1,Image 1,1000988049,
40.7705,,Track,1,Image 1,1001007366,
25.3028,,Track,1,Image 1,1001020468,
13.8796,,Track,1,Image 1,1001028919,
18.6399,,Track,1,Image 1,1001035449,
79.1967,,Track,1,Image 1,1001045764,
71.5029,,Track,1,Image 1,1001046137,
