
Time Index
 ==================== 
Time Index,Unit,Category,Time,TrackID,ID,
1,,Spot,1,1000000426,426,
1,,Spot,1,1000005575,5575,
1,,Spot,1,1000008102,8102,
1,,Spot,1,1000011182,11182,
1,,Spot,1,1000014633,14633,
1,,Spot,1,1000014915,14915,
1,,Spot,1,1000018381,18381,
1,,Spot,1,1000019405,19405,
1,,Spot,1,1000022248,22248,
1,,Spot,1,1000023039,23039,
1,,Spot,1,1000023639,23639,
1,,Spot,1,1000024512,24512,
1,,Spot,1,1000025762,25762,
1,,Spot,1,1000025863,25863,
1,,Spot,1,1000025898,25898,
1,,Spot,1,1000026374,26374,
1,,Spot,1,1000026660,26660,
1,,Spot,1,1000026789,26789,
1,,Spot,1,1000026990,26990,
1,,Spot,1,1000027048,27048,
1,,Spot,1,1000027245,27245,
1,,Spot,1,1000027656,27656,
1,,Spot,1,1000028849,28849,
1,,Spot,1,1000028860,28860,
1,,Spot,1,1000029962,29962,
2,,Spot,2,1000000426,31408,
2,,Spot,2,1000034728,34728,
2,,Spot,2,1000005575,36136,
2,,Spot,2,1000008102,38443,
2,,Spot,2,1000011182,41290,
2,,Spot,2,1000014633,44511,
2,,Spot,2,1000014915,44743,
2,,Spot,2,1000018381,48029,
2,,Spot,2,1000019405,48982,
2,,Spot,2,1000023639,50349,
2,,Spot,2,1000022248,51941,
2,,Spot,2,1000023039,52388,
2,,Spot,2,1000024512,53806,
2,,Spot,2,1000026990,53878,
2,,Spot,2,1000025863,54980,
2,,Spot,2,1000025898,55022,
2,,Spot,2,1000025762,55178,
2,,Spot,2,1000026374,55483,
2,,Spot,2,1000026660,55751,
2,,Spot,2,1000026789,55877,
2,,Spot,2,1000027048,56142,
2,,Spot,2,1000027245,56330,
2,,Spot,2,1000027656,56728,
2,,Spot,2,1000028849,57830,
2,,Spot,2,1000028860,57836,
2,,Spot,2,1000058544,58544,
2,,Spot,2,1000029962,58891,
3,,Spot,3,1000000426,60244,
3,,Spot,3,1000034728,63643,
3,,Spot,3,1000005575,65097,
3,,Spot,3,1000008102,67443,
3,,Spot,3,1000069455,69455,
3,,Spot,3,1000011182,70317,
3,,Spot,3,1000071729,71729,
3,,Spot,3,1000014633,73446,
3,,Spot,3,1000014915,73705,
3,,Spot,3,1000074239,74239,
3,,Spot,3,1000018381,76943,
3,,Spot,3,1000019405,77924,
3,,Spot,3,1000023639,79247,
3,,Spot,3,1000080712,80712,
3,,Spot,3,1000022248,80953,
3,,Spot,3,1000023039,81387,
3,,Spot,3,1000082174,82174,
3,,Spot,3,1000025863,84084,
3,,Spot,3,1000025898,84121,
3,,Spot,3,1000025762,84276,
3,,Spot,3,1000026374,84574,
3,,Spot,3,1000026660,84846,
3,,Spot,3,1000024512,85119,
3,,Spot,3,1000026990,85188,
3,,Spot,3,1000027048,85231,
3,,Spot,3,1000027245,85436,
3,,Spot,3,1000027656,85840,
3,,Spot,3,1000028860,87067,
3,,Spot,3,1000028849,87068,
3,,Spot,3,1000026789,87113,
3,,Spot,3,1000058544,87764,
3,,Spot,3,1000029962,88111,
4,,Spot,4,1000000426,89999,
4,,Spot,4,1000034728,92817,
4,,Spot,4,1000005575,94472,
4,,Spot,4,1000094504,94504,
4,,Spot,4,1000008102,96642,
4,,Spot,4,1000011182,99638,
4,,Spot,4,1000071729,100780,
4,,Spot,4,1000069455,101402,
4,,Spot,4,1000014633,102466,
4,,Spot,4,1000014915,102705,
4,,Spot,4,1000074239,103194,
4,,Spot,4,1000018381,105925,
4,,Spot,4,1000019405,106901,
4,,Spot,4,1000023639,107889,
4,,Spot,4,1000080712,109580,
4,,Spot,4,1000022248,109796,
4,,Spot,4,1000023039,110552,
4,,Spot,4,1000082174,111030,
4,,Spot,4,1000111173,111173,
4,,Spot,4,1000026990,111660,
4,,Spot,4,1000025863,112778,
4,,Spot,4,1000025898,112805,
4,,Spot,4,1000025762,112950,
4,,Spot,4,1000026374,113239,
4,,Spot,4,1000026660,113520,
4,,Spot,4,1000024512,113757,
4,,Spot,4,1000027048,113865,
4,,Spot,4,1000027245,114053,
4,,Spot,4,1000027656,114406,
4,,Spot,4,1000028849,115497,
4,,Spot,4,1000026789,115539,
4,,Spot,4,1000028860,115808,
4,,Spot,4,1000058544,116209,
4,,Spot,4,1000029962,116546,
4,,Spot,4,1000117221,117221,
5,,Spot,5,1000000426,118445,
5,,Spot,5,1000034728,121251,
5,,Spot,5,1000005575,122895,
5,,Spot,5,1000094504,122921,
5,,Spot,5,1000008102,125190,
5,,Spot,5,1000069455,126997,
5,,Spot,5,1000011182,128077,
5,,Spot,5,1000071729,129533,
5,,Spot,5,1000130081,130081,
5,,Spot,5,1000014633,130906,
5,,Spot,5,1000014915,131163,
5,,Spot,5,1000074239,131962,
5,,Spot,5,1000018381,134403,
5,,Spot,5,1000019405,135344,
5,,Spot,5,1000135496,135496,
5,,Spot,5,1000136105,136105,
5,,Spot,5,1000023639,136650,
5,,Spot,5,1000080712,138121,
5,,Spot,5,1000022248,138370,
5,,Spot,5,1000138478,138478,
5,,Spot,5,1000023039,139141,
5,,Spot,5,1000111173,139444,
5,,Spot,5,1000082174,139613,
5,,Spot,5,1000026990,140299,
5,,Spot,5,1000025863,141518,
