
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
252,,Spot,6,Image 1,5,1000011182,128077,
252,,Spot,6,Image 1,5,1000071729,129533,
252,,Spot,6,Image 1,5,1000130081,130081,
251,,Spot,6,Image 1,5,1000014633,130906,
252,,Spot,6,Image 1,5,1000014915,131163,
252,,Spot,6,Image 1,5,1000074239,131962,
251,,Spot,6,Image 1,5,1000018381,134403,
251,,Spot,6,Image 1,5,1000019405,135344,
252,,Spot,6,Image 1,5,1000135496,135496,
251,,Spot,6,Image 1,5,1000136105,136105,
252,,Spot,6,Image 1,5,1000023639,136650,
252,,Spot,6,Image 1,5,1000080712,138121,
251,,Spot,6,Image 1,5,1000022248,138370,
252,,Spot,6,Image 1,5,1000138478,138478,
251,,Spot,6,Image 1,5,1000023039,139141,
254,,Spot,6,Image 1,5,1000111173,139444,
252,,Spot,6,Image 1,5,1000082174,139613,
253,,Spot,6,Image 1,5,1000026990,140299,
252,,Spot,6,Image 1,5,1000025863,141518,
251,,Spot,6,Image 1,5,1000025898,141554,
251,,Spot,6,Image 1,5,1000025762,141715,
252,,Spot,6,Image 1,5,1000026374,142006,
252,,Spot,6,Image 1,5,1000026660,142309,
252,,Spot,6,Image 1,5,1000026789,142442,
251,,Spot,6,Image 1,5,1000024512,142605,
254,,Spot,6,Image 1,5,1000027048,142723,
251,,Spot,6,Image 1,5,1000027245,142911,
251,,Spot,6,Image 1,5,1000027656,143300,
251,,Spot,6,Image 1,5,1000028849,144692,
251,,Spot,6,Image 1,5,1000028860,144697,
251,,Spot,6,Image 1,5,1000058544,145135,
252,,Spot,6,Image 1,5,1000029962,145462,
252,,Spot,6,Image 1,5,1000145899,145899,
251,,Spot,6,Image 1,5,1000117221,146100,
251,,Spot,6,Image 1,6,1000000426,147253,
252,,Spot,6,Image 1,6,1000034728,149987,
252,,Spot,6,Image 1,6,1000005575,151677,
252,,Spot,6,Image 1,6,1000094504,151710,
252,,Spot,6,Image 1,6,1000008102,154042,
251,,Spot,6,Image 1,6,1000011182,156798,
252,,Spot,6,Image 1,6,1000071729,157999,
253,,Spot,6,Image 1,6,1000158060,158060,
252,,Spot,6,Image 1,6,1000069455,158557,
251,,Spot,6,Image 1,6,1000130081,158794,
252,,Spot,6,Image 1,6,1000014633,159593,
251,,Spot,6,Image 1,6,1000014915,159795,
251,,Spot,6,Image 1,6,1000074239,160614,
251,,Spot,6,Image 1,6,1000018381,163048,
253,,Spot,6,Image 1,6,1000135496,164167,
252,,Spot,6,Image 1,6,1000165097,165097,
251,,Spot,6,Image 1,6,1000136105,165141,
252,,Spot,6,Image 1,6,1000023639,165409,
251,,Spot,6,Image 1,6,1000019405,166686,
251,,Spot,6,Image 1,6,1000022248,166839,
251,,Spot,6,Image 1,6,1000080712,166933,
252,,Spot,6,Image 1,6,1000138478,167324,
240,,Spot,6,Image 1,6,1000023039,168006,
254,,Spot,6,Image 1,6,1000111173,168315,
252,,Spot,6,Image 1,6,1000082174,168492,
252,,Spot,6,Image 1,6,1000026990,169213,
252,,Spot,6,Image 1,6,1000025863,170750,
251,,Spot,6,Image 1,6,1000025898,170777,
251,,Spot,6,Image 1,6,1000025762,170880,
251,,Spot,6,Image 1,6,1000026374,170923,
251,,Spot,6,Image 1,6,1000026660,171211,
251,,Spot,6,Image 1,6,1000026789,171326,
251,,Spot,6,Image 1,6,1000024512,171491,
254,,Spot,6,Image 1,6,1000027048,171600,
251,,Spot,6,Image 1,6,1000027245,171786,
251,,Spot,6,Image 1,6,1000027656,172144,
224,,Spot,6,Image 1,6,1000028849,173596,
251,,Spot,6,Image 1,6,1000028860,173606,
241,,Spot,6,Image 1,6,1000058544,174031,
252,,Spot,6,Image 1,6,1000029962,174373,
251,,Spot,6,Image 1,6,1000117221,175066,
253,,Spot,6,Image 1,6,1000145899,175260,
251,,Spot,6,Image 1,7,1000178867,178867,
252,,Spot,6,Image 1,7,1000034728,179036,
252,,Spot,6,Image 1,7,1000005575,180676,
253,,Spot,6,Image 1,7,1000094504,180709,
252,,Spot,6,Image 1,7,1000008102,183000,
253,,Spot,6,Image 1,7,1000158060,186936,
252,,Spot,6,Image 1,7,1000071729,187159,
