
Track Length
 ==================== 
Track Length,Unit,Category,ID,
6.78472,um,Track,1000015268,
9.95884,um,Track,1000015274,
38.3385,um,Track,1000015279,
28.813,um,Track,1000015280,
19.9778,um,Track,1000015290,
48.2038,um,Track,1000015293,
2.54253,um,Track,1000015307,
4.33058,um,Track,1000015308,
7.92576,um,Track,1000015348,
9.2703,um,Track,1000015352,
7.22133,um,Track,1000015353,
13.5815,um,Track,1000015362,
13.4078,um,Track,1000015370,
12.2462,um,Track,1000015377,
20.3467,um,Track,1000015388,
16.8878,um,Track,1000015394,
5.54918,um,Track,1000015400,
20.6408,um,Track,1000015407,
8.2082,um,Track,1000015415,
8.20741,um,Track,1000015421,
12.3838,um,Track,1000015432,
11.0338,um,Track,1000015443,
21.5049,um,Track,1000015450,
10.2507,um,Track,1000015455,
8.18093,um,Track,1000015461,
11.1165,um,Track,1000015477,
10.7132,um,Track,1000015497,
4.9174,um,Track,1000015502,
24.6112,um,Track,1000015503,
6.45441,um,Track,1000015508,
4.8821,um,Track,1000015516,
16.2332,um,Track,1000015525,
18.6578,um,Track,1000015536,
37.5047,um,Track,1000015541,
20.2257,um,Track,1000015557,
9.45395,um,Track,1000015590,
89.0673,um,Track,1000015591,
15.3767,um,Track,1000015593,
91.1426,um,Track,1000015622,
32.5479,um,Track,1000015630,
16.0844,um,Track,1000015650,
34.8524,um,Track,1000015674,
12.6015,um,Track,1000015675,
4.48905,um,Track,1000015678,
7.99946,um,Track,1000015680,
10.193,um,Track,1000015682,
19.5751,um,Track,1000015700,
7.9416,um,Track,1000015706,
11.311,um,Track,1000015719,
5.61973,um,Track,1000015724,
6.96276,um,Track,1000015726,
22.9917,um,Track,1000015727,
75.7478,um,Track,1000015732,
4.52932,um,Track,1000015744,
45.3243,um,Track,1000015750,
8.15538,um,Track,1000015752,
7.09536,um,Track,1000015753,
8.172,um,Track,1000015756,
9.07755,um,Track,1000015758,
6.74804,um,Track,1000015767,
7.93705,um,Track,1000015768,
20.534,um,Track,1000015772,
7.13783,um,Track,1000015781,
46.8813,um,Track,1000015782,
11.0602,um,Track,1000015808,
5.95671,um,Track,1000015810,
10.7639,um,Track,1000015856,
9.78494,um,Track,1000015857,
34.573,um,Track,1000015872,
28.3566,um,Track,1000015881,
25.8902,um,Track,1000015885,
5.70056,um,Track,1000015891,
9.75177,um,Track,1000015910,
7.76743,um,Track,1000015931,
22.2123,um,Track,1000015937,
11.8465,um,Track,1000015951,
21.7973,um,Track,1000015960,
18.5839,um,Track,1000015964,
22.2522,um,Track,1000015975,
71.3327,um,Track,1000015996,
11.9183,um,Track,1000016009,
22.6252,um,Track,1000016017,
17.1044,um,Track,1000016024,
24.5353,um,Track,1000016031,
5.7868,um,Track,1000016045,
5.84608,um,Track,1000016051,
10.7031,um,Track,1000016052,
9.8899,um,Track,1000016073,
41.6435,um,Track,1000016077,
31.491,um,Track,1000016083,
20.8563,um,Track,1000016095,
7.50026,um,Track,1000016100,
10.7779,um,Track,1000016102,
45.8827,um,Track,1000016107,
41.3694,um,Track,1000016109,
6.89089,um,Track,1000016117,
4.08239,um,Track,1000016143,
7.4289,um,Track,1000016167,
13.7815,um,Track,1000016188,
10.4516,um,Track,1000016195,
8.36872,um,Track,1000016200,
12.7715,um,Track,1000016214,
9.48037,um,Track,1000016218,
10.5087,um,Track,1000016223,
15.1871,um,Track,1000016232,
18.1937,um,Track,1000016233,
10.8811,um,Track,1000016235,
16.1057,um,Track,1000016250,
12.3407,um,Track,1000016259,
17.7758,um,Track,1000016275,
8.8386,um,Track,1000016281,
11.5663,um,Track,1000016292,
41.3166,um,Track,1000016299,
26.5413,um,Track,1000016304,
8.89524,um,Track,1000016316,
13.0225,um,Track,1000016320,
10.4823,um,Track,1000016332,
8.4567,um,Track,1000016337,
5.28814,um,Track,1000016338,
24.6484,um,Track,1000016342,
20.5862,um,Track,1000016354,
3.7048,um,Track,1000016357,
42.6995,um,Track,1000016360,
12.1432,um,Track,1000016381,
14.1747,um,Track,1000016386,
10.2271,um,Track,1000016390,
6.53542,um,Track,1000016397,
42.864,um,Track,1000016402,
8.41219,um,Track,1000016404,
10.0456,um,Track,1000016415,
13.4497,um,Track,1000016419,
14.24,um,Track,1000016423,
9.02346,um,Track,1000016426,
35.4816,um,Track,1000016430,
22.717,um,Track,1000016436,
13.2898,um,Track,1000016453,
27.5586,um,Track,1000016466,
10.8106,um,Track,1000016468,
9.7375,um,Track,1000016474,
14.73,um,Track,1000016475,
17.1217,um,Track,1000016485,
17.659,um,Track,1000016504,
10.1323,um,Track,1000016508,
7.28687,um,Track,1000016512,
13.7717,um,Track,1000016521,
30.1692,um,Track,1000016531,
19.855,um,Track,1000016534,
11.3108,um,Track,1000016542,
8.36355,um,Track,1000016585,
11.6063,um,Track,1000016590,
23.8139,um,Track,1000016591,
23.0363,um,Track,1000016603,
19.12,um,Track,1000016609,
13.6518,um,Track,1000016611,
15.9179,um,Track,1000016612,
18.4823,um,Track,1000016623,
16.4498,um,Track,1000016626,
8.99694,um,Track,1000016639,
7.2127,um,Track,1000016641,
12.3936,um,Track,1000016643,
8.38817,um,Track,1000016665,
16.0794,um,Track,1000016666,
11.1157,um,Track,1000016674,
11.2019,um,Track,1000016677,
9.47835,um,Track,1000016700,
7.73432,um,Track,1000016703,
10.4244,um,Track,1000016708,
