
Track Speed Mean
 ==================== 
Track Speed Mean,Unit,Category,ID,
0.0578099,µm/s,Track,1001132092,
0.0431871,µm/s,Track,1001132873,
0.042688,µm/s,Track,1001138880,
0.0508521,µm/s,Track,1001148839,
0.0505425,µm/s,Track,1001162429,
0.0480641,µm/s,Track,1001183631,
0.0508075,µm/s,Track,1001190228,
0.0570051,µm/s,Track,1001205984,
0.0576955,µm/s,Track,1001222072,
0.0747773,µm/s,Track,1001223904,
0.0728569,µm/s,Track,1001236985,
0.0612226,µm/s,Track,1001244289,
0.0546565,µm/s,Track,1001261153,
0.0854059,µm/s,Track,1001265495,
0.0521716,µm/s,Track,1001290709,
0.0513324,µm/s,Track,1001298039,
0.0475285,µm/s,Track,1001304416,
0.0671893,µm/s,Track,1001307011,
0.0616771,µm/s,Track,1001310725,
0.0552797,µm/s,Track,1001347654,
0.0522405,µm/s,Track,1001349662,
0.0475305,µm/s,Track,1001351185,
0.0741489,µm/s,Track,1001373018,
0.0420636,µm/s,Track,1001374929,
0.0410388,µm/s,Track,1001376957,
0.036254,µm/s,Track,1001382680,
0.0482098,µm/s,Track,1001390095,
0.0527907,µm/s,Track,1001399631,
0.0553513,µm/s,Track,1001414282,
0.0587022,µm/s,Track,1001432525,
0.0386208,µm/s,Track,1001443126,
0.0451327,µm/s,Track,1001444551,
0.0859186,µm/s,Track,1001447832,
0.0647944,µm/s,Track,1001459999,
0.0460224,µm/s,Track,1001463577,
0.0449755,µm/s,Track,1001470670,
0.0499706,µm/s,Track,1001484970,
0.0443248,µm/s,Track,1001498754,
0.0434808,µm/s,Track,1001510065,
0.0563639,µm/s,Track,1001511880,
0.0493068,µm/s,Track,1001515348,
0.0529165,µm/s,Track,1001524529,
0.0490391,µm/s,Track,1001524797,
0.0758049,µm/s,Track,1001531007,
0.0541882,µm/s,Track,1001535243,
0.038133,µm/s,Track,1001536213,
0.0522654,µm/s,Track,1001549656,
0.0578103,µm/s,Track,1001571482,
0.049873,µm/s,Track,1001585322,
0.0475148,µm/s,Track,1001597972,
0.063878,µm/s,Track,1001634186,
0.0298111,µm/s,Track,1001641521,
0.0675789,µm/s,Track,1001649683,
0.0505641,µm/s,Track,1001660310,
0.0471716,µm/s,Track,1001662631,
0.0500664,µm/s,Track,1001662802,
0.0387437,µm/s,Track,1001692264,
0.0485026,µm/s,Track,1001696991,
0.0517445,µm/s,Track,1001705575,
0.0459544,µm/s,Track,1001708522,
0.0689699,µm/s,Track,1001717292,
0.0464252,µm/s,Track,1001721190,
0.0602148,µm/s,Track,1001721732,
0.0597851,µm/s,Track,1001722530,
0.065285,µm/s,Track,1001723411,
0.0517661,µm/s,Track,1001735688,
0.0456104,µm/s,Track,1001739237,
0.0521148,µm/s,Track,1001745981,
0.0558934,µm/s,Track,1001748846,
0.0567838,µm/s,Track,1001774250,
