
Track Displacement Length
 ==================== 
Track Displacement Length,Unit,Category,ID,
4.58741,um,Track,1000018754,
3.9528,um,Track,1000018755,
14.9814,um,Track,1000018756,
2.56597,um,Track,1000018757,
3.35908,um,Track,1000018758,
6.86059,um,Track,1000018759,
4.9346,um,Track,1000018760,
10.4118,um,Track,1000018761,
4.9722,um,Track,1000018762,
2.37559,um,Track,1000018763,
7.76309,um,Track,1000018764,
4.43833,um,Track,1000018765,
3.69525,um,Track,1000018766,
3.12811,um,Track,1000018767,
2.00746,um,Track,1000018768,
0.986792,um,Track,1000018769,
4.89469,um,Track,1000018770,
2.24701,um,Track,1000018771,
2.38679,um,Track,1000018772,
3.45394,um,Track,1000018773,
4.59475,um,Track,1000018774,
5.97591,um,Track,1000018775,
6.11681,um,Track,1000018776,
3.43019,um,Track,1000018777,
1.55197,um,Track,1000018778,
4.19796,um,Track,1000018779,
6.59135,um,Track,1000018788,
4.29882,um,Track,1000018794,
2.01586,um,Track,1000018797,
1.96503,um,Track,1000018799,
2.74117,um,Track,1000018802,
2.41694,um,Track,1000018809,
5.24224,um,Track,1000018812,
13.1151,um,Track,1000018816,
10.3618,um,Track,1000018858,
8.35438,um,Track,1000018867,
3.93707,um,Track,1000018904,
4.81554,um,Track,1000018912,
5.32909,um,Track,1000018913,
4.41139,um,Track,1000018919,
1.05765,um,Track,1000018930,
2.17753,um,Track,1000018933,
3.76363,um,Track,1000018947,
7.10796,um,Track,1000018964,
10.0601,um,Track,1000018970,
4.22041,um,Track,1000018978,
2.73011,um,Track,1000018996,
3.56577,um,Track,1000019002,
2.61753,um,Track,1000019003,
8.01755,um,Track,1000019004,
3.51301,um,Track,1000019007,
9.30022,um,Track,1000019049,
4.05907,um,Track,1000019064,
4.80705,um,Track,1000019087,
4.09867,um,Track,1000019108,
2.80834,um,Track,1000019109,
9.38896,um,Track,1000019114,
2.19988,um,Track,1000019133,
2.90399,um,Track,1000019150,
2.23396,um,Track,1000019152,
3.34123,um,Track,1000019180,
4.67091,um,Track,1000019191,
5.64333,um,Track,1000019216,
3.89336,um,Track,1000019240,
5.54117,um,Track,1000019271,
7.15158,um,Track,1000019284,
8.75914,um,Track,1000019297,
4.9022,um,Track,1000019310,
15.6035,um,Track,1000019324,
5.59008,um,Track,1000019340,
5.45331,um,Track,1000019350,
2.45269,um,Track,1000019353,
3.31309,um,Track,1000019354,
2.51005,um,Track,1000019361,
6.08002,um,Track,1000019395,
0.941854,um,Track,1000019396,
0.788205,um,Track,1000019405,
2.36866,um,Track,1000019412,
13.1129,um,Track,1000019436,
2.3217,um,Track,1000019450,
2.63865,um,Track,1000019465,
1.1439,um,Track,1000019472,
2.74897,um,Track,1000019477,
