
CellTypeCount
==================== 
Count,Time, CellType
1007.0,2,Fragment-LogNorm
1022.0,3,Fragment-LogNorm
1033.0,4,Fragment-LogNorm
1040.0,5,Fragment-LogNorm
1046.0,6,Fragment-LogNorm
1056.0,7,Fragment-LogNorm
1056.0,8,Fragment-LogNorm
1065.0,9,Fragment-LogNorm
1071.0,10,Fragment-LogNorm
1079.0,11,Fragment-LogNorm
1086.0,12,Fragment-LogNorm
1092.0,13,Fragment-LogNorm
1095.0,14,Fragment-LogNorm
1101.0,15,Fragment-LogNorm
1110.0,16,Fragment-LogNorm
1118.0,17,Fragment-LogNorm
1123.0,18,Fragment-LogNorm
1133.0,19,Fragment-LogNorm
1137.0,20,Fragment-LogNorm
1144.0,21,Fragment-LogNorm
1150.0,22,Fragment-LogNorm
1156.0,23,Fragment-LogNorm
1158.0,24,Fragment-LogNorm
1166.0,25,Fragment-LogNorm
1171.0,26,Fragment-LogNorm
1173.0,27,Fragment-LogNorm
1178.0,28,Fragment-LogNorm
1180.0,29,Fragment-LogNorm
1183.0,30,Fragment-LogNorm
1190.0,31,Fragment-LogNorm
1194.0,32,Fragment-LogNorm
1202.0,33,Fragment-LogNorm
1212.0,34,Fragment-LogNorm
1218.0,35,Fragment-LogNorm
1220.0,36,Fragment-LogNorm
1226.0,37,Fragment-LogNorm
1231.0,38,Fragment-LogNorm
1235.0,39,Fragment-LogNorm
1241.0,40,Fragment-LogNorm
1249.0,41,Fragment-LogNorm
1252.0,42,Fragment-LogNorm
1254.0,43,Fragment-LogNorm
1256.0,44,Fragment-LogNorm
1259.0,45,Fragment-LogNorm
1264.0,46,Fragment-LogNorm
1268.0,47,Fragment-LogNorm
1272.0,48,Fragment-LogNorm
1277.0,49,Fragment-LogNorm
1281.0,50,Fragment-LogNorm
1286.0,51,Fragment-LogNorm
1288.0,52,Fragment-LogNorm
1294.0,53,Fragment-LogNorm
1296.0,54,Fragment-LogNorm
1302.0,55,Fragment-LogNorm
1305.0,56,Fragment-LogNorm
1310.0,57,Fragment-LogNorm
1314.0,58,Fragment-LogNorm
1317.0,59,Fragment-LogNorm
1323.0,60,Fragment-LogNorm
1326.0,61,Fragment-LogNorm
1332.0,62,Fragment-LogNorm
1336.0,63,Fragment-LogNorm
1339.0,64,Fragment-LogNorm
1341.0,65,Fragment-LogNorm
1343.0,66,Fragment-LogNorm
1349.0,67,Fragment-LogNorm
1354.0,68,Fragment-LogNorm
1359.0,69,Fragment-LogNorm
1362.0,70,Fragment-LogNorm
1364.0,71,Fragment-LogNorm
1368.0,72,Fragment-LogNorm
1372.0,73,Fragment-LogNorm
1381.0,74,Fragment-LogNorm
1386.0,75,Fragment-LogNorm
1389.0,76,Fragment-LogNorm
1392.0,77,Fragment-LogNorm
1400.0,78,Fragment-LogNorm
1402.0,79,Fragment-LogNorm
1404.0,80,Fragment-LogNorm
1409.0,81,Fragment-LogNorm
1412.0,82,Fragment-LogNorm
1413.0,83,Fragment-LogNorm
1415.0,84,Fragment-LogNorm
1420.0,85,Fragment-LogNorm
1421.0,86,Fragment-LogNorm
1424.0,87,Fragment-LogNorm
1431.0,88,Fragment-LogNorm
1434.0,89,Fragment-LogNorm
1439.0,90,Fragment-LogNorm
1447.0,91,Fragment-LogNorm
1451.0,92,Fragment-LogNorm
1453.0,93,Fragment-LogNorm
1455.0,94,Fragment-LogNorm
1459.0,95,Fragment-LogNorm
1465.0,96,Fragment-LogNorm
1472.0,97,Fragment-LogNorm
1475.0,98,Fragment-LogNorm
1480.0,99,Fragment-LogNorm
1484.0,100,Fragment-LogNorm
1488.0,101,Fragment-LogNorm
1492.0,102,Fragment-LogNorm
1497.0,103,Fragment-LogNorm
1502.0,104,Fragment-LogNorm
1507.0,105,Fragment-LogNorm
1512.0,106,Fragment-LogNorm
1516.0,107,Fragment-LogNorm
1522.0,108,Fragment-LogNorm
1528.0,109,Fragment-LogNorm
1537.0,110,Fragment-LogNorm
1538.0,111,Fragment-LogNorm
1542.0,112,Fragment-LogNorm
1542.0,113,Fragment-LogNorm
1546.0,114,Fragment-LogNorm
1552.0,115,Fragment-LogNorm
1557.0,116,Fragment-LogNorm
1560.0,117,Fragment-LogNorm
1566.0,118,Fragment-LogNorm
1569.0,119,Fragment-LogNorm
1576.0,120,Fragment-LogNorm
1576.0,121,Fragment-LogNorm
1583.0,122,Fragment-LogNorm
1588.0,123,Fragment-LogNorm
1589.0,124,Fragment-LogNorm
1593.0,125,Fragment-LogNorm
1593.0,126,Fragment-LogNorm
1597.0,127,Fragment-LogNorm
1599.0,128,Fragment-LogNorm
1602.0,129,Fragment-LogNorm
1606.0,130,Fragment-LogNorm
1608.0,131,Fragment-LogNorm
1610.0,132,Fragment-LogNorm
1612.0,133,Fragment-LogNorm
1616.0,134,Fragment-LogNorm
1621.0,135,Fragment-LogNorm
1624.0,136,Fragment-LogNorm
1625.0,137,Fragment-LogNorm
1629.0,138,Fragment-LogNorm
1635.0,139,Fragment-LogNorm
1639.0,140,Fragment-LogNorm
1643.0,141,Fragment-LogNorm
1647.0,142,Fragment-LogNorm
1648.0,143,Fragment-LogNorm
1652.0,144,Fragment-LogNorm
1655.0,145,Fragment-LogNorm
1659.0,146,Fragment-LogNorm
1660.0,147,Fragment-LogNorm
1660.0,148,Fragment-LogNorm
1663.0,149,Fragment-LogNorm
1668.0,150,Fragment-LogNorm
