"","Population","pvalue"
"1",10,0.661091700617236
"2",20,0.129012527946309
"3",40,0.0221421673245683
"4",80,0.9173746204084
"5",160,0.00892629811214109
"6",320,8.04522291517741e-05
"7",640,8.10434371222819e-05
"8",1000,9.05261414504096e-06
"9",1500,3.86803502273631e-07
"10",2000,3.86803502273631e-07
"11",2500,8.97899863277855e-05
"12",3000,3.50701842061425e-06
"13",3500,5.15738003031508e-08
"14",4000,4.80925687826881e-06
"15",5000,0.00420571859765144
