
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
134,,Surface,4,Image 1,1,1000014184,14184,
78,,Surface,4,Image 1,1,1000014185,14185,
14,,Surface,4,Image 1,1,1000014186,14186,
3,,Surface,4,Image 1,1,1000014187,14187,
6,,Surface,4,Image 1,1,1000014188,14188,
61,,Surface,4,Image 1,1,1000014189,14189,
441,,Surface,4,Image 1,1,1000014190,14190,
334,,Surface,4,Image 1,1,1000014191,14191,
1215,,Surface,4,Image 1,1,1000014192,14192,
272,,Surface,4,Image 1,1,1000014193,14193,
1611,,Surface,4,Image 1,1,1000014194,14194,
536,,Surface,4,Image 1,1,1000014195,14195,
339,,Surface,4,Image 1,1,1000014196,14196,
1361,,Surface,4,Image 1,1,1000014197,14197,
1544,,Surface,4,Image 1,1,1000014198,14198,
150,,Surface,4,Image 1,1,1000014199,14199,
104,,Surface,4,Image 1,1,1000014200,14200,
17,,Surface,4,Image 1,1,1000014201,14201,
1020,,Surface,4,Image 1,1,1000014202,14202,
100,,Surface,4,Image 1,2,1000014185,14203,
539,,Surface,4,Image 1,2,1000014184,14204,
21,,Surface,4,Image 1,2,1000014186,14205,
0,,Surface,4,Image 1,2,1000014187,14206,
1907,,Surface,4,Image 1,2,1000014207,14207,
12,,Surface,4,Image 1,2,1000014188,14208,
69,,Surface,4,Image 1,2,1000014189,14209,
165,,Surface,4,Image 1,2,1000014210,14210,
121,,Surface,4,Image 1,2,1000014190,14211,
15,,Surface,4,Image 1,2,1000014212,14212,
407,,Surface,4,Image 1,2,1000014191,14213,
695,,Surface,4,Image 1,2,1000014192,14214,
605,,Surface,4,Image 1,2,1000014193,14215,
88,,Surface,4,Image 1,2,1000014216,14216,
403,,Surface,4,Image 1,2,1000014194,14217,
1721,,Surface,4,Image 1,2,1000014218,14218,
157,,Surface,4,Image 1,2,1000014195,14219,
249,,Surface,4,Image 1,2,1000014220,14220,
659,,Surface,4,Image 1,2,1000014196,14221,
1106,,Surface,4,Image 1,2,1000014197,14222,
163,,Surface,4,Image 1,2,1000014223,14223,
642,,Surface,4,Image 1,2,1000014199,14224,
1460,,Surface,4,Image 1,2,1000014198,14225,
553,,Surface,4,Image 1,2,1000014200,14226,
50,,Surface,4,Image 1,2,1000014201,14227,
1530,,Surface,4,Image 1,2,1000014202,14228,
101,,Surface,4,Image 1,3,1000014185,14229,
526,,Surface,4,Image 1,3,1000014184,14230,
18,,Surface,4,Image 1,3,1000014186,14231,
17,,Surface,4,Image 1,3,1000014187,14232,
240,,Surface,4,Image 1,3,1000014233,14233,
1245,,Surface,4,Image 1,3,1000014207,14234,
2,,Surface,4,Image 1,3,1000014188,14235,
175,,Surface,4,Image 1,3,1000014236,14236,
84,,Surface,4,Image 1,3,1000014189,14237,
251,,Surface,4,Image 1,3,1000014210,14238,
0,,Surface,4,Image 1,3,1000014239,14239,
254,,Surface,4,Image 1,3,1000014190,14240,
3,,Surface,4,Image 1,3,1000014212,14241,
28,,Surface,4,Image 1,3,1000014242,14242,
271,,Surface,4,Image 1,3,1000014191,14243,
384,,Surface,4,Image 1,3,1000014192,14244,
401,,Surface,4,Image 1,3,1000014193,14245,
103,,Surface,4,Image 1,3,1000014216,14246,
227,,Surface,4,Image 1,3,1000014194,14247,
2878,,Surface,4,Image 1,3,1000014218,14248,
83,,Surface,4,Image 1,3,1000014195,14249,
94,,Surface,4,Image 1,3,1000014220,14250,
361,,Surface,4,Image 1,3,1000014196,14251,
710,,Surface,4,Image 1,3,1000014197,14252,
287,,Surface,4,Image 1,3,1000014223,14253,
1001,,Surface,4,Image 1,3,1000014198,14254,
348,,Surface,4,Image 1,3,1000014199,14255,
782,,Surface,4,Image 1,3,1000014200,14256,
3,,Surface,4,Image 1,3,1000014201,14257,
765,,Surface,4,Image 1,3,1000014202,14258,
250,,Surface,4,Image 1,4,1000014185,14259,
394,,Surface,4,Image 1,4,1000014184,14260,
12,,Surface,4,Image 1,4,1000014261,14261,
23,,Surface,4,Image 1,4,1000014186,14262,
23,,Surface,4,Image 1,4,1000014187,14263,
620,,Surface,4,Image 1,4,1000014233,14264,
1544,,Surface,4,Image 1,4,1000014207,14265,
0,,Surface,4,Image 1,4,1000014188,14266,
182,,Surface,4,Image 1,4,1000014236,14267,
56,,Surface,4,Image 1,4,1000014189,14268,
611,,Surface,4,Image 1,4,1000014210,14269,
1092,,Surface,4,Image 1,4,1000014190,14270,
0,,Surface,4,Image 1,4,1000014239,14271,
14,,Surface,4,Image 1,4,1000014212,14272,
59,,Surface,4,Image 1,4,1000014242,14273,
463,,Surface,4,Image 1,4,1000014191,14274,
116,,Surface,4,Image 1,4,1000014275,14275,
407,,Surface,4,Image 1,4,1000014192,14276,
713,,Surface,4,Image 1,4,1000014193,14277,
171,,Surface,4,Image 1,4,1000014216,14278,
159,,Surface,4,Image 1,4,1000014194,14279,
3288,,Surface,4,Image 1,4,1000014218,14280,
9,,Surface,4,Image 1,4,1000014195,14281,
20,,Surface,4,Image 1,4,1000014220,14282,
730,,Surface,4,Image 1,4,1000014196,14283,
325,,Surface,4,Image 1,4,1000014197,14284,
319,,Surface,4,Image 1,4,1000014223,14285,
244,,Surface,4,Image 1,4,1000014199,14286,
1333,,Surface,4,Image 1,4,1000014198,14287,
128,,Surface,4,Image 1,4,1000014288,14288,
49,,Surface,4,Image 1,4,1000014289,14289,
329,,Surface,4,Image 1,4,1000014200,14290,
8,,Surface,4,Image 1,4,1000014201,14291,
510,,Surface,4,Image 1,4,1000014202,14292,
445,,Surface,4,Image 1,5,1000014184,14293,
217,,Surface,4,Image 1,5,1000014185,14294,
2,,Surface,4,Image 1,5,1000014261,14295,
64,,Surface,4,Image 1,5,1000014186,14296,
25,,Surface,4,Image 1,5,1000014187,14297,
102,,Surface,4,Image 1,5,1000014298,14298,
306,,Surface,4,Image 1,5,1000014299,14299,
228,,Surface,4,Image 1,5,1000014233,14300,
1678,,Surface,4,Image 1,5,1000014207,14301,
1690,,Surface,4,Image 1,5,1000014302,14302,
387,,Surface,4,Image 1,5,1000014236,14303,
4,,Surface,4,Image 1,5,1000014304,14304,
91,,Surface,4,Image 1,5,1000014189,14305,
277,,Surface,4,Image 1,5,1000014210,14306,
10,,Surface,4,Image 1,5,1000014239,14307,
1047,,Surface,4,Image 1,5,1000014190,14308,
0,,Surface,4,Image 1,5,1000014212,14309,
73,,Surface,4,Image 1,5,1000014242,14310,
79,,Surface,4,Image 1,5,1000014191,14311,
342,,Surface,4,Image 1,5,1000014275,14312,
569,,Surface,4,Image 1,5,1000014192,14313,
219,,Surface,4,Image 1,5,1000014193,14314,
157,,Surface,4,Image 1,5,1000014216,14315,
110,,Surface,4,Image 1,5,1000014194,14316,
4455,,Surface,4,Image 1,5,1000014218,14317,
0,,Surface,4,Image 1,5,1000014220,14318,
150,,Surface,4,Image 1,5,1000014196,14319,
145,,Surface,4,Image 1,5,1000014197,14320,
115,,Surface,4,Image 1,5,1000014223,14321,
274,,Surface,4,Image 1,5,1000014288,14322,
939,,Surface,4,Image 1,5,1000014199,14323,
1956,,Surface,4,Image 1,5,1000014198,14324,
177,,Surface,4,Image 1,5,1000014289,14325,
1251,,Surface,4,Image 1,5,1000014200,14326,
53,,Surface,4,Image 1,5,1000014201,14327,
1020,,Surface,4,Image 1,5,1000014202,14328,
0,,Surface,4,Image 1,6,1000014329,14329,
152,,Surface,4,Image 1,6,1000014185,14330,
24,,Surface,4,Image 1,6,1000014331,14331,
488,,Surface,4,Image 1,6,1000014184,14332,
35,,Surface,4,Image 1,6,1000014261,14333,
15,,Surface,4,Image 1,6,1000014187,14334,
109,,Surface,4,Image 1,6,1000014298,14335,
592,,Surface,4,Image 1,6,1000014299,14336,
399,,Surface,4,Image 1,6,1000014233,14337,
1407,,Surface,4,Image 1,6,1000014207,14338,
844,,Surface,4,Image 1,6,1000014302,14339,
