
Track Ellipticity Oblate Mean
 ==================== 
Track Ellipticity Oblate Mean,Unit,Category,ID,
0.307719,um,Track,1000015455,
0.438529,um,Track,1000015461,
0.412778,um,Track,1000015477,
0.48857,um,Track,1000015497,
0.386208,um,Track,1000015502,
0.246852,um,Track,1000015503,
0.339862,um,Track,1000015508,
0.446888,um,Track,1000015516,
0.351318,um,Track,1000015525,
0.308337,um,Track,1000015536,
0.264338,um,Track,1000015541,
0.380765,um,Track,1000015557,
0.342091,um,Track,1000015590,
0.273822,um,Track,1000015591,
0.325161,um,Track,1000015593,
0.236263,um,Track,1000015622,
0.280909,um,Track,1000015630,
0.329609,um,Track,1000015650,
0.539254,um,Track,1000015674,
0.514932,um,Track,1000015675,
0.381224,um,Track,1000015678,
0.325329,um,Track,1000015680,
0.393404,um,Track,1000015682,
0.314734,um,Track,1000015700,
0.30254,um,Track,1000015706,
0.327535,um,Track,1000015719,
0.193396,um,Track,1000015724,
0.422843,um,Track,1000015726,
0.394126,um,Track,1000015727,
0.236082,um,Track,1000015732,
0.288692,um,Track,1000015744,
0.35662,um,Track,1000015750,
0.259251,um,Track,1000015752,
0.334756,um,Track,1000015753,
0.338501,um,Track,1000015756,
0.302841,um,Track,1000015758,
0.498747,um,Track,1000015767,
0.308914,um,Track,1000015768,
0.483157,um,Track,1000015772,
0.432724,um,Track,1000015781,
0.259486,um,Track,1000015782,
0.361687,um,Track,1000015808,
0.338849,um,Track,1000015810,
0.193111,um,Track,1000015856,
0.346831,um,Track,1000015857,
0.207209,um,Track,1000015872,
0.355209,um,Track,1000015881,
0.397234,um,Track,1000015885,
0.273855,um,Track,1000015891,
0.215061,um,Track,1000015910,
0.392686,um,Track,1000015931,
0.232779,um,Track,1000015937,
0.374321,um,Track,1000015951,
0.298853,um,Track,1000015960,
0.306275,um,Track,1000015964,
0.418328,um,Track,1000015975,
0.297085,um,Track,1000015996,
0.451277,um,Track,1000016009,
0.33872,um,Track,1000016017,
0.39394,um,Track,1000016024,
0.364982,um,Track,1000016031,
0.31642,um,Track,1000016045,
0.255373,um,Track,1000016051,
0.364844,um,Track,1000016052,
0.373919,um,Track,1000016073,
0.28187,um,Track,1000016077,
0.269056,um,Track,1000016083,
0.396585,um,Track,1000016095,
0.474781,um,Track,1000016100,
0.371228,um,Track,1000016102,
0.441039,um,Track,1000016107,
0.36286,um,Track,1000016109,
0.396748,um,Track,1000016117,
0.249668,um,Track,1000016143,
0.310433,um,Track,1000016167,
0.257762,um,Track,1000016188,
0.332408,um,Track,1000016195,
0.292143,um,Track,1000016200,
0.522939,um,Track,1000016214,
0.385072,um,Track,1000016218,
0.449955,um,Track,1000016223,
0.371645,um,Track,1000016232,
0.410036,um,Track,1000016233,
0.452528,um,Track,1000016235,
0.364708,um,Track,1000016250,
0.281999,um,Track,1000016259,
0.336331,um,Track,1000016275,
0.261774,um,Track,1000016281,
0.307421,um,Track,1000016292,
0.389255,um,Track,1000016299,
0.306911,um,Track,1000016304,
0.374244,um,Track,1000016316,
0.376198,um,Track,1000016320,
0.4403,um,Track,1000016332,
0.32844,um,Track,1000016337,
0.468447,um,Track,1000016338,
0.235421,um,Track,1000016342,
0.295739,um,Track,1000016354,
0.354047,um,Track,1000016357,
0.225157,um,Track,1000016360,
0.335982,um,Track,1000016381,
0.535327,um,Track,1000016386,
0.347016,um,Track,1000016390,
0.153836,um,Track,1000016397,
0.278938,um,Track,1000016402,
0.412211,um,Track,1000016404,
0.371428,um,Track,1000016415,
0.299501,um,Track,1000016419,
0.382827,um,Track,1000016423,
0.265776,um,Track,1000016426,
0.342014,um,Track,1000016430,
0.293445,um,Track,1000016436,
0.37147,um,Track,1000016453,
0.383372,um,Track,1000016466,
0.463947,um,Track,1000016468,
0.280522,um,Track,1000016474,
0.220137,um,Track,1000016475,
0.261839,um,Track,1000016485,
0.537426,um,Track,1000016504,
0.295562,um,Track,1000016508,
0.41264,um,Track,1000016512,
0.202228,um,Track,1000016521,
0.292596,um,Track,1000016531,
0.438661,um,Track,1000016534,
0.254769,um,Track,1000016542,
0.355769,um,Track,1000016585,
0.331015,um,Track,1000016590,
0.262281,um,Track,1000016591,
0.297731,um,Track,1000016603,
0.307568,um,Track,1000016609,
0.360814,um,Track,1000016611,
0.452522,um,Track,1000016612,
0.388474,um,Track,1000016623,
0.211007,um,Track,1000016626,
0.242813,um,Track,1000016639,
0.40733,um,Track,1000016641,
0.314497,um,Track,1000016643,
0.35186,um,Track,1000016665,
0.405581,um,Track,1000016666,
0.189061,um,Track,1000016674,
0.313214,um,Track,1000016677,
0.386937,um,Track,1000016700,
0.259199,um,Track,1000016703,
0.283737,um,Track,1000016708,
