
Track Sphericity Mean
 ==================== 
Track Sphericity Mean,Unit,Category,ID,
0.879892,,Track,1000014184,
0.891924,,Track,1000014185,
0.893546,,Track,1000014186,
0.814684,,Track,1000014187,
0.739848,,Track,1000014188,
0.875994,,Track,1000014189,
0.811931,,Track,1000014190,
0.874756,,Track,1000014191,
0.910909,,Track,1000014192,
0.834178,,Track,1000014193,
0.824205,,Track,1000014194,
0.853359,,Track,1000014195,
0.83019,,Track,1000014196,
0.842054,,Track,1000014197,
0.813548,,Track,1000014198,
0.881794,,Track,1000014199,
0.84371,,Track,1000014200,
0.889485,,Track,1000014201,
0.843143,,Track,1000014202,
0.80316,,Track,1000014207,
0.886438,,Track,1000014210,
0.744786,,Track,1000014212,
0.815652,,Track,1000014216,
0.770473,,Track,1000014218,
0.858139,,Track,1000014220,
0.882352,,Track,1000014223,
0.863602,,Track,1000014233,
0.894243,,Track,1000014236,
0.818581,,Track,1000014239,
0.859367,,Track,1000014242,
0.813515,,Track,1000014261,
0.889722,,Track,1000014275,
0.805637,,Track,1000014288,
0.813109,,Track,1000014289,
0.844849,,Track,1000014298,
0.816874,,Track,1000014299,
0.796742,,Track,1000014302,
0.779567,,Track,1000014304,
0.722042,,Track,1000014329,
0.821997,,Track,1000014331,
0.823988,,Track,1000014350,
0.829033,,Track,1000014353,
0.894695,,Track,1000014394,
0.867951,,Track,1000014397,
0.91299,,Track,1000014400,
0.869271,,Track,1000014402,
0.794482,,Track,1000014407,
0.836396,,Track,1000014412,
0.809844,,Track,1000014414,
0.834693,,Track,1000014422,
0.767402,,Track,1000014430,
0.787945,,Track,1000014433,
0.753149,,Track,1000014436,
0.862167,,Track,1000014438,
0.746338,,Track,1000014439,
0.855438,,Track,1000014440,
0.897514,,Track,1000014447,
0.919426,,Track,1000014453,
0.871498,,Track,1000014459,
0.845536,,Track,1000014465,
0.785636,,Track,1000014470,
0.804521,,Track,1000014493,
0.865888,,Track,1000014501,
0.848605,,Track,1000014521,
0.845567,,Track,1000014536,
0.80134,,Track,1000014545,
0.867365,,Track,1000014556,
0.891665,,Track,1000014582,
0.876343,,Track,1000014583,
0.88034,,Track,1000014584,
0.891499,,Track,1000014586,
0.821616,,Track,1000014591,
0.837637,,Track,1000014605,
0.861137,,Track,1000014607,
0.803802,,Track,1000014626,
0.749253,,Track,1000014627,
0.820346,,Track,1000014647,
0.876296,,Track,1000014648,
0.776012,,Track,1000014656,
0.777938,,Track,1000014658,
0.828626,,Track,1000014659,
0.8269,,Track,1000014661,
0.759031,,Track,1000014663,
0.845096,,Track,1000014668,
0.840661,,Track,1000014676,
0.837203,,Track,1000014683,
0.898475,,Track,1000014686,
0.889392,,Track,1000014702,
0.853875,,Track,1000014710,
0.893345,,Track,1000014716,
0.876317,,Track,1000014732,
0.797189,,Track,1000014748,
0.757009,,Track,1000014750,
0.842149,,Track,1000014752,
0.850389,,Track,1000014756,
0.852302,,Track,1000014762,
0.699419,,Track,1000014764,
0.762096,,Track,1000014765,
0.852848,,Track,1000014775,
0.763065,,Track,1000014776,
0.758235,,Track,1000014780,
0.847815,,Track,1000014783,
0.812844,,Track,1000014786,
0.872009,,Track,1000014798,
0.707134,,Track,1000014800,
0.776943,,Track,1000014803,
0.814082,,Track,1000014804,
0.793381,,Track,1000014809,
0.924369,,Track,1000014822,
0.856545,,Track,1000014846,
0.817854,,Track,1000014848,
0.818095,,Track,1000014852,
0.833306,,Track,1000014859,
0.790876,,Track,1000014887,
0.893614,,Track,1000014909,
0.834276,,Track,1000014918,
0.883518,,Track,1000014926,
0.836365,,Track,1000014938,
0.901457,,Track,1000014939,
0.847066,,Track,1000014943,
0.850682,,Track,1000014948,
0.760249,,Track,1000014950,
0.858744,,Track,1000014956,
0.822042,,Track,1000014964,
0.788619,,Track,1000014966,
0.861099,,Track,1000014981,
0.837867,,Track,1000014991,
0.859438,,Track,1000015000,
0.817351,,Track,1000015007,
0.767233,,Track,1000015009,
0.795474,,Track,1000015012,
0.803612,,Track,1000015021,
0.785125,,Track,1000015022,
0.84088,,Track,1000015027,
0.809083,,Track,1000015029,
0.861212,,Track,1000015030,
0.809502,,Track,1000015055,
0.804677,,Track,1000015069,
0.84654,,Track,1000015072,
0.854968,,Track,1000015073,
0.83994,,Track,1000015096,
0.853406,,Track,1000015097,
0.878787,,Track,1000015099,
0.906768,,Track,1000015100,
0.884337,,Track,1000015102,
0.815899,,Track,1000015108,
0.866625,,Track,1000015118,
0.822872,,Track,1000015122,
0.685259,,Track,1000015123,
0.766076,,Track,1000015142,
0.803569,,Track,1000015145,
0.913442,,Track,1000015154,
0.894929,,Track,1000015158,
0.824165,,Track,1000015161,
0.85703,,Track,1000015174,
0.877734,,Track,1000015179,
0.796373,,Track,1000015180,
0.840167,,Track,1000015184,
0.84562,,Track,1000015190,
0.793736,,Track,1000015202,
0.850895,,Track,1000015204,
0.890491,,Track,1000015206,
0.893423,,Track,1000015207,
0.786887,,Track,1000015208,
0.913838,,Track,1000015213,
0.867414,,Track,1000015219,
0.81322,,Track,1000015221,
0.904812,,Track,1000015228,
0.866238,,Track,1000015237,
0.917339,,Track,1000015240,
0.916393,,Track,1000015248,
0.819626,,Track,1000015251,
0.800469,,Track,1000015267,
0.842761,,Track,1000015268,
0.87657,,Track,1000015274,
0.785553,,Track,1000015279,
0.835106,,Track,1000015280,
0.814644,,Track,1000015290,
