
Track Duration
 ==================== 
Track Duration,Unit,Category,ID,
386.082,s,Track,1000014184,
965.284,s,Track,1000014185,
154.327,s,Track,1000014186,
231.456,s,Track,1000014187,
115.879,s,Track,1000014188,
579.459,s,Track,1000014189,
231.456,s,Track,1000014190,
154.327,s,Track,1000014191,
154.327,s,Track,1000014192,
424.756,s,Track,1000014193,
154.327,s,Track,1000014194,
115.879,s,Track,1000014195,
192.937,s,Track,1000014196,
617.946,s,Track,1000014197,
1158.41,s,Track,1000014198,
1119.79,s,Track,1000014199,
540.908,s,Track,1000014200,
347.453,s,Track,1000014201,
192.937,s,Track,1000014202,
192.815,s,Track,1000014207,
154.296,s,Track,1000014210,
192.815,s,Track,1000014212,
231.528,s,Track,1000014216,
231.528,s,Track,1000014218,
115.686,s,Track,1000014220,
115.686,s,Track,1000014223,
192.887,s,Track,1000014233,
115.655,s,Track,1000014236,
192.887,s,Track,1000014239,
115.655,s,Track,1000014242,
115.577,s,Track,1000014261,
115.577,s,Track,1000014275,
115.577,s,Track,1000014288,
192.939,s,Track,1000014289,
231.755,s,Track,1000014298,
347.591,s,Track,1000014299,
115.842,s,Track,1000014302,
154.491,s,Track,1000014304,
115.881,s,Track,1000014329,
270.441,s,Track,1000014331,
193.145,s,Track,1000014350,
772.347,s,Track,1000014353,
540.735,s,Track,1000014394,
193.209,s,Track,1000014397,
309.29,s,Track,1000014400,
231.749,s,Track,1000014402,
154.587,s,Track,1000014407,
193.209,s,Track,1000014412,
231.749,s,Track,1000014414,
115.938,s,Track,1000014422,
115.938,s,Track,1000014430,
115.938,s,Track,1000014433,
115.938,s,Track,1000014436,
193.1,s,Track,1000014438,
115.938,s,Track,1000014439,
232.09,s,Track,1000014440,
115.938,s,Track,1000014447,
309.128,s,Track,1000014453,
115.925,s,Track,1000014459,
154.465,s,Track,1000014465,
656.371,s,Track,1000014470,
193.377,s,Track,1000014493,
463.439,s,Track,1000014501,
193.377,s,Track,1000014521,
270.261,s,Track,1000014536,
154.703,s,Track,1000014545,
116.081,s,Track,1000014556,
154.568,s,Track,1000014582,
116.081,s,Track,1000014583,
116.081,s,Track,1000014584,
116.028,s,Track,1000014586,
579.137,s,Track,1000014591,
193.099,s,Track,1000014605,
424.821,s,Track,1000014607,
115.648,s,Track,1000014626,
115.648,s,Track,1000014627,
115.558,s,Track,1000014647,
385.825,s,Track,1000014648,
