
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
112.54,um,Surface,Distance from Origin,4,1000014202,14292,
306.34,um,Surface,Distance from Origin,5,1000014184,14293,
420.531,um,Surface,Distance from Origin,5,1000014185,14294,
311.676,um,Surface,Distance from Origin,5,1000014261,14295,
306.563,um,Surface,Distance from Origin,5,1000014186,14296,
297.407,um,Surface,Distance from Origin,5,1000014187,14297,
293.251,um,Surface,Distance from Origin,5,1000014298,14298,
303.48,um,Surface,Distance from Origin,5,1000014299,14299,
278.173,um,Surface,Distance from Origin,5,1000014233,14300,
278.014,um,Surface,Distance from Origin,5,1000014207,14301,
309.732,um,Surface,Distance from Origin,5,1000014302,14302,
273.363,um,Surface,Distance from Origin,5,1000014236,14303,
275.419,um,Surface,Distance from Origin,5,1000014304,14304,
254.864,um,Surface,Distance from Origin,5,1000014189,14305,
257.669,um,Surface,Distance from Origin,5,1000014210,14306,
257.413,um,Surface,Distance from Origin,5,1000014239,14307,
291.948,um,Surface,Distance from Origin,5,1000014190,14308,
249.129,um,Surface,Distance from Origin,5,1000014212,14309,
240.434,um,Surface,Distance from Origin,5,1000014242,14310,
277.311,um,Surface,Distance from Origin,5,1000014191,14311,
222.397,um,Surface,Distance from Origin,5,1000014275,14312,
219.769,um,Surface,Distance from Origin,5,1000014192,14313,
234.978,um,Surface,Distance from Origin,5,1000014193,14314,
230.96,um,Surface,Distance from Origin,5,1000014216,14315,
205.275,um,Surface,Distance from Origin,5,1000014194,14316,
219.092,um,Surface,Distance from Origin,5,1000014218,14317,
203.958,um,Surface,Distance from Origin,5,1000014220,14318,
177.079,um,Surface,Distance from Origin,5,1000014196,14319,
171.061,um,Surface,Distance from Origin,5,1000014197,14320,
154.717,um,Surface,Distance from Origin,5,1000014223,14321,
159.651,um,Surface,Distance from Origin,5,1000014288,14322,
144.272,um,Surface,Distance from Origin,5,1000014199,14323,
141.346,um,Surface,Distance from Origin,5,1000014198,14324,
141.234,um,Surface,Distance from Origin,5,1000014289,14325,
137.008,um,Surface,Distance from Origin,5,1000014200,14326,
129.649,um,Surface,Distance from Origin,5,1000014201,14327,
112.398,um,Surface,Distance from Origin,5,1000014202,14328,
411.642,um,Surface,Distance from Origin,6,1000014329,14329,
420.742,um,Surface,Distance from Origin,6,1000014185,14330,
329.029,um,Surface,Distance from Origin,6,1000014331,14331,
306.132,um,Surface,Distance from Origin,6,1000014184,14332,
307.896,um,Surface,Distance from Origin,6,1000014261,14333,
297.421,um,Surface,Distance from Origin,6,1000014187,14334,
292.795,um,Surface,Distance from Origin,6,1000014298,14335,
303.44,um,Surface,Distance from Origin,6,1000014299,14336,
278.682,um,Surface,Distance from Origin,6,1000014233,14337,
278.605,um,Surface,Distance from Origin,6,1000014207,14338,
309.148,um,Surface,Distance from Origin,6,1000014302,14339,
272.788,um,Surface,Distance from Origin,6,1000014236,14340,
275.385,um,Surface,Distance from Origin,6,1000014304,14341,
256.653,um,Surface,Distance from Origin,6,1000014189,14342,
258.92,um,Surface,Distance from Origin,6,1000014210,14343,
258.204,um,Surface,Distance from Origin,6,1000014239,14344,
249.795,um,Surface,Distance from Origin,6,1000014212,14345,
288.871,um,Surface,Distance from Origin,6,1000014190,14346,
239.712,um,Surface,Distance from Origin,6,1000014242,14347,
220.93,um,Surface,Distance from Origin,6,1000014275,14348,
234.431,um,Surface,Distance from Origin,6,1000014193,14349,
255.372,um,Surface,Distance from Origin,6,1000014350,14350,
230.278,um,Surface,Distance from Origin,6,1000014216,14351,
219.352,um,Surface,Distance from Origin,6,1000014218,14352,
186.696,um,Surface,Distance from Origin,6,1000014353,14353,
176.051,um,Surface,Distance from Origin,6,1000014196,14354,
172.507,um,Surface,Distance from Origin,6,1000014197,14355,
141.745,um,Surface,Distance from Origin,6,1000014198,14356,
142.974,um,Surface,Distance from Origin,6,1000014199,14357,
140.371,um,Surface,Distance from Origin,6,1000014289,14358,
158.767,um,Surface,Distance from Origin,6,1000014288,14359,
136.917,um,Surface,Distance from Origin,6,1000014200,14360,
130.054,um,Surface,Distance from Origin,6,1000014201,14361,
112.218,um,Surface,Distance from Origin,6,1000014202,14362,
421.971,um,Surface,Distance from Origin,7,1000014185,14363,
410.113,um,Surface,Distance from Origin,7,1000014329,14364,
330.078,um,Surface,Distance from Origin,7,1000014331,14365,
306.874,um,Surface,Distance from Origin,7,1000014184,14366,
299.376,um,Surface,Distance from Origin,7,1000014187,14367,
308.793,um,Surface,Distance from Origin,7,1000014261,14368,
294.343,um,Surface,Distance from Origin,7,1000014298,14369,
304.2,um,Surface,Distance from Origin,7,1000014299,14370,
280.241,um,Surface,Distance from Origin,7,1000014207,14371,
280.026,um,Surface,Distance from Origin,7,1000014233,14372,
311.305,um,Surface,Distance from Origin,7,1000014302,14373,
275.574,um,Surface,Distance from Origin,7,1000014304,14374,
258.112,um,Surface,Distance from Origin,7,1000014189,14375,
260.017,um,Surface,Distance from Origin,7,1000014239,14376,
292.156,um,Surface,Distance from Origin,7,1000014190,14377,
250.782,um,Surface,Distance from Origin,7,1000014212,14378,
222.257,um,Surface,Distance from Origin,7,1000014275,14379,
235.261,um,Surface,Distance from Origin,7,1000014193,14380,
259.398,um,Surface,Distance from Origin,7,1000014350,14381,
227.929,um,Surface,Distance from Origin,7,1000014216,14382,
220.238,um,Surface,Distance from Origin,7,1000014218,14383,
187.784,um,Surface,Distance from Origin,7,1000014353,14384,
174.412,um,Surface,Distance from Origin,7,1000014197,14385,
144.922,um,Surface,Distance from Origin,7,1000014199,14386,
142.85,um,Surface,Distance from Origin,7,1000014289,14387,
142.407,um,Surface,Distance from Origin,7,1000014198,14388,
156.747,um,Surface,Distance from Origin,7,1000014288,14389,
139.427,um,Surface,Distance from Origin,7,1000014200,14390,
