
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0.710559,um,Surface,6,1000014184,14332,
4.97626,um,Surface,6,1000014261,14333,
0.268326,um,Surface,6,1000014187,14334,
0.956247,um,Surface,6,1000014298,14335,
1.33217,um,Surface,6,1000014299,14336,
1.92231,um,Surface,6,1000014233,14337,
1.24335,um,Surface,6,1000014207,14338,
3.03121,um,Surface,6,1000014302,14339,
1.25554,um,Surface,6,1000014236,14340,
0.711121,um,Surface,6,1000014304,14341,
3.12499,um,Surface,6,1000014189,14342,
2.11677,um,Surface,6,1000014210,14343,
3.90944,um,Surface,6,1000014239,14344,
2.2378,um,Surface,6,1000014212,14345,
3.94748,um,Surface,6,1000014190,14346,
0.844653,um,Surface,6,1000014242,14347,
2.45818,um,Surface,6,1000014275,14348,
1.54582,um,Surface,6,1000014193,14349,
0,um,Surface,6,1000014350,14350,
0.837501,um,Surface,6,1000014216,14351,
1.76207,um,Surface,6,1000014218,14352,
0,um,Surface,6,1000014353,14353,
1.10379,um,Surface,6,1000014196,14354,
4.026,um,Surface,6,1000014197,14355,
0.753086,um,Surface,6,1000014198,14356,
1.5602,um,Surface,6,1000014199,14357,
1.86569,um,Surface,6,1000014289,14358,
2.3245,um,Surface,6,1000014288,14359,
2.3011,um,Surface,6,1000014200,14360,
1.41731,um,Surface,6,1000014201,14361,
1.40591,um,Surface,6,1000014202,14362,
1.51054,um,Surface,7,1000014185,14363,
1.65481,um,Surface,7,1000014329,14364,
1.91755,um,Surface,7,1000014331,14365,
1.05673,um,Surface,7,1000014184,14366,
2.12323,um,Surface,7,1000014187,14367,
5.06423,um,Surface,7,1000014261,14368,
1.66224,um,Surface,7,1000014298,14369,
2.77104,um,Surface,7,1000014299,14370,
2.81458,um,Surface,7,1000014207,14371,
1.52074,um,Surface,7,1000014233,14372,
3.12378,um,Surface,7,1000014302,14373,
3.54406,um,Surface,7,1000014304,14374,
3.4636,um,Surface,7,1000014189,14375,
2.68028,um,Surface,7,1000014239,14376,
3.51959,um,Surface,7,1000014190,14377,
1.40179,um,Surface,7,1000014212,14378,
1.43541,um,Surface,7,1000014275,14379,
1.85124,um,Surface,7,1000014193,14380,
4.29146,um,Surface,7,1000014350,14381,
2.49892,um,Surface,7,1000014216,14382,
1.97704,um,Surface,7,1000014218,14383,
5.17464,um,Surface,7,1000014353,14384,
4.78177,um,Surface,7,1000014197,14385,
2.25358,um,Surface,7,1000014199,14386,
3.80183,um,Surface,7,1000014289,14387,
1.93695,um,Surface,7,1000014198,14388,
3.00812,um,Surface,7,1000014288,14389,
2.54153,um,Surface,7,1000014200,14390,
1.75439,um,Surface,7,1000014201,14391,
2.26333,um,Surface,8,1000014184,14392,
3.25332,um,Surface,8,1000014331,14393,
0,um,Surface,8,1000014394,14394,
1.59631,um,Surface,8,1000014329,14395,
1.2215,um,Surface,8,1000014185,14396,
0,um,Surface,8,1000014397,14397,
2.61026,um,Surface,8,1000014298,14398,
3.52798,um,Surface,8,1000014299,14399,
0,um,Surface,8,1000014400,14400,
1.63351,um,Surface,8,1000014233,14401,
0,um,Surface,8,1000014402,14402,
2.6886,um,Surface,8,1000014302,14403,
5.43221,um,Surface,8,1000014304,14404,
3.90469,um,Surface,8,1000014189,14405,
3.08803,um,Surface,8,1000014239,14406,
0,um,Surface,8,1000014407,14407,
1.52683,um,Surface,8,1000014193,14408,
1.37932,um,Surface,8,1000014350,14409,
0.999076,um,Surface,8,1000014216,14410,
2.88074,um,Surface,8,1000014218,14411,
0,um,Surface,8,1000014412,14412,
4.87217,um,Surface,8,1000014353,14413,
0,um,Surface,8,1000014414,14414,
2.6916,um,Surface,8,1000014197,14415,
1.08837,um,Surface,8,1000014289,14416,
1.89125,um,Surface,8,1000014199,14417,
2.69697,um,Surface,8,1000014198,14418,
4.26289,um,Surface,8,1000014200,14419,
2.62372,um,Surface,8,1000014201,14420,
3.20621,um,Surface,9,1000014298,14421,
0,um,Surface,9,1000014422,14422,
0.702997,um,Surface,9,1000014397,14423,
1.17417,um,Surface,9,1000014184,14424,
2.7841,um,Surface,9,1000014394,14425,
1.77416,um,Surface,9,1000014331,14426,
2.91945,um,Surface,9,1000014329,14427,
1.29256,um,Surface,9,1000014185,14428,
0.958922,um,Surface,9,1000014299,14429,
0,um,Surface,9,1000014430,14430,
1.55616,um,Surface,9,1000014400,14431,
1.69729,um,Surface,9,1000014402,14432,
0,um,Surface,9,1000014433,14433,
5.18873,um,Surface,9,1000014304,14434,
2.69984,um,Surface,9,1000014189,14435,
0,um,Surface,9,1000014436,14436,
0,um,Surface,9,1000014407,14437,
0,um,Surface,9,1000014438,14438,
0,um,Surface,9,1000014439,14439,
0,um,Surface,9,1000014440,14440,
2.22414,um,Surface,9,1000014193,14441,
1.46654,um,Surface,9,1000014350,14442,
2.67455,um,Surface,9,1000014412,14443,
4.12959,um,Surface,9,1000014353,14444,
2.03744,um,Surface,9,1000014414,14445,
3.11315,um,Surface,9,1000014197,14446,
0,um,Surface,9,1000014447,14447,
1.2454,um,Surface,9,1000014199,14448,
5.54357,um,Surface,9,1000014289,14449,
1.59452,um,Surface,9,1000014198,14450,
1.59765,um,Surface,9,1000014200,14451,
1.44448,um,Surface,9,1000014201,14452,
0,um,Surface,9,1000014453,14453,
6.05188,um,Surface,10,1000014430,14454,
4.23402,um,Surface,10,1000014298,14455,
1.48126,um,Surface,10,1000014422,14456,
0.733921,um,Surface,10,1000014397,14457,
1.15028,um,Surface,10,1000014184,14458,
0,um,Surface,10,1000014459,14459,
1.38736,um,Surface,10,1000014394,14460,
1.37106,um,Surface,10,1000014331,14461,
1.76593,um,Surface,10,1000014185,14462,
0.991129,um,Surface,10,1000014299,14463,
0.501156,um,Surface,10,1000014400,14464,
0,um,Surface,10,1000014465,14465,
1.26869,um,Surface,10,1000014402,14466,
3.63755,um,Surface,10,1000014433,14467,
1.7544,um,Surface,10,1000014189,14468,
2.18716,um,Surface,10,1000014436,14469,
0,um,Surface,10,1000014470,14470,
1.29718,um,Surface,10,1000014407,14471,
0.910457,um,Surface,10,1000014438,14472,
2.29403,um,Surface,10,1000014439,14473,
2.2354,um,Surface,10,1000014440,14474,
0.794738,um,Surface,10,1000014193,14475,
1.95344,um,Surface,10,1000014350,14476,
1.22697,um,Surface,10,1000014412,14477,
0.624314,um,Surface,10,1000014353,14478,
0.92937,um,Surface,10,1000014414,14479,
3.67161,um,Surface,10,1000014197,14480,
0.860512,um,Surface,10,1000014447,14481,
0.371301,um,Surface,10,1000014199,14482,
0.989676,um,Surface,10,1000014198,14483,
1.64053,um,Surface,10,1000014200,14484,
1.39067,um,Surface,10,1000014201,14485,
0.715146,um,Surface,10,1000014453,14486,
1.01958,um,Surface,11,1000014465,14487,
2.03543,um,Surface,11,1000014400,14488,
4.86428,um,Surface,11,1000014298,14489,
