
Track Intensity Max Ch=1 Img=1
 ==================== 
Track Intensity Max,Unit,Category,Channel,Image,ID,
39,,Track,1,Image 1,1000015219,
13,,Track,1,Image 1,1000015221,
127,,Track,1,Image 1,1000015228,
17,,Track,1,Image 1,1000015237,
55,,Track,1,Image 1,1000015240,
30,,Track,1,Image 1,1000015248,
128,,Track,1,Image 1,1000015251,
40,,Track,1,Image 1,1000015267,
12,,Track,1,Image 1,1000015268,
71,,Track,1,Image 1,1000015274,
255,,Track,1,Image 1,1000015279,
21,,Track,1,Image 1,1000015280,
255,,Track,1,Image 1,1000015290,
21,,Track,1,Image 1,1000015293,
2,,Track,1,Image 1,1000015307,
20,,Track,1,Image 1,1000015308,
103,,Track,1,Image 1,1000015348,
0,,Track,1,Image 1,1000015352,
32,,Track,1,Image 1,1000015353,
1,,Track,1,Image 1,1000015362,
81,,Track,1,Image 1,1000015370,
115,,Track,1,Image 1,1000015377,
47,,Track,1,Image 1,1000015388,
0,,Track,1,Image 1,1000015394,
57,,Track,1,Image 1,1000015400,
5,,Track,1,Image 1,1000015407,
255,,Track,1,Image 1,1000015415,
10,,Track,1,Image 1,1000015421,
20,,Track,1,Image 1,1000015432,
44,,Track,1,Image 1,1000015443,
27,,Track,1,Image 1,1000015450,
9,,Track,1,Image 1,1000015455,
90,,Track,1,Image 1,1000015461,
140,,Track,1,Image 1,1000015477,
0,,Track,1,Image 1,1000015497,
2,,Track,1,Image 1,1000015502,
67,,Track,1,Image 1,1000015503,
120,,Track,1,Image 1,1000015508,
254,,Track,1,Image 1,1000015516,
1,,Track,1,Image 1,1000015525,
11,,Track,1,Image 1,1000015536,
95,,Track,1,Image 1,1000015541,
68,,Track,1,Image 1,1000015557,
111,,Track,1,Image 1,1000015590,
254,,Track,1,Image 1,1000015591,
35,,Track,1,Image 1,1000015593,
153,,Track,1,Image 1,1000015622,
90,,Track,1,Image 1,1000015630,
254,,Track,1,Image 1,1000015650,
60,,Track,1,Image 1,1000015674,
2,,Track,1,Image 1,1000015675,
0,,Track,1,Image 1,1000015678,
3,,Track,1,Image 1,1000015680,
12,,Track,1,Image 1,1000015682,
254,,Track,1,Image 1,1000015700,
6,,Track,1,Image 1,1000015706,
8,,Track,1,Image 1,1000015719,
73,,Track,1,Image 1,1000015724,
62,,Track,1,Image 1,1000015726,
31,,Track,1,Image 1,1000015727,
82,,Track,1,Image 1,1000015732,
33,,Track,1,Image 1,1000015744,
34,,Track,1,Image 1,1000015750,
121,,Track,1,Image 1,1000015752,
35,,Track,1,Image 1,1000015753,
12,,Track,1,Image 1,1000015756,
0,,Track,1,Image 1,1000015758,
255,,Track,1,Image 1,1000015767,
254,,Track,1,Image 1,1000015768,
129,,Track,1,Image 1,1000015772,
2,,Track,1,Image 1,1000015781,
5,,Track,1,Image 1,1000015782,
61,,Track,1,Image 1,1000015808,
43,,Track,1,Image 1,1000015810,
5,,Track,1,Image 1,1000015856,
255,,Track,1,Image 1,1000015857,
8,,Track,1,Image 1,1000015872,
33,,Track,1,Image 1,1000015881,
48,,Track,1,Image 1,1000015885,
