
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
128,,Surface,3,Image 1,5,1000014212,14309,
92,,Surface,3,Image 1,5,1000014242,14310,
100,,Surface,3,Image 1,5,1000014191,14311,
122,,Surface,3,Image 1,5,1000014275,14312,
109,,Surface,3,Image 1,5,1000014192,14313,
120,,Surface,3,Image 1,5,1000014193,14314,
79,,Surface,3,Image 1,5,1000014216,14315,
112,,Surface,3,Image 1,5,1000014194,14316,
78,,Surface,3,Image 1,5,1000014218,14317,
96,,Surface,3,Image 1,5,1000014220,14318,
146,,Surface,3,Image 1,5,1000014196,14319,
147,,Surface,3,Image 1,5,1000014197,14320,
163,,Surface,3,Image 1,5,1000014223,14321,
43,,Surface,3,Image 1,5,1000014288,14322,
235,,Surface,3,Image 1,5,1000014199,14323,
45,,Surface,3,Image 1,5,1000014198,14324,
79,,Surface,3,Image 1,5,1000014289,14325,
125,,Surface,3,Image 1,5,1000014200,14326,
91,,Surface,3,Image 1,5,1000014201,14327,
118,,Surface,3,Image 1,5,1000014202,14328,
93,,Surface,3,Image 1,6,1000014329,14329,
125,,Surface,3,Image 1,6,1000014185,14330,
86,,Surface,3,Image 1,6,1000014331,14331,
99,,Surface,3,Image 1,6,1000014184,14332,
91,,Surface,3,Image 1,6,1000014261,14333,
48,,Surface,3,Image 1,6,1000014187,14334,
116,,Surface,3,Image 1,6,1000014298,14335,
127,,Surface,3,Image 1,6,1000014299,14336,
91,,Surface,3,Image 1,6,1000014233,14337,
100,,Surface,3,Image 1,6,1000014207,14338,
132,,Surface,3,Image 1,6,1000014302,14339,
95,,Surface,3,Image 1,6,1000014236,14340,
135,,Surface,3,Image 1,6,1000014304,14341,
132,,Surface,3,Image 1,6,1000014189,14342,
183,,Surface,3,Image 1,6,1000014210,14343,
58,,Surface,3,Image 1,6,1000014239,14344,
164,,Surface,3,Image 1,6,1000014212,14345,
55,,Surface,3,Image 1,6,1000014190,14346,
112,,Surface,3,Image 1,6,1000014242,14347,
117,,Surface,3,Image 1,6,1000014275,14348,
103,,Surface,3,Image 1,6,1000014193,14349,
100,,Surface,3,Image 1,6,1000014350,14350,
81,,Surface,3,Image 1,6,1000014216,14351,
77,,Surface,3,Image 1,6,1000014218,14352,
193,,Surface,3,Image 1,6,1000014353,14353,
157,,Surface,3,Image 1,6,1000014196,14354,
120,,Surface,3,Image 1,6,1000014197,14355,
77,,Surface,3,Image 1,6,1000014198,14356,
167,,Surface,3,Image 1,6,1000014199,14357,
204,,Surface,3,Image 1,6,1000014289,14358,
61,,Surface,3,Image 1,6,1000014288,14359,
109,,Surface,3,Image 1,6,1000014200,14360,
16,,Surface,3,Image 1,6,1000014201,14361,
86,,Surface,3,Image 1,6,1000014202,14362,
118,,Surface,3,Image 1,7,1000014185,14363,
86,,Surface,3,Image 1,7,1000014329,14364,
101,,Surface,3,Image 1,7,1000014331,14365,
137,,Surface,3,Image 1,7,1000014184,14366,
68,,Surface,3,Image 1,7,1000014187,14367,
72,,Surface,3,Image 1,7,1000014261,14368,
94,,Surface,3,Image 1,7,1000014298,14369,
104,,Surface,3,Image 1,7,1000014299,14370,
42,,Surface,3,Image 1,7,1000014207,14371,
130,,Surface,3,Image 1,7,1000014233,14372,
166,,Surface,3,Image 1,7,1000014302,14373,
83,,Surface,3,Image 1,7,1000014304,14374,
125,,Surface,3,Image 1,7,1000014189,14375,
84,,Surface,3,Image 1,7,1000014239,14376,
93,,Surface,3,Image 1,7,1000014190,14377,
154,,Surface,3,Image 1,7,1000014212,14378,
134,,Surface,3,Image 1,7,1000014275,14379,
136,,Surface,3,Image 1,7,1000014193,14380,
98,,Surface,3,Image 1,7,1000014350,14381,
127,,Surface,3,Image 1,7,1000014216,14382,
61,,Surface,3,Image 1,7,1000014218,14383,
138,,Surface,3,Image 1,7,1000014353,14384,
146,,Surface,3,Image 1,7,1000014197,14385,
133,,Surface,3,Image 1,7,1000014199,14386,
166,,Surface,3,Image 1,7,1000014289,14387,
85,,Surface,3,Image 1,7,1000014198,14388,
68,,Surface,3,Image 1,7,1000014288,14389,
200,,Surface,3,Image 1,7,1000014200,14390,
105,,Surface,3,Image 1,7,1000014201,14391,
121,,Surface,3,Image 1,8,1000014184,14392,
113,,Surface,3,Image 1,8,1000014331,14393,
73,,Surface,3,Image 1,8,1000014394,14394,
61,,Surface,3,Image 1,8,1000014329,14395,
133,,Surface,3,Image 1,8,1000014185,14396,
103,,Surface,3,Image 1,8,1000014397,14397,
66,,Surface,3,Image 1,8,1000014298,14398,
137,,Surface,3,Image 1,8,1000014299,14399,
68,,Surface,3,Image 1,8,1000014400,14400,
126,,Surface,3,Image 1,8,1000014233,14401,
160,,Surface,3,Image 1,8,1000014402,14402,
172,,Surface,3,Image 1,8,1000014302,14403,
137,,Surface,3,Image 1,8,1000014304,14404,
133,,Surface,3,Image 1,8,1000014189,14405,
87,,Surface,3,Image 1,8,1000014239,14406,
254,,Surface,3,Image 1,8,1000014407,14407,
72,,Surface,3,Image 1,8,1000014193,14408,
84,,Surface,3,Image 1,8,1000014350,14409,
100,,Surface,3,Image 1,8,1000014216,14410,
68,,Surface,3,Image 1,8,1000014218,14411,
86,,Surface,3,Image 1,8,1000014412,14412,
113,,Surface,3,Image 1,8,1000014353,14413,
139,,Surface,3,Image 1,8,1000014414,14414,
84,,Surface,3,Image 1,8,1000014197,14415,
185,,Surface,3,Image 1,8,1000014289,14416,
175,,Surface,3,Image 1,8,1000014199,14417,
61,,Surface,3,Image 1,8,1000014198,14418,
154,,Surface,3,Image 1,8,1000014200,14419,
110,,Surface,3,Image 1,8,1000014201,14420,
76,,Surface,3,Image 1,9,1000014298,14421,
93,,Surface,3,Image 1,9,1000014422,14422,
107,,Surface,3,Image 1,9,1000014397,14423,
135,,Surface,3,Image 1,9,1000014184,14424,
65,,Surface,3,Image 1,9,1000014394,14425,
108,,Surface,3,Image 1,9,1000014331,14426,
