
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
31.6033,121.081,95.1793,°,Surface,Velocity Angle,4,1000014207,14265,
120.496,95.8278,148.841,°,Surface,Velocity Angle,4,1000014188,14266,
57.5978,132.527,120.399,°,Surface,Velocity Angle,4,1000014236,14267,
51.8427,101.33,139.59,°,Surface,Velocity Angle,4,1000014189,14268,
98.1329,171.875,90.0027,°,Surface,Velocity Angle,4,1000014210,14269,
131.862,41.859,90.0027,°,Surface,Velocity Angle,4,1000014190,14270,
21.8062,111.049,95.451,°,Surface,Velocity Angle,4,1000014239,14271,
90.0027,146.701,123.307,°,Surface,Velocity Angle,4,1000014212,14272,
145.624,124.384,90.0027,°,Surface,Velocity Angle,4,1000014242,14273,
144.346,61.7368,70.1274,°,Surface,Velocity Angle,4,1000014191,14274,
144.467,54.4641,90.0027,°,Surface,Velocity Angle,4,1000014275,14275,
61.165,142.415,68.0732,°,Surface,Velocity Angle,4,1000014192,14276,
82.5118,95.3455,9.21884,°,Surface,Velocity Angle,4,1000014193,14277,
36.7226,53.2801,90.0027,°,Surface,Velocity Angle,4,1000014216,14278,
176.429,93.5788,90.0027,°,Surface,Velocity Angle,4,1000014194,14279,
126.555,141.902,99.3,°,Surface,Velocity Angle,4,1000014218,14280,
103.294,164.038,81.3152,°,Surface,Velocity Angle,4,1000014195,14281,
102.519,65.6341,152.227,°,Surface,Velocity Angle,4,1000014220,14282,
116.245,133.109,125.523,°,Surface,Velocity Angle,4,1000014196,14283,
48.2863,75.026,134.455,°,Surface,Velocity Angle,4,1000014197,14284,
142.826,53.993,81.9687,°,Surface,Velocity Angle,4,1000014223,14285,
143.134,53.1317,90.0027,°,Surface,Velocity Angle,4,1000014199,14286,
177.459,88.483,92.0458,°,Surface,Velocity Angle,4,1000014198,14287,
12.6339,102.637,90.0027,°,Surface,Velocity Angle,4,1000014288,14288,
122.387,32.8725,84.956,°,Surface,Velocity Angle,4,1000014289,14289,
168.695,78.6923,90.0027,°,Surface,Velocity Angle,4,1000014200,14290,
