
Track Ar1 Mean
 ==================== 
Track Ar1 Mean,Unit,Category,ID,
-0.292476,,Track,1000014184,
-0.379538,,Track,1000014185,
-0.338492,,Track,1000014186,
-0.45618,,Track,1000014187,
-0.156154,,Track,1000014188,
-0.104,,Track,1000014189,
-0.272266,,Track,1000014190,
-0.676586,,Track,1000014191,
-0.305888,,Track,1000014192,
-0.379219,,Track,1000014193,
-0.263855,,Track,1000014194,
-0.336445,,Track,1000014195,
-0.277346,,Track,1000014196,
-0.14402,,Track,1000014197,
-0.0621148,,Track,1000014198,
-0.248939,,Track,1000014199,
-0.0818158,,Track,1000014200,
-0.322664,,Track,1000014201,
-0.224922,,Track,1000014202,
-0.144638,,Track,1000014207,
-0.00625085,,Track,1000014210,
-0.533146,,Track,1000014212,
-0.215726,,Track,1000014216,
-0.544234,,Track,1000014218,
-0.486077,,Track,1000014220,
-0.330896,,Track,1000014223,
-0.239256,,Track,1000014233,
-0.310271,,Track,1000014236,
-0.460714,,Track,1000014239,
-0.493381,,Track,1000014242,
-0.456417,,Track,1000014261,
-0.361041,,Track,1000014275,
-0.284353,,Track,1000014288,
-0.320201,,Track,1000014289,
-0.312441,,Track,1000014298,
-0.430256,,Track,1000014299,
-0.208493,,Track,1000014302,
-0.161844,,Track,1000014304,
-0.125969,,Track,1000014329,
-0.0897724,,Track,1000014331,
0.073391,,Track,1000014350,
-0.157867,,Track,1000014353,
-0.100667,,Track,1000014394,
-0.278766,,Track,1000014397,
-0.169835,,Track,1000014400,
-0.253027,,Track,1000014402,
0.0446953,,Track,1000014407,
-0.471126,,Track,1000014412,
-0.469162,,Track,1000014414,
-0.265921,,Track,1000014422,
-0.631301,,Track,1000014430,
-0.164342,,Track,1000014433,
-0.440882,,Track,1000014436,
-0.3482,,Track,1000014438,
-0.245521,,Track,1000014439,
-0.183906,,Track,1000014440,
-0.399345,,Track,1000014447,
-0.215609,,Track,1000014453,
-0.359904,,Track,1000014459,
-0.495153,,Track,1000014465,
-0.169343,,Track,1000014470,
0.00441308,,Track,1000014493,
-0.463898,,Track,1000014501,
-0.554606,,Track,1000014521,
-0.0014182,,Track,1000014536,
-0.278731,,Track,1000014545,
-0.298222,,Track,1000014556,
0.0450413,,Track,1000014582,
-0.310254,,Track,1000014583,
-0.33499,,Track,1000014584,
-0.486172,,Track,1000014586,
-0.06659,,Track,1000014591,
-0.626106,,Track,1000014605,
-0.320727,,Track,1000014607,
-0.121463,,Track,1000014626,
-0.177907,,Track,1000014627,
-0.463223,,Track,1000014647,
0.112157,,Track,1000014648,
-0.44082,,Track,1000014656,
-0.123611,,Track,1000014658,
-0.191057,,Track,1000014659,
-0.412953,,Track,1000014661,
-0.0308585,,Track,1000014663,
-0.106222,,Track,1000014668,
-0.14076,,Track,1000014676,
-0.231388,,Track,1000014683,
-0.450891,,Track,1000014686,
-0.33968,,Track,1000014702,
-0.202015,,Track,1000014710,
-0.244768,,Track,1000014716,
-0.0844662,,Track,1000014732,
-0.385389,,Track,1000014748,
-0.20033,,Track,1000014750,
-0.297396,,Track,1000014752,
-0.265026,,Track,1000014756,
-0.184514,,Track,1000014762,
-0.31039,,Track,1000014764,
-0.267024,,Track,1000014765,
-0.484887,,Track,1000014775,
-0.406646,,Track,1000014776,
-0.402481,,Track,1000014780,
-0.146815,,Track,1000014783,
-0.14184,,Track,1000014786,
-0.632935,,Track,1000014798,
