
Volume
 ==================== 
Volume,Unit,Category,Time,TrackID,ID,
7.46119,um^3,Surface,1,1000014184,14184,
10.1291,um^3,Surface,1,1000014185,14185,
36.7022,um^3,Surface,1,1000014186,14186,
21.3312,um^3,Surface,1,1000014187,14187,
1.56525,um^3,Surface,1,1000014188,14188,
51.5928,um^3,Surface,1,1000014189,14189,
49.5453,um^3,Surface,1,1000014190,14190,
64.4413,um^3,Surface,1,1000014191,14191,
66.0843,um^3,Surface,1,1000014192,14192,
34.2337,um^3,Surface,1,1000014193,14193,
22.544,um^3,Surface,1,1000014194,14194,
83.115,um^3,Surface,1,1000014195,14195,
14.8596,um^3,Surface,1,1000014196,14196,
28.3379,um^3,Surface,1,1000014197,14197,
63.3539,um^3,Surface,1,1000014198,14198,
4.66582,um^3,Surface,1,1000014199,14199,
7.67705,um^3,Surface,1,1000014200,14200,
30.4536,um^3,Surface,1,1000014201,14201,
1.12723,um^3,Surface,1,1000014202,14202,
4.69406,um^3,Surface,2,1000014185,14203,
35.0308,um^3,Surface,2,1000014184,14204,
22.8127,um^3,Surface,2,1000014186,14205,
9.50421,um^3,Surface,2,1000014187,14206,
83.6154,um^3,Surface,2,1000014207,14207,
17.9698,um^3,Surface,2,1000014188,14208,
31.9779,um^3,Surface,2,1000014189,14209,
1.33447,um^3,Surface,2,1000014210,14210,
37.0413,um^3,Surface,2,1000014190,14211,
3.60384,um^3,Surface,2,1000014212,14212,
73.3866,um^3,Surface,2,1000014191,14213,
37.9055,um^3,Surface,2,1000014192,14214,
58.3078,um^3,Surface,2,1000014193,14215,
6.11172,um^3,Surface,2,1000014216,14216,
4.46419,um^3,Surface,2,1000014194,14217,
18.4094,um^3,Surface,2,1000014218,14218,
36.0003,um^3,Surface,2,1000014195,14219,
68.2153,um^3,Surface,2,1000014220,14220,
28.755,um^3,Surface,2,1000014196,14221,
16.0144,um^3,Surface,2,1000014197,14222,
3.50547,um^3,Surface,2,1000014223,14223,
7.04695,um^3,Surface,2,1000014199,14224,
70.29,um^3,Surface,2,1000014198,14225,
25.4842,um^3,Surface,2,1000014200,14226,
27,um^3,Surface,2,1000014201,14227,
2.52493,um^3,Surface,2,1000014202,14228,
6.61763,um^3,Surface,3,1000014185,14229,
23.6712,um^3,Surface,3,1000014184,14230,
34.8744,um^3,Surface,3,1000014186,14231,
53.1342,um^3,Surface,3,1000014187,14232,
20.0849,um^3,Surface,3,1000014233,14233,
63.5967,um^3,Surface,3,1000014207,14234,
8.93728,um^3,Surface,3,1000014188,14235,
15.009,um^3,Surface,3,1000014236,14236,
35.9406,um^3,Surface,3,1000014189,14237,
5.11391,um^3,Surface,3,1000014210,14238,
5.90388,um^3,Surface,3,1000014239,14239,
63.8793,um^3,Surface,3,1000014190,14240,
4.38227,um^3,Surface,3,1000014212,14241,
1.19638,um^3,Surface,3,1000014242,14242,
68.5367,um^3,Surface,3,1000014191,14243,
21.9356,um^3,Surface,3,1000014192,14244,
55.2336,um^3,Surface,3,1000014193,14245,
34.8296,um^3,Surface,3,1000014216,14246,
1.36466,um^3,Surface,3,1000014194,14247,
