
Area
 ==================== 
Area,Unit,Category,Time,TrackID,ID,
21.2252,um^2,Surface,1,1000014184,14184,
25.359,um^2,Surface,1,1000014185,14185,
58.4049,um^2,Surface,1,1000014186,14186,
41.7024,um^2,Surface,1,1000014187,14187,
7.82178,um^2,Surface,1,1000014188,14188,
74.9504,um^2,Surface,1,1000014189,14189,
73.2239,um^2,Surface,1,1000014190,14190,
86.6816,um^2,Surface,1,1000014191,14191,
88.3169,um^2,Surface,1,1000014192,14192,
62.9476,um^2,Surface,1,1000014193,14193,
47.3588,um^2,Surface,1,1000014194,14194,
106.33,um^2,Surface,1,1000014195,14195,
37.4494,um^2,Surface,1,1000014196,14196,
54.1239,um^2,Surface,1,1000014197,14197,
86.2945,um^2,Surface,1,1000014198,14198,
15.9359,um^2,Surface,1,1000014199,14199,
20.6485,um^2,Surface,1,1000014200,14200,
55.1048,um^2,Surface,1,1000014201,14201,
6.06415,um^2,Surface,1,1000014202,14202,
14.8913,um^2,Surface,2,1000014185,14203,
58.1859,um^2,Surface,2,1000014184,14204,
42.4604,um^2,Surface,2,1000014186,14205,
27.4423,um^2,Surface,2,1000014187,14206,
113.345,um^2,Surface,2,1000014207,14207,
44.4188,um^2,Surface,2,1000014188,14208,
53.3536,um^2,Surface,2,1000014189,14209,
6.5249,um^2,Surface,2,1000014210,14210,
56.7633,um^2,Surface,2,1000014190,14211,
17.1217,um^2,Surface,2,1000014212,14212,
95.0528,um^2,Surface,2,1000014191,14213,
61.7436,um^2,Surface,2,1000014192,14214,
88.0386,um^2,Surface,2,1000014193,14215,
19.4842,um^2,Surface,2,1000014216,14216,
14.6881,um^2,Surface,2,1000014194,14217,
43.7225,um^2,Surface,2,1000014218,14218,
60.4786,um^2,Surface,2,1000014195,14219,
96.3621,um^2,Surface,2,1000014220,14220,
54.9505,um^2,Surface,2,1000014196,14221,
39.1096,um^2,Surface,2,1000014197,14222,
12.4717,um^2,Surface,2,1000014223,14223,
18.8803,um^2,Surface,2,1000014199,14224,
94.3223,um^2,Surface,2,1000014198,14225,
47.6579,um^2,Surface,2,1000014200,14226,
49.1471,um^2,Surface,2,1000014201,14227,
10.2127,um^2,Surface,2,1000014202,14228,
18.2251,um^2,Surface,3,1000014185,14229,
46.2058,um^2,Surface,3,1000014184,14230,
58.5449,um^2,Surface,3,1000014186,14231,
89.3362,um^2,Surface,3,1000014187,14232,
41.5369,um^2,Surface,3,1000014233,14233,
97.4994,um^2,Surface,3,1000014207,14234,
31.2748,um^2,Surface,3,1000014188,14235,
31.8908,um^2,Surface,3,1000014236,14236,
58.4954,um^2,Surface,3,1000014189,14237,
16.1197,um^2,Surface,3,1000014210,14238,
18.7085,um^2,Surface,3,1000014239,14239,
85.4513,um^2,Surface,3,1000014190,14240,
19.3201,um^2,Surface,3,1000014212,14241,
6.28177,um^2,Surface,3,1000014242,14242,
92.4642,um^2,Surface,3,1000014191,14243,
41.0585,um^2,Surface,3,1000014192,14244,
79.6552,um^2,Surface,3,1000014193,14245,
64.5495,um^2,Surface,3,1000014216,14246,
7.41595,um^2,Surface,3,1000014194,14247,
62.0295,um^2,Surface,3,1000014218,14248,
64.1522,um^2,Surface,3,1000014195,14249,
41.1,um^2,Surface,3,1000014220,14250,
32.0458,um^2,Surface,3,1000014196,14251,
32.9804,um^2,Surface,3,1000014197,14252,
29.8309,um^2,Surface,3,1000014223,14253,
84.6374,um^2,Surface,3,1000014198,14254,
19.692,um^2,Surface,3,1000014199,14255,
57.5318,um^2,Surface,3,1000014200,14256,
