
Track Straightness
 ==================== 
Track Straightness,Unit,Category,ID,
0.246542,,Track,1000014184,
0.135038,,Track,1000014185,
0.763976,,Track,1000014186,
0.547241,,Track,1000014187,
0.736578,,Track,1000014188,
0.427955,,Track,1000014189,
0.209037,,Track,1000014190,
0.530555,,Track,1000014191,
0.201423,,Track,1000014192,
0.22487,,Track,1000014193,
0.363532,,Track,1000014194,
0.827284,,Track,1000014195,
0.362166,,Track,1000014196,
0.284339,,Track,1000014197,
0.110111,,Track,1000014198,
0.0220039,,Track,1000014199,
0.344919,,Track,1000014200,
0.0581524,,Track,1000014201,
0.182459,,Track,1000014202,
0.844612,,Track,1000014207,
0.211411,,Track,1000014210,
0.254222,,Track,1000014212,
0.128893,,Track,1000014216,
0.144322,,Track,1000014218,
0.76165,,Track,1000014220,
0.650761,,Track,1000014223,
0.335081,,Track,1000014233,
0.264699,,Track,1000014236,
0.672741,,Track,1000014239,
0.852456,,Track,1000014242,
0.673599,,Track,1000014261,
0.186592,,Track,1000014275,
0.468225,,Track,1000014288,
0.427293,,Track,1000014289,
0.469204,,Track,1000014298,
0.260183,,Track,1000014299,
0.315877,,Track,1000014302,
0.719486,,Track,1000014304,
0.318847,,Track,1000014329,
0.72716,,Track,1000014331,
0.790791,,Track,1000014350,
0.32164,,Track,1000014353,
0.568711,,Track,1000014394,
0.534254,,Track,1000014397,
0.102015,,Track,1000014400,
0.0603296,,Track,1000014402,
0.461879,,Track,1000014407,
0.767338,,Track,1000014412,
0.162741,,Track,1000014414,
0.172105,,Track,1000014422,
0.785125,,Track,1000014430,
0.362257,,Track,1000014433,
0.685976,,Track,1000014436,
0.496901,,Track,1000014438,
0.777465,,Track,1000014439,
0.615689,,Track,1000014440,
0.509809,,Track,1000014447,
0.107427,,Track,1000014453,
0.63556,,Track,1000014459,
0.735109,,Track,1000014465,
0.251285,,Track,1000014470,
0.741156,,Track,1000014493,
0.232713,,Track,1000014501,
0.128785,,Track,1000014521,
0.139274,,Track,1000014536,
0.83192,,Track,1000014545,
0.0975498,,Track,1000014556,
0.092026,,Track,1000014582,
0.618125,,Track,1000014583,
0.0354352,,Track,1000014584,
0.921297,,Track,1000014586,
0.207913,,Track,1000014591,
0.431845,,Track,1000014605,
0.235396,,Track,1000014607,
0.84205,,Track,1000014626,
0.696856,,Track,1000014627,
0.304653,,Track,1000014647,
0.13428,,Track,1000014648,
0.606051,,Track,1000014656,
0.355209,,Track,1000014658,
0.265372,,Track,1000014659,
0.224326,,Track,1000014661,
0.295688,,Track,1000014663,
0.316352,,Track,1000014668,
0.181548,,Track,1000014676,
0.45495,,Track,1000014683,
0.306886,,Track,1000014686,
0.237437,,Track,1000014702,
0.413697,,Track,1000014710,
0.675457,,Track,1000014716,
0.460396,,Track,1000014732,
0.798467,,Track,1000014748,
0.13443,,Track,1000014750,
0.208688,,Track,1000014752,
0.525219,,Track,1000014756,
0.318214,,Track,1000014762,
0.906668,,Track,1000014764,
0.259562,,Track,1000014765,
0.0883713,,Track,1000014775,
0.639775,,Track,1000014776,
0.543364,,Track,1000014780,
0.134821,,Track,1000014783,
0.911778,,Track,1000014786,
0.508404,,Track,1000014798,
0.582962,,Track,1000014800,
0.645057,,Track,1000014803,
0.564564,,Track,1000014804,
0.189835,,Track,1000014809,
0.531643,,Track,1000014822,
0.56048,,Track,1000014846,
0.814048,,Track,1000014848,
0.377887,,Track,1000014852,
0.901412,,Track,1000014859,
0.511638,,Track,1000014887,
0.130819,,Track,1000014909,
0.428127,,Track,1000014918,
0.135996,,Track,1000014926,
0.56334,,Track,1000014938,
0.589887,,Track,1000014939,
0.373769,,Track,1000014943,
0.459386,,Track,1000014948,
0.271746,,Track,1000014950,
0.813404,,Track,1000014956,
0.908094,,Track,1000014964,
0.665131,,Track,1000014966,
0.149535,,Track,1000014981,
0.138763,,Track,1000014991,
0.138312,,Track,1000015000,
0.390947,,Track,1000015007,
0.914802,,Track,1000015009,
0.605336,,Track,1000015012,
0.186199,,Track,1000015021,
0.276972,,Track,1000015022,
0.13675,,Track,1000015027,
0.241011,,Track,1000015029,
0.0953801,,Track,1000015030,
0.888805,,Track,1000015055,
0.406763,,Track,1000015069,
0.0874953,,Track,1000015072,
0.357734,,Track,1000015073,
0.0634922,,Track,1000015096,
0.0390346,,Track,1000015097,
0.342164,,Track,1000015099,
0.552992,,Track,1000015100,
0.289967,,Track,1000015102,
0.400787,,Track,1000015108,
0.98005,,Track,1000015118,
0.664349,,Track,1000015122,
0.118732,,Track,1000015123,
0.776545,,Track,1000015142,
0.189219,,Track,1000015145,
0.479216,,Track,1000015154,
0.547345,,Track,1000015158,
0.358778,,Track,1000015161,
0.0767321,,Track,1000015174,
0.586734,,Track,1000015179,
0.747335,,Track,1000015180,
0.335942,,Track,1000015184,
0.700999,,Track,1000015190,
0.953092,,Track,1000015202,
0.717799,,Track,1000015204,
0.299939,,Track,1000015206,
0.641002,,Track,1000015207,
0.474569,,Track,1000015208,
0.315017,,Track,1000015213,
0.184266,,Track,1000015219,
0.54068,,Track,1000015221,
0.547304,,Track,1000015228,
0.373204,,Track,1000015237,
0.102566,,Track,1000015240,
0.607294,,Track,1000015248,
0.150893,,Track,1000015251,
0.778541,,Track,1000015267,
0.706379,,Track,1000015268,
0.105842,,Track,1000015274,
0.287283,,Track,1000015279,
0.0945416,,Track,1000015280,
0.167247,,Track,1000015290,
0.259206,,Track,1000015293,
0.728756,,Track,1000015307,
0.552451,,Track,1000015308,
0.571944,,Track,1000015348,
0.432371,,Track,1000015352,
0.617508,,Track,1000015353,
0.856876,,Track,1000015362,
0.232676,,Track,1000015370,
0.532171,,Track,1000015377,
0.0879878,,Track,1000015388,
0.451419,,Track,1000015394,
0.567923,,Track,1000015400,
0.354404,,Track,1000015407,
0.395531,,Track,1000015415,
0.582308,,Track,1000015421,
0.0693926,,Track,1000015432,
0.554786,,Track,1000015443,
0.588719,,Track,1000015450,
0.193131,,Track,1000015455,
0.596266,,Track,1000015461,
0.731103,,Track,1000015477,
0.469116,,Track,1000015497,
0.582282,,Track,1000015502,
0.359018,,Track,1000015503,
0.775418,,Track,1000015508,
0.363129,,Track,1000015516,
0.113987,,Track,1000015525,
0.336184,,Track,1000015536,
0.262378,,Track,1000015541,
0.205685,,Track,1000015557,
0.147283,,Track,1000015590,
0.0757384,,Track,1000015591,
0.496699,,Track,1000015593,
0.158936,,Track,1000015622,
0.281133,,Track,1000015630,
0.413734,,Track,1000015650,
0.211559,,Track,1000015674,
0.423138,,Track,1000015675,
0.541108,,Track,1000015678,
0.360285,,Track,1000015680,
0.224981,,Track,1000015682,
0.280562,,Track,1000015700,
0.871705,,Track,1000015706,
0.564111,,Track,1000015719,
0.837644,,Track,1000015724,
0.418675,,Track,1000015726,
0.470713,,Track,1000015727,
0.106523,,Track,1000015732,
0.121299,,Track,1000015744,
0.172428,,Track,1000015750,
0.629539,,Track,1000015752,
0.725149,,Track,1000015753,
0.526405,,Track,1000015756,
0.58325,,Track,1000015758,
0.74801,,Track,1000015767,
0.528765,,Track,1000015768,
0.226753,,Track,1000015772,
0.924369,,Track,1000015781,
0.119534,,Track,1000015782,
0.225833,,Track,1000015808,
0.679727,,Track,1000015810,
0.558896,,Track,1000015856,
0.180274,,Track,1000015857,
0.183152,,Track,1000015872,
0.21973,,Track,1000015881,
0.433475,,Track,1000015885,
0.527773,,Track,1000015891,
0.243398,,Track,1000015910,
0.496277,,Track,1000015931,
0.237183,,Track,1000015937,
0.589382,,Track,1000015951,
0.163357,,Track,1000015960,
0.265944,,Track,1000015964,
0.303223,,Track,1000015975,
0.0375394,,Track,1000015996,
0.327823,,Track,1000016009,
0.064914,,Track,1000016017,
0.632089,,Track,1000016024,
0.181241,,Track,1000016031,
