
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
14.5714,,Surface,4,Image 1,5,1000014298,14298,
38.25,,Surface,4,Image 1,5,1000014299,14299,
20.7273,,Surface,4,Image 1,5,1000014233,14300,
62.1481,,Surface,4,Image 1,5,1000014207,14301,
187.778,,Surface,4,Image 1,5,1000014302,14302,
19.35,,Surface,4,Image 1,5,1000014236,14303,
0.333333,,Surface,4,Image 1,5,1000014304,14304,
3.5,,Surface,4,Image 1,5,1000014189,14305,
55.4,,Surface,4,Image 1,5,1000014210,14306,
0.769231,,Surface,4,Image 1,5,1000014239,14307,
38.7778,,Surface,4,Image 1,5,1000014190,14308,
0,,Surface,4,Image 1,5,1000014212,14309,
14.6,,Surface,4,Image 1,5,1000014242,14310,
4.64706,,Surface,4,Image 1,5,1000014191,14311,
42.75,,Surface,4,Image 1,5,1000014275,14312,
23.7083,,Surface,4,Image 1,5,1000014192,14313,
11.5263,,Surface,4,Image 1,5,1000014193,14314,
3.82927,,Surface,4,Image 1,5,1000014216,14315,
36.6667,,Surface,4,Image 1,5,1000014194,14316,
123.75,,Surface,4,Image 1,5,1000014218,14317,
0,,Surface,4,Image 1,5,1000014220,14318,
30,,Surface,4,Image 1,5,1000014196,14319,
16.1111,,Surface,4,Image 1,5,1000014197,14320,
23,,Surface,4,Image 1,5,1000014223,14321,
9.78571,,Surface,4,Image 1,5,1000014288,14322,
117.375,,Surface,4,Image 1,5,1000014199,14323,
36.2222,,Surface,4,Image 1,5,1000014198,14324,
11.8,,Surface,4,Image 1,5,1000014289,14325,
54.3913,,Surface,4,Image 1,5,1000014200,14326,
5.88889,,Surface,4,Image 1,5,1000014201,14327,
255,,Surface,4,Image 1,5,1000014202,14328,
0,,Surface,4,Image 1,6,1000014329,14329,
13.8182,,Surface,4,Image 1,6,1000014185,14330,
0.470588,,Surface,4,Image 1,6,1000014331,14331,
