
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
1047,,Surface,6,Image 1,1,1000014184,14184,
1708,,Surface,6,Image 1,1,1000014185,14185,
4363,,Surface,6,Image 1,1,1000014186,14186,
3126,,Surface,6,Image 1,1,1000014187,14187,
581,,Surface,6,Image 1,1,1000014188,14188,
6663,,Surface,6,Image 1,1,1000014189,14189,
5954,,Surface,6,Image 1,1,1000014190,14190,
8151,,Surface,6,Image 1,1,1000014191,14191,
6896,,Surface,6,Image 1,1,1000014192,14192,
4341,,Surface,6,Image 1,1,1000014193,14193,
3093,,Surface,6,Image 1,1,1000014194,14194,
7574,,Surface,6,Image 1,1,1000014195,14195,
2648,,Surface,6,Image 1,1,1000014196,14196,
4221,,Surface,6,Image 1,1,1000014197,14197,
6562,,Surface,6,Image 1,1,1000014198,14198,
1202,,Surface,6,Image 1,1,1000014199,14199,
1742,,Surface,6,Image 1,1,1000014200,14200,
4204,,Surface,6,Image 1,1,1000014201,14201,
702,,Surface,6,Image 1,1,1000014202,14202,
1509,,Surface,6,Image 1,2,1000014185,14203,
4019,,Surface,6,Image 1,2,1000014184,14204,
3227,,Surface,6,Image 1,2,1000014186,14205,
2059,,Surface,6,Image 1,2,1000014187,14206,
9275,,Surface,6,Image 1,2,1000014207,14207,
2154,,Surface,6,Image 1,2,1000014188,14208,
4359,,Surface,6,Image 1,2,1000014189,14209,
851,,Surface,6,Image 1,2,1000014210,14210,
4667,,Surface,6,Image 1,2,1000014190,14211,
1320,,Surface,6,Image 1,2,1000014212,14212,
8610,,Surface,6,Image 1,2,1000014191,14213,
4176,,Surface,6,Image 1,2,1000014192,14214,
6735,,Surface,6,Image 1,2,1000014193,14215,
1486,,Surface,6,Image 1,2,1000014216,14216,
1039,,Surface,6,Image 1,2,1000014194,14217,
2345,,Surface,6,Image 1,2,1000014218,14218,
3196,,Surface,6,Image 1,2,1000014195,14219,
6756,,Surface,6,Image 1,2,1000014220,14220,
4390,,Surface,6,Image 1,2,1000014196,14221,
3041,,Surface,6,Image 1,2,1000014197,14222,
887,,Surface,6,Image 1,2,1000014223,14223,
1920,,Surface,6,Image 1,2,1000014199,14224,
6949,,Surface,6,Image 1,2,1000014198,14225,
4062,,Surface,6,Image 1,2,1000014200,14226,
3556,,Surface,6,Image 1,2,1000014201,14227,
984,,Surface,6,Image 1,2,1000014202,14228,
1779,,Surface,6,Image 1,3,1000014185,14229,
2942,,Surface,6,Image 1,3,1000014184,14230,
4498,,Surface,6,Image 1,3,1000014186,14231,
6462,,Surface,6,Image 1,3,1000014187,14232,
2202,,Surface,6,Image 1,3,1000014233,14233,
7211,,Surface,6,Image 1,3,1000014207,14234,
1055,,Surface,6,Image 1,3,1000014188,14235,
1875,,Surface,6,Image 1,3,1000014236,14236,
5081,,Surface,6,Image 1,3,1000014189,14237,
1332,,Surface,6,Image 1,3,1000014210,14238,
1338,,Surface,6,Image 1,3,1000014239,14239,
7501,,Surface,6,Image 1,3,1000014190,14240,
1330,,Surface,6,Image 1,3,1000014212,14241,
592,,Surface,6,Image 1,3,1000014242,14242,
8197,,Surface,6,Image 1,3,1000014191,14243,
2696,,Surface,6,Image 1,3,1000014192,14244,
5474,,Surface,6,Image 1,3,1000014193,14245,
4914,,Surface,6,Image 1,3,1000014216,14246,
609,,Surface,6,Image 1,3,1000014194,14247,
4056,,Surface,6,Image 1,3,1000014218,14248,
3905,,Surface,6,Image 1,3,1000014195,14249,
2587,,Surface,6,Image 1,3,1000014220,14250,
2264,,Surface,6,Image 1,3,1000014196,14251,
2581,,Surface,6,Image 1,3,1000014197,14252,
1917,,Surface,6,Image 1,3,1000014223,14253,
5850,,Surface,6,Image 1,3,1000014198,14254,
1894,,Surface,6,Image 1,3,1000014199,14255,
5128,,Surface,6,Image 1,3,1000014200,14256,
1106,,Surface,6,Image 1,3,1000014201,14257,
538,,Surface,6,Image 1,3,1000014202,14258,
2177,,Surface,6,Image 1,4,1000014185,14259,
2378,,Surface,6,Image 1,4,1000014184,14260,
2332,,Surface,6,Image 1,4,1000014261,14261,
3436,,Surface,6,Image 1,4,1000014186,14262,
7515,,Surface,6,Image 1,4,1000014187,14263,
3856,,Surface,6,Image 1,4,1000014233,14264,
7133,,Surface,6,Image 1,4,1000014207,14265,
