
Track Speed Mean
 ==================== 
Track Speed Mean,Unit,Category,ID,
0.0345751,um/s,Track,1000014184,
0.0327032,um/s,Track,1000014185,
0.0547826,um/s,Track,1000014186,
0.0382671,um/s,Track,1000014187,
0.0854126,um/s,Track,1000014188,
0.0686447,um/s,Track,1000014189,
0.0613672,um/s,Track,1000014190,
0.039976,um/s,Track,1000014191,
0.0422887,um/s,Track,1000014192,
0.0436206,um/s,Track,1000014193,
0.0705474,um/s,Track,1000014194,
0.0447106,um/s,Track,1000014195,
0.0477774,um/s,Track,1000014196,
0.0761316,um/s,Track,1000014197,
0.0478892,um/s,Track,1000014198,
0.0403122,um/s,Track,1000014199,
0.0676396,um/s,Track,1000014200,
0.0414279,um/s,Track,1000014201,
0.0219651,um/s,Track,1000014202,
0.0358243,um/s,Track,1000014207,
0.0359957,um/s,Track,1000014210,
0.0423452,um/s,Track,1000014212,
0.0392262,um/s,Track,1000014216,
0.0515377,um/s,Track,1000014218,
0.0877797,um/s,Track,1000014220,
0.0296949,um/s,Track,1000014223,
0.0383081,um/s,Track,1000014233,
0.0378221,um/s,Track,1000014236,
0.0935299,um/s,Track,1000014239,
0.0208398,um/s,Track,1000014242,
0.117779,um/s,Track,1000014261,
0.0414129,um/s,Track,1000014275,
0.0560845,um/s,Track,1000014288,
0.0755322,um/s,Track,1000014289,
0.0756543,um/s,Track,1000014298,
0.0415573,um/s,Track,1000014299,
0.0763418,um/s,Track,1000014302,
0.0962912,um/s,Track,1000014304,
0.0532492,um/s,Track,1000014329,
0.0559774,um/s,Track,1000014331,
0.0631398,um/s,Track,1000014350,
0.0749002,um/s,Track,1000014353,
0.0392534,um/s,Track,1000014394,
0.0379663,um/s,Track,1000014397,
0.0356099,um/s,Track,1000014400,
0.0400803,um/s,Track,1000014402,
0.0232563,um/s,Track,1000014407,
0.0410608,um/s,Track,1000014412,
0.0370713,um/s,Track,1000014414,
0.0391086,um/s,Track,1000014422,
0.0994998,um/s,Track,1000014430,
