
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.217034,,Surface,1,1000014184,14184,
0.566118,,Surface,1,1000014185,14185,
0.563714,,Surface,1,1000014186,14186,
0.516213,,Surface,1,1000014187,14187,
0.309008,,Surface,1,1000014188,14188,
0.538281,,Surface,1,1000014189,14189,
0.551182,,Surface,1,1000014190,14190,
0.296947,,Surface,1,1000014191,14191,
0.519118,,Surface,1,1000014192,14192,
0.745259,,Surface,1,1000014193,14193,
0.584503,,Surface,1,1000014194,14194,
0.568385,,Surface,1,1000014195,14195,
0.856748,,Surface,1,1000014196,14196,
0.713235,,Surface,1,1000014197,14197,
0.576742,,Surface,1,1000014198,14198,
0.245874,,Surface,1,1000014199,14199,
0.13965,,Surface,1,1000014200,14200,
0.387995,,Surface,1,1000014201,14201,
0.617033,,Surface,1,1000014202,14202,
0.223142,,Surface,2,1000014185,14203,
0.426588,,Surface,2,1000014184,14204,
0.535771,,Surface,2,1000014186,14205,
0.64735,,Surface,2,1000014187,14206,
0.244942,,Surface,2,1000014207,14207,
0.624531,,Surface,2,1000014188,14208,
0.630519,,Surface,2,1000014189,14209,
0.617028,,Surface,2,1000014210,14210,
0.337182,,Surface,2,1000014190,14211,
0.558396,,Surface,2,1000014212,14212,
0.346525,,Surface,2,1000014191,14213,
0.466834,,Surface,2,1000014192,14214,
0.597616,,Surface,2,1000014193,14215,
0.335675,,Surface,2,1000014216,14216,
0.254346,,Surface,2,1000014194,14217,
0.343197,,Surface,2,1000014218,14218,
0.469454,,Surface,2,1000014195,14219,
0.448593,,Surface,2,1000014220,14220,
0.766597,,Surface,2,1000014196,14221,
0.764822,,Surface,2,1000014197,14222,
0.217031,,Surface,2,1000014223,14223,
0.139651,,Surface,2,1000014199,14224,
0.573105,,Surface,2,1000014198,14225,
0.694388,,Surface,2,1000014200,14226,
0.755049,,Surface,2,1000014201,14227,
0.217029,,Surface,2,1000014202,14228,
0.258553,,Surface,3,1000014185,14229,
0.623451,,Surface,3,1000014184,14230,
0.578401,,Surface,3,1000014186,14231,
0.391969,,Surface,3,1000014187,14232,
0.655016,,Surface,3,1000014233,14233,
0.213556,,Surface,3,1000014207,14234,
0.679066,,Surface,3,1000014188,14235,
0.28188,,Surface,3,1000014236,14236,
0.614027,,Surface,3,1000014189,14237,
0.255168,,Surface,3,1000014210,14238,
0.401647,,Surface,3,1000014239,14239,
0.33709,,Surface,3,1000014190,14240,
0.750714,,Surface,3,1000014212,14241,
0.396998,,Surface,3,1000014242,14242,
0.549134,,Surface,3,1000014191,14243,
0.321415,,Surface,3,1000014192,14244,
0.490465,,Surface,3,1000014193,14245,
0.284513,,Surface,3,1000014216,14246,
0.309011,,Surface,3,1000014194,14247,
0.484309,,Surface,3,1000014218,14248,
0.627299,,Surface,3,1000014195,14249,
0.465675,,Surface,3,1000014220,14250,
0.718847,,Surface,3,1000014196,14251,
0.658686,,Surface,3,1000014197,14252,
0.482877,,Surface,3,1000014223,14253,
0.592973,,Surface,3,1000014198,14254,
0.139651,,Surface,3,1000014199,14255,
0.619603,,Surface,3,1000014200,14256,
0.219559,,Surface,3,1000014201,14257,
0.396997,,Surface,3,1000014202,14258,
0.403619,,Surface,4,1000014185,14259,
0.572944,,Surface,4,1000014184,14260,
0.714554,,Surface,4,1000014261,14261,
0.617658,,Surface,4,1000014186,14262,
0.275742,,Surface,4,1000014187,14263,
0.651637,,Surface,4,1000014233,14264,
0.216689,,Surface,4,1000014207,14265,
0.861682,,Surface,4,1000014188,14266,
0.528255,,Surface,4,1000014236,14267,
0.589101,,Surface,4,1000014189,14268,
0.139653,,Surface,4,1000014210,14269,
0.49946,,Surface,4,1000014190,14270,
0.585346,,Surface,4,1000014239,14271,
0.455438,,Surface,4,1000014212,14272,
0.42056,,Surface,4,1000014242,14273,
0.470326,,Surface,4,1000014191,14274,
0.217032,,Surface,4,1000014275,14275,
0.180683,,Surface,4,1000014192,14276,
0.502434,,Surface,4,1000014193,14277,
0.373151,,Surface,4,1000014216,14278,
0.0813001,,Surface,4,1000014194,14279,
0.446086,,Surface,4,1000014218,14280,
0.396998,,Surface,4,1000014195,14281,
0.270144,,Surface,4,1000014220,14282,
0.76987,,Surface,4,1000014196,14283,
0.655892,,Surface,4,1000014197,14284,
0.25855,,Surface,4,1000014223,14285,
0.254344,,Surface,4,1000014199,14286,
0.711308,,Surface,4,1000014198,14287,
0.232768,,Surface,4,1000014288,14288,
0.217031,,Surface,4,1000014289,14289,
0.789561,,Surface,4,1000014200,14290,
0.288984,,Surface,4,1000014201,14291,
0.256744,,Surface,4,1000014202,14292,
0.81538,,Surface,5,1000014184,14293,
0.25855,,Surface,5,1000014185,14294,
0.805215,,Surface,5,1000014261,14295,
0.565715,,Surface,5,1000014186,14296,
0.329677,,Surface,5,1000014187,14297,
0.254339,,Surface,5,1000014298,14298,
0.715916,,Surface,5,1000014299,14299,
0.508238,,Surface,5,1000014233,14300,
0.218601,,Surface,5,1000014207,14301,
0.582588,,Surface,5,1000014302,14302,
0.661509,,Surface,5,1000014236,14303,
0.766254,,Surface,5,1000014304,14304,
0.625254,,Surface,5,1000014189,14305,
0.245876,,Surface,5,1000014210,14306,
0.344036,,Surface,5,1000014239,14307,
0.909669,,Surface,5,1000014190,14308,
0.255167,,Surface,5,1000014212,14309,
0.245874,,Surface,5,1000014242,14310,
0.617607,,Surface,5,1000014191,14311,
0.13965,,Surface,5,1000014275,14312,
0.244493,,Surface,5,1000014192,14313,
0.412931,,Surface,5,1000014193,14314,
0.444073,,Surface,5,1000014216,14315,
0.396996,,Surface,5,1000014194,14316,
0.230237,,Surface,5,1000014218,14317,
0.139652,,Surface,5,1000014220,14318,
0.245874,,Surface,5,1000014196,14319,
0.619654,,Surface,5,1000014197,14320,
0.245873,,Surface,5,1000014223,14321,
0.396774,,Surface,5,1000014288,14322,
0.139654,,Surface,5,1000014199,14323,
0.557535,,Surface,5,1000014198,14324,
0.653189,,Surface,5,1000014289,14325,
0.833174,,Surface,5,1000014200,14326,
0.106407,,Surface,5,1000014201,14327,
0.617033,,Surface,5,1000014202,14328,
0.524178,,Surface,6,1000014329,14329,
0.363839,,Surface,6,1000014185,14330,
0.535002,,Surface,6,1000014331,14331,
0.611645,,Surface,6,1000014184,14332,
0.515149,,Surface,6,1000014261,14333,
0.541491,,Surface,6,1000014187,14334,
0.309506,,Surface,6,1000014298,14335,
0.575243,,Surface,6,1000014299,14336,
0.829474,,Surface,6,1000014233,14337,
0.609503,,Surface,6,1000014207,14338,
0.245875,,Surface,6,1000014302,14339,
0.597073,,Surface,6,1000014236,14340,
0.364556,,Surface,6,1000014304,14341,
0.396995,,Surface,6,1000014189,14342,
0.617028,,Surface,6,1000014210,14343,
0.428608,,Surface,6,1000014239,14344,
0.662805,,Surface,6,1000014212,14345,
0.493057,,Surface,6,1000014190,14346,
0.21282,,Surface,6,1000014242,14347,
0.258553,,Surface,6,1000014275,14348,
0.369641,,Surface,6,1000014193,14349,
0.270143,,Surface,6,1000014350,14350,
0.317151,,Surface,6,1000014216,14351,
0.289391,,Surface,6,1000014218,14352,
0.245875,,Surface,6,1000014353,14353,
0.254345,,Surface,6,1000014196,14354,
0.782814,,Surface,6,1000014197,14355,
0.611395,,Surface,6,1000014198,14356,
0.106407,,Surface,6,1000014199,14357,
0.717453,,Surface,6,1000014289,14358,
0.616756,,Surface,6,1000014288,14359,
0.684679,,Surface,6,1000014200,14360,
0.169327,,Surface,6,1000014201,14361,
0.254347,,Surface,6,1000014202,14362,
0.881347,,Surface,7,1000014185,14363,
0.685695,,Surface,7,1000014329,14364,
0.479383,,Surface,7,1000014331,14365,
0.749507,,Surface,7,1000014184,14366,
0.496827,,Surface,7,1000014187,14367,
0.227193,,Surface,7,1000014261,14368,
0.430512,,Surface,7,1000014298,14369,
0.254342,,Surface,7,1000014299,14370,
0.53147,,Surface,7,1000014207,14371,
0.718695,,Surface,7,1000014233,14372,
0.396998,,Surface,7,1000014302,14373,
0.602139,,Surface,7,1000014304,14374,
0.558396,,Surface,7,1000014189,14375,
0.532505,,Surface,7,1000014239,14376,
0.834173,,Surface,7,1000014190,14377,
0.292894,,Surface,7,1000014212,14378,
0.709747,,Surface,7,1000014275,14379,
0.617028,,Surface,7,1000014193,14380,
0.841717,,Surface,7,1000014350,14381,
0.458898,,Surface,7,1000014216,14382,
0.470698,,Surface,7,1000014218,14383,
0.573633,,Surface,7,1000014353,14384,
0.816156,,Surface,7,1000014197,14385,
0.254347,,Surface,7,1000014199,14386,
0.688708,,Surface,7,1000014289,14387,
0.782137,,Surface,7,1000014198,14388,
0.417763,,Surface,7,1000014288,14389,
0.79429,,Surface,7,1000014200,14390,
0.428738,,Surface,7,1000014201,14391,
0.258553,,Surface,8,1000014184,14392,
0.668595,,Surface,8,1000014331,14393,
0.412975,,Surface,8,1000014394,14394,
0.614512,,Surface,8,1000014329,14395,
0.570714,,Surface,8,1000014185,14396,
0.616822,,Surface,8,1000014397,14397,
0.455709,,Surface,8,1000014298,14398,
0.254352,,Surface,8,1000014299,14399,
0.258987,,Surface,8,1000014400,14400,
0.67925,,Surface,8,1000014233,14401,
0.245871,,Surface,8,1000014402,14402,
0.292902,,Surface,8,1000014302,14403,
0.617033,,Surface,8,1000014304,14404,
0.281881,,Surface,8,1000014189,14405,
0.600433,,Surface,8,1000014239,14406,
0.617028,,Surface,8,1000014407,14407,
0.831348,,Surface,8,1000014193,14408,
0.515996,,Surface,8,1000014350,14409,
0.332766,,Surface,8,1000014216,14410,
0.490111,,Surface,8,1000014218,14411,
0.191114,,Surface,8,1000014412,14412,
0.258255,,Surface,8,1000014353,14413,
0.664,,Surface,8,1000014414,14414,
0.139651,,Surface,8,1000014197,14415,
0.543329,,Surface,8,1000014289,14416,
0.12884,,Surface,8,1000014199,14417,
0.707747,,Surface,8,1000014198,14418,
0.787169,,Surface,8,1000014200,14419,
0.363837,,Surface,8,1000014201,14420,
0.660064,,Surface,9,1000014298,14421,
0.691573,,Surface,9,1000014422,14422,
0.471546,,Surface,9,1000014397,14423,
0.258553,,Surface,9,1000014184,14424,
0.617142,,Surface,9,1000014394,14425,
0.587453,,Surface,9,1000014331,14426,
0.623971,,Surface,9,1000014329,14427,
0.581703,,Surface,9,1000014185,14428,
0.650074,,Surface,9,1000014299,14429,
0.3173,,Surface,9,1000014430,14430,
0.570918,,Surface,9,1000014400,14431,
0.626284,,Surface,9,1000014402,14432,
0.46291,,Surface,9,1000014433,14433,
0.617028,,Surface,9,1000014304,14434,
0.655325,,Surface,9,1000014189,14435,
0.376037,,Surface,9,1000014436,14436,
0.617028,,Surface,9,1000014407,14437,
0.309011,,Surface,9,1000014438,14438,
0.345237,,Surface,9,1000014439,14439,
0.245204,,Surface,9,1000014440,14440,
0.374105,,Surface,9,1000014193,14441,
0.431631,,Surface,9,1000014350,14442,
0.625546,,Surface,9,1000014412,14443,
0.245875,,Surface,9,1000014353,14444,
0.803634,,Surface,9,1000014414,14445,
0.255166,,Surface,9,1000014197,14446,
0.383232,,Surface,9,1000014447,14447,
0.106409,,Surface,9,1000014199,14448,
0.617034,,Surface,9,1000014289,14449,
0.618921,,Surface,9,1000014198,14450,
0.744724,,Surface,9,1000014200,14451,
0.217031,,Surface,9,1000014201,14452,
0.237522,,Surface,9,1000014453,14453,
0.258549,,Surface,10,1000014430,14454,
0.543442,,Surface,10,1000014298,14455,
0.715907,,Surface,10,1000014422,14456,
0.570357,,Surface,10,1000014397,14457,
0.254345,,Surface,10,1000014184,14458,
0.288988,,Surface,10,1000014459,14459,
0.614214,,Surface,10,1000014394,14460,
0.631412,,Surface,10,1000014331,14461,
0.363839,,Surface,10,1000014185,14462,
0.644895,,Surface,10,1000014299,14463,
0.514977,,Surface,10,1000014400,14464,
0.684702,,Surface,10,1000014465,14465,
0.705747,,Surface,10,1000014402,14466,
0.768084,,Surface,10,1000014433,14467,
0.638108,,Surface,10,1000014189,14468,
0.524071,,Surface,10,1000014436,14469,
0.617029,,Surface,10,1000014470,14470,
0.615306,,Surface,10,1000014407,14471,
0.248264,,Surface,10,1000014438,14472,
0.387701,,Surface,10,1000014439,14473,
0.304398,,Surface,10,1000014440,14474,
0.321528,,Surface,10,1000014193,14475,
0.595026,,Surface,10,1000014350,14476,
0.703136,,Surface,10,1000014412,14477,
0.374438,,Surface,10,1000014353,14478,
0.77356,,Surface,10,1000014414,14479,
0.396996,,Surface,10,1000014197,14480,
0.560686,,Surface,10,1000014447,14481,
0.245876,,Surface,10,1000014199,14482,
0.61895,,Surface,10,1000014198,14483,
0.256473,,Surface,10,1000014200,14484,
0.396997,,Surface,10,1000014201,14485,
0.213224,,Surface,10,1000014453,14486,
0.632535,,Surface,11,1000014465,14487,
0.500069,,Surface,11,1000014400,14488,
0.288987,,Surface,11,1000014298,14489,
0.726443,,Surface,11,1000014299,14490,
0.245873,,Surface,11,1000014430,14491,
0.139649,,Surface,11,1000014422,14492,
0.529958,,Surface,11,1000014493,14493,
0.375572,,Surface,11,1000014397,14494,
0.139652,,Surface,11,1000014184,14495,
0.275413,,Surface,11,1000014459,14496,
0.587548,,Surface,11,1000014394,14497,
0.492398,,Surface,11,1000014331,14498,
0.572771,,Surface,11,1000014185,14499,
0.617018,,Surface,11,1000014402,14500,
0.270147,,Surface,11,1000014501,14501,
0.267164,,Surface,11,1000014433,14502,
0.676573,,Surface,11,1000014189,14503,
0.548534,,Surface,11,1000014436,14504,
0.873779,,Surface,11,1000014470,14505,
0.576923,,Surface,11,1000014407,14506,
0.139653,,Surface,11,1000014438,14507,
0.33714,,Surface,11,1000014439,14508,
0.263893,,Surface,11,1000014440,14509,
