
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
254,,Surface,6,Image 1,5,1000014212,14309,
254,,Surface,6,Image 1,5,1000014242,14310,
255,,Surface,6,Image 1,5,1000014191,14311,
255,,Surface,6,Image 1,5,1000014275,14312,
229,,Surface,6,Image 1,5,1000014192,14313,
254,,Surface,6,Image 1,5,1000014193,14314,
254,,Surface,6,Image 1,5,1000014216,14315,
239,,Surface,6,Image 1,5,1000014194,14316,
254,,Surface,6,Image 1,5,1000014218,14317,
147,,Surface,6,Image 1,5,1000014220,14318,
254,,Surface,6,Image 1,5,1000014196,14319,
254,,Surface,6,Image 1,5,1000014197,14320,
216,,Surface,6,Image 1,5,1000014223,14321,
255,,Surface,6,Image 1,5,1000014288,14322,
255,,Surface,6,Image 1,5,1000014199,14323,
255,,Surface,6,Image 1,5,1000014198,14324,
255,,Surface,6,Image 1,5,1000014289,14325,
255,,Surface,6,Image 1,5,1000014200,14326,
255,,Surface,6,Image 1,5,1000014201,14327,
253,,Surface,6,Image 1,5,1000014202,14328,
157,,Surface,6,Image 1,6,1000014329,14329,
254,,Surface,6,Image 1,6,1000014185,14330,
223,,Surface,6,Image 1,6,1000014331,14331,
254,,Surface,6,Image 1,6,1000014184,14332,
223,,Surface,6,Image 1,6,1000014261,14333,
242,,Surface,6,Image 1,6,1000014187,14334,
238,,Surface,6,Image 1,6,1000014298,14335,
255,,Surface,6,Image 1,6,1000014299,14336,
254,,Surface,6,Image 1,6,1000014233,14337,
255,,Surface,6,Image 1,6,1000014207,14338,
254,,Surface,6,Image 1,6,1000014302,14339,
254,,Surface,6,Image 1,6,1000014236,14340,
254,,Surface,6,Image 1,6,1000014304,14341,
203,,Surface,6,Image 1,6,1000014189,14342,
254,,Surface,6,Image 1,6,1000014210,14343,
221,,Surface,6,Image 1,6,1000014239,14344,
254,,Surface,6,Image 1,6,1000014212,14345,
255,,Surface,6,Image 1,6,1000014190,14346,
255,,Surface,6,Image 1,6,1000014242,14347,
255,,Surface,6,Image 1,6,1000014275,14348,
255,,Surface,6,Image 1,6,1000014193,14349,
200,,Surface,6,Image 1,6,1000014350,14350,
254,,Surface,6,Image 1,6,1000014216,14351,
254,,Surface,6,Image 1,6,1000014218,14352,
254,,Surface,6,Image 1,6,1000014353,14353,
254,,Surface,6,Image 1,6,1000014196,14354,
255,,Surface,6,Image 1,6,1000014197,14355,
254,,Surface,6,Image 1,6,1000014198,14356,
255,,Surface,6,Image 1,6,1000014199,14357,
255,,Surface,6,Image 1,6,1000014289,14358,
255,,Surface,6,Image 1,6,1000014288,14359,
255,,Surface,6,Image 1,6,1000014200,14360,
255,,Surface,6,Image 1,6,1000014201,14361,
208,,Surface,6,Image 1,6,1000014202,14362,
254,,Surface,6,Image 1,7,1000014185,14363,
182,,Surface,6,Image 1,7,1000014329,14364,
177,,Surface,6,Image 1,7,1000014331,14365,
235,,Surface,6,Image 1,7,1000014184,14366,
219,,Surface,6,Image 1,7,1000014187,14367,
164,,Surface,6,Image 1,7,1000014261,14368,
212,,Surface,6,Image 1,7,1000014298,14369,
244,,Surface,6,Image 1,7,1000014299,14370,
248,,Surface,6,Image 1,7,1000014207,14371,
254,,Surface,6,Image 1,7,1000014233,14372,
254,,Surface,6,Image 1,7,1000014302,14373,
255,,Surface,6,Image 1,7,1000014304,14374,
194,,Surface,6,Image 1,7,1000014189,14375,
235,,Surface,6,Image 1,7,1000014239,14376,
224,,Surface,6,Image 1,7,1000014190,14377,
254,,Surface,6,Image 1,7,1000014212,14378,
254,,Surface,6,Image 1,7,1000014275,14379,
197,,Surface,6,Image 1,7,1000014193,14380,
254,,Surface,6,Image 1,7,1000014350,14381,
254,,Surface,6,Image 1,7,1000014216,14382,
254,,Surface,6,Image 1,7,1000014218,14383,
255,,Surface,6,Image 1,7,1000014353,14384,
254,,Surface,6,Image 1,7,1000014197,14385,
255,,Surface,6,Image 1,7,1000014199,14386,
255,,Surface,6,Image 1,7,1000014289,14387,
255,,Surface,6,Image 1,7,1000014198,14388,
255,,Surface,6,Image 1,7,1000014288,14389,
255,,Surface,6,Image 1,7,1000014200,14390,
255,,Surface,6,Image 1,7,1000014201,14391,
254,,Surface,6,Image 1,8,1000014184,14392,
230,,Surface,6,Image 1,8,1000014331,14393,
255,,Surface,6,Image 1,8,1000014394,14394,
157,,Surface,6,Image 1,8,1000014329,14395,
254,,Surface,6,Image 1,8,1000014185,14396,
178,,Surface,6,Image 1,8,1000014397,14397,
254,,Surface,6,Image 1,8,1000014298,14398,
254,,Surface,6,Image 1,8,1000014299,14399,
255,,Surface,6,Image 1,8,1000014400,14400,
254,,Surface,6,Image 1,8,1000014233,14401,
254,,Surface,6,Image 1,8,1000014402,14402,
254,,Surface,6,Image 1,8,1000014302,14403,
223,,Surface,6,Image 1,8,1000014304,14404,
254,,Surface,6,Image 1,8,1000014189,14405,
213,,Surface,6,Image 1,8,1000014239,14406,
255,,Surface,6,Image 1,8,1000014407,14407,
254,,Surface,6,Image 1,8,1000014193,14408,
254,,Surface,6,Image 1,8,1000014350,14409,
251,,Surface,6,Image 1,8,1000014216,14410,
254,,Surface,6,Image 1,8,1000014218,14411,
211,,Surface,6,Image 1,8,1000014412,14412,
255,,Surface,6,Image 1,8,1000014353,14413,
255,,Surface,6,Image 1,8,1000014414,14414,
254,,Surface,6,Image 1,8,1000014197,14415,
231,,Surface,6,Image 1,8,1000014289,14416,
255,,Surface,6,Image 1,8,1000014199,14417,
255,,Surface,6,Image 1,8,1000014198,14418,
255,,Surface,6,Image 1,8,1000014200,14419,
254,,Surface,6,Image 1,8,1000014201,14420,
254,,Surface,6,Image 1,9,1000014298,14421,
254,,Surface,6,Image 1,9,1000014422,14422,
180,,Surface,6,Image 1,9,1000014397,14423,
254,,Surface,6,Image 1,9,1000014184,14424,
255,,Surface,6,Image 1,9,1000014394,14425,
210,,Surface,6,Image 1,9,1000014331,14426,
154,,Surface,6,Image 1,9,1000014329,14427,
254,,Surface,6,Image 1,9,1000014185,14428,
255,,Surface,6,Image 1,9,1000014299,14429,
179,,Surface,6,Image 1,9,1000014430,14430,
255,,Surface,6,Image 1,9,1000014400,14431,
255,,Surface,6,Image 1,9,1000014402,14432,
192,,Surface,6,Image 1,9,1000014433,14433,
186,,Surface,6,Image 1,9,1000014304,14434,
254,,Surface,6,Image 1,9,1000014189,14435,
173,,Surface,6,Image 1,9,1000014436,14436,
255,,Surface,6,Image 1,9,1000014407,14437,
254,,Surface,6,Image 1,9,1000014438,14438,
147,,Surface,6,Image 1,9,1000014439,14439,
255,,Surface,6,Image 1,9,1000014440,14440,
245,,Surface,6,Image 1,9,1000014193,14441,
254,,Surface,6,Image 1,9,1000014350,14442,
254,,Surface,6,Image 1,9,1000014412,14443,
255,,Surface,6,Image 1,9,1000014353,14444,
255,,Surface,6,Image 1,9,1000014414,14445,
254,,Surface,6,Image 1,9,1000014197,14446,
255,,Surface,6,Image 1,9,1000014447,14447,
255,,Surface,6,Image 1,9,1000014199,14448,
254,,Surface,6,Image 1,9,1000014289,14449,
255,,Surface,6,Image 1,9,1000014198,14450,
255,,Surface,6,Image 1,9,1000014200,14451,
254,,Surface,6,Image 1,9,1000014201,14452,
255,,Surface,6,Image 1,9,1000014453,14453,
254,,Surface,6,Image 1,10,1000014430,14454,
195,,Surface,6,Image 1,10,1000014298,14455,
251,,Surface,6,Image 1,10,1000014422,14456,
200,,Surface,6,Image 1,10,1000014397,14457,
254,,Surface,6,Image 1,10,1000014184,14458,
253,,Surface,6,Image 1,10,1000014459,14459,
255,,Surface,6,Image 1,10,1000014394,14460,
234,,Surface,6,Image 1,10,1000014331,14461,
254,,Surface,6,Image 1,10,1000014185,14462,
238,,Surface,6,Image 1,10,1000014299,14463,
255,,Surface,6,Image 1,10,1000014400,14464,
230,,Surface,6,Image 1,10,1000014465,14465,
255,,Surface,6,Image 1,10,1000014402,14466,
255,,Surface,6,Image 1,10,1000014433,14467,
255,,Surface,6,Image 1,10,1000014189,14468,
254,,Surface,6,Image 1,10,1000014436,14469,
255,,Surface,6,Image 1,10,1000014470,14470,
254,,Surface,6,Image 1,10,1000014407,14471,
254,,Surface,6,Image 1,10,1000014438,14472,
176,,Surface,6,Image 1,10,1000014439,14473,
255,,Surface,6,Image 1,10,1000014440,14474,
255,,Surface,6,Image 1,10,1000014193,14475,
232,,Surface,6,Image 1,10,1000014350,14476,
254,,Surface,6,Image 1,10,1000014412,14477,
255,,Surface,6,Image 1,10,1000014353,14478,
255,,Surface,6,Image 1,10,1000014414,14479,
228,,Surface,6,Image 1,10,1000014197,14480,
255,,Surface,6,Image 1,10,1000014447,14481,
255,,Surface,6,Image 1,10,1000014199,14482,
255,,Surface,6,Image 1,10,1000014198,14483,
255,,Surface,6,Image 1,10,1000014200,14484,
254,,Surface,6,Image 1,10,1000014201,14485,
255,,Surface,6,Image 1,10,1000014453,14486,
254,,Surface,6,Image 1,11,1000014465,14487,
237,,Surface,6,Image 1,11,1000014400,14488,
205,,Surface,6,Image 1,11,1000014298,14489,
254,,Surface,6,Image 1,11,1000014299,14490,
254,,Surface,6,Image 1,11,1000014430,14491,
254,,Surface,6,Image 1,11,1000014422,14492,
222,,Surface,6,Image 1,11,1000014493,14493,
254,,Surface,6,Image 1,11,1000014397,14494,
238,,Surface,6,Image 1,11,1000014184,14495,
215,,Surface,6,Image 1,11,1000014459,14496,
255,,Surface,6,Image 1,11,1000014394,14497,
222,,Surface,6,Image 1,11,1000014331,14498,
255,,Surface,6,Image 1,11,1000014185,14499,
254,,Surface,6,Image 1,11,1000014402,14500,
194,,Surface,6,Image 1,11,1000014501,14501,
254,,Surface,6,Image 1,11,1000014433,14502,
254,,Surface,6,Image 1,11,1000014189,14503,
220,,Surface,6,Image 1,11,1000014436,14504,
254,,Surface,6,Image 1,11,1000014470,14505,
254,,Surface,6,Image 1,11,1000014407,14506,
255,,Surface,6,Image 1,11,1000014438,14507,
231,,Surface,6,Image 1,11,1000014439,14508,
255,,Surface,6,Image 1,11,1000014440,14509,
254,,Surface,6,Image 1,11,1000014193,14510,
255,,Surface,6,Image 1,11,1000014350,14511,
255,,Surface,6,Image 1,11,1000014412,14512,
254,,Surface,6,Image 1,11,1000014353,14513,
252,,Surface,6,Image 1,11,1000014414,14514,
255,,Surface,6,Image 1,11,1000014197,14515,
255,,Surface,6,Image 1,11,1000014199,14516,
255,,Surface,6,Image 1,11,1000014198,14517,
255,,Surface,6,Image 1,11,1000014447,14518,
255,,Surface,6,Image 1,11,1000014200,14519,
255,,Surface,6,Image 1,11,1000014453,14520,
171,,Surface,6,Image 1,11,1000014521,14521,
254,,Surface,6,Image 1,12,1000014394,14522,
226,,Surface,6,Image 1,12,1000014331,14523,
