
Track Speed StdDev
 ==================== 
Track Speed StdDev,Unit,Category,ID,
0.00931997,um/s,Track,1000014184,
0.0109999,um/s,Track,1000014185,
0.0120754,um/s,Track,1000014186,
0.0129242,um/s,Track,1000014187,
0.0442466,um/s,Track,1000014188,
0.0228757,um/s,Track,1000014189,
0.032535,um/s,Track,1000014190,
0.0129792,um/s,Track,1000014191,
0.00994422,um/s,Track,1000014192,
0.0103448,um/s,Track,1000014193,
0.0258577,um/s,Track,1000014194,
0.00644653,um/s,Track,1000014195,
0.00799639,um/s,Track,1000014196,
0.0247862,um/s,Track,1000014197,
0.0180838,um/s,Track,1000014198,
0.0164011,um/s,Track,1000014199,
0.0252574,um/s,Track,1000014200,
0.0108938,um/s,Track,1000014201,
0.00658183,um/s,Track,1000014202,
0.0189516,um/s,Track,1000014207,
0.0127513,um/s,Track,1000014210,
0.00727566,um/s,Track,1000014212,
0.00538594,um/s,Track,1000014216,
0.00933385,um/s,Track,1000014218,
0.0197631,um/s,Track,1000014220,
0.0114805,um/s,Track,1000014223,
0.00534431,um/s,Track,1000014233,
0.00727706,um/s,Track,1000014236,
0.026049,um/s,Track,1000014239,
0.0023167,um/s,Track,1000014242,
0.0141797,um/s,Track,1000014261,
0.00931607,um/s,Track,1000014275,
0.0170883,um/s,Track,1000014288,
0.0252021,um/s,Track,1000014289,
0.0339264,um/s,Track,1000014298,
0.0183873,um/s,Track,1000014299,
0.00361874,um/s,Track,1000014302,
0.0433624,um/s,Track,1000014304,
0.012274,um/s,Track,1000014329,
0.0248112,um/s,Track,1000014331,
0.0222421,um/s,Track,1000014350,
0.0265786,um/s,Track,1000014353,
0.011753,um/s,Track,1000014394,
0.013749,um/s,Track,1000014397,
0.0124556,um/s,Track,1000014400,
0.00197339,um/s,Track,1000014402,
0.0127131,um/s,Track,1000014407,
0.0119533,um/s,Track,1000014412,
0.0119282,um/s,Track,1000014414,
0.00276674,um/s,Track,1000014422,
0.029018,um/s,Track,1000014430,
0.0135111,um/s,Track,1000014433,
0.00348878,um/s,Track,1000014436,
0.00654403,um/s,Track,1000014438,
0.0142446,um/s,Track,1000014439,
0.0117685,um/s,Track,1000014440,
0.0136013,um/s,Track,1000014447,
0.0306528,um/s,Track,1000014453,
0.0271329,um/s,Track,1000014459,
0.0360244,um/s,Track,1000014465,
0.00717366,um/s,Track,1000014470,
0.0168425,um/s,Track,1000014493,
0.0152693,um/s,Track,1000014501,
0.0159335,um/s,Track,1000014521,
0.0123197,um/s,Track,1000014536,
0.00527061,um/s,Track,1000014545,
0.00420815,um/s,Track,1000014556,
0.0152644,um/s,Track,1000014582,
0.0452155,um/s,Track,1000014583,
0.0266945,um/s,Track,1000014584,
0.00311608,um/s,Track,1000014586,
0.014336,um/s,Track,1000014591,
0.0109559,um/s,Track,1000014605,
0.0133319,um/s,Track,1000014607,
0.0296935,um/s,Track,1000014626,
0.0245598,um/s,Track,1000014627,
0.0104925,um/s,Track,1000014647,
0.0131605,um/s,Track,1000014648,
0.00806683,um/s,Track,1000014656,
0.0233599,um/s,Track,1000014658,
0.0180721,um/s,Track,1000014659,
0.0117948,um/s,Track,1000014661,
0.0208794,um/s,Track,1000014663,
0.0165701,um/s,Track,1000014668,
0.0153824,um/s,Track,1000014676,
0.0143317,um/s,Track,1000014683,
0.0118322,um/s,Track,1000014686,
0.0232941,um/s,Track,1000014702,
0.0338149,um/s,Track,1000014710,
0.0222053,um/s,Track,1000014716,
0.0201821,um/s,Track,1000014732,
0.0277802,um/s,Track,1000014748,
0.012674,um/s,Track,1000014750,
0.0169753,um/s,Track,1000014752,
0.0126096,um/s,Track,1000014756,
0.0186803,um/s,Track,1000014762,
0.0338617,um/s,Track,1000014764,
0.00723309,um/s,Track,1000014765,
0.0126519,um/s,Track,1000014775,
0.0245238,um/s,Track,1000014776,
0.00855012,um/s,Track,1000014780,
0.014613,um/s,Track,1000014783,
0.0148617,um/s,Track,1000014786,
0.00365722,um/s,Track,1000014798,
0.0313243,um/s,Track,1000014800,
0.0151653,um/s,Track,1000014803,
0.0136128,um/s,Track,1000014804,
0.0154736,um/s,Track,1000014809,
0.0172653,um/s,Track,1000014822,
0.00984127,um/s,Track,1000014846,
0.0163439,um/s,Track,1000014848,
0.0279605,um/s,Track,1000014852,
0.0118145,um/s,Track,1000014859,
0.0183209,um/s,Track,1000014887,
0.0105643,um/s,Track,1000014909,
0.0231315,um/s,Track,1000014918,
0.0109646,um/s,Track,1000014926,
0.0277069,um/s,Track,1000014938,
0.010464,um/s,Track,1000014939,
0.0234152,um/s,Track,1000014943,
0.015848,um/s,Track,1000014948,
0.00826165,um/s,Track,1000014950,
0.0272951,um/s,Track,1000014956,
0.00642775,um/s,Track,1000014964,
0.0268606,um/s,Track,1000014966,
0.0177658,um/s,Track,1000014981,
0.017816,um/s,Track,1000014991,
