
Track Ellipticity Prolate Mean
 ==================== 
Track Ellipticity Prolate Mean,Unit,Category,ID,
0.407284,um,Track,1000015455,
0.403726,um,Track,1000015461,
0.422561,um,Track,1000015477,
0.327468,um,Track,1000015497,
0.492649,um,Track,1000015502,
0.478751,um,Track,1000015503,
0.469165,um,Track,1000015508,
0.396903,um,Track,1000015516,
0.502996,um,Track,1000015525,
0.546377,um,Track,1000015536,
0.576496,um,Track,1000015541,
0.494153,um,Track,1000015557,
0.450404,um,Track,1000015590,
0.520182,um,Track,1000015591,
0.461701,um,Track,1000015593,
0.503577,um,Track,1000015622,
0.364374,um,Track,1000015630,
0.506423,um,Track,1000015650,
0.295056,um,Track,1000015674,
0.338719,um,Track,1000015675,
0.406736,um,Track,1000015678,
0.528571,um,Track,1000015680,
0.485502,um,Track,1000015682,
0.561049,um,Track,1000015700,
0.456774,um,Track,1000015706,
0.391289,um,Track,1000015719,
0.729384,um,Track,1000015724,
0.393848,um,Track,1000015726,
0.476198,um,Track,1000015727,
0.621248,um,Track,1000015732,
0.505063,um,Track,1000015744,
0.479918,um,Track,1000015750,
0.544359,um,Track,1000015752,
0.237081,um,Track,1000015753,
0.258478,um,Track,1000015756,
0.306289,um,Track,1000015758,
0.2841,um,Track,1000015767,
0.545711,um,Track,1000015768,
0.343581,um,Track,1000015772,
0.364548,um,Track,1000015781,
0.609024,um,Track,1000015782,
0.324561,um,Track,1000015808,
0.458154,um,Track,1000015810,
0.64519,um,Track,1000015856,
0.429707,um,Track,1000015857,
0.704319,um,Track,1000015872,
0.428735,um,Track,1000015881,
0.4278,um,Track,1000015885,
0.44343,um,Track,1000015891,
0.66303,um,Track,1000015910,
0.300235,um,Track,1000015931,
0.64636,um,Track,1000015937,
0.420345,um,Track,1000015951,
0.499165,um,Track,1000015960,
0.59703,um,Track,1000015964,
0.362108,um,Track,1000015975,
0.598642,um,Track,1000015996,
0.310603,um,Track,1000016009,
0.462745,um,Track,1000016017,
0.418908,um,Track,1000016024,
0.486262,um,Track,1000016031,
0.462184,um,Track,1000016045,
0.533181,um,Track,1000016051,
0.468133,um,Track,1000016052,
0.528224,um,Track,1000016073,
0.579917,um,Track,1000016077,
0.35937,um,Track,1000016083,
0.321852,um,Track,1000016095,
0.357395,um,Track,1000016100,
0.393267,um,Track,1000016102,
0.363042,um,Track,1000016107,
0.510296,um,Track,1000016109,
0.461066,um,Track,1000016117,
0.596502,um,Track,1000016143,
0.559948,um,Track,1000016167,
0.368461,um,Track,1000016188,
0.589761,um,Track,1000016195,
0.47135,um,Track,1000016200,
0.321567,um,Track,1000016214,
0.35685,um,Track,1000016218,
0.371788,um,Track,1000016223,
0.504842,um,Track,1000016232,
0.36552,um,Track,1000016233,
0.233818,um,Track,1000016235,
0.475635,um,Track,1000016250,
0.560968,um,Track,1000016259,
0.519442,um,Track,1000016275,
0.625909,um,Track,1000016281,
0.565826,um,Track,1000016292,
0.440933,um,Track,1000016299,
0.453174,um,Track,1000016304,
0.503648,um,Track,1000016316,
0.458104,um,Track,1000016320,
0.367266,um,Track,1000016332,
0.281181,um,Track,1000016337,
0.374446,um,Track,1000016338,
0.53251,um,Track,1000016342,
0.528617,um,Track,1000016354,
0.516706,um,Track,1000016357,
0.633968,um,Track,1000016360,
0.181084,um,Track,1000016381,
0.347072,um,Track,1000016386,
0.454073,um,Track,1000016390,
0.726463,um,Track,1000016397,
0.619705,um,Track,1000016402,
0.379822,um,Track,1000016404,
0.439607,um,Track,1000016415,
0.553466,um,Track,1000016419,
0.442158,um,Track,1000016423,
0.455845,um,Track,1000016426,
0.523157,um,Track,1000016430,
0.626288,um,Track,1000016436,
0.380585,um,Track,1000016453,
0.466556,um,Track,1000016466,
0.374777,um,Track,1000016468,
0.293486,um,Track,1000016474,
0.704675,um,Track,1000016475,
0.609767,um,Track,1000016485,
0.252328,um,Track,1000016504,
0.592942,um,Track,1000016508,
0.365086,um,Track,1000016512,
0.6327,um,Track,1000016521,
0.522058,um,Track,1000016531,
0.386671,um,Track,1000016534,
0.473216,um,Track,1000016542,
0.453804,um,Track,1000016585,
0.533631,um,Track,1000016590,
0.474371,um,Track,1000016591,
0.358573,um,Track,1000016603,
0.338097,um,Track,1000016609,
0.388123,um,Track,1000016611,
0.391122,um,Track,1000016612,
0.449986,um,Track,1000016623,
0.739282,um,Track,1000016626,
0.629921,um,Track,1000016639,
0.372403,um,Track,1000016641,
0.565819,um,Track,1000016643,
0.53033,um,Track,1000016665,
0.478189,um,Track,1000016666,
0.579928,um,Track,1000016674,
0.600469,um,Track,1000016677,
0.391707,um,Track,1000016700,
0.661758,um,Track,1000016703,
0.641427,um,Track,1000016708,
