
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,TrackID,ID,
0.86997,,Surface,1,1000014184,14184,
0.892756,,Surface,1,1000014185,14185,
0.914456,,Surface,1,1000014186,14186,
0.891935,,Surface,1,1000014187,14187,
0.83349,,Surface,1,1000014188,14188,
0.894203,,Surface,1,1000014189,14189,
0.890909,,Surface,1,1000014190,14190,
0.89674,,Surface,1,1000014191,14191,
0.895033,,Surface,1,1000014192,14192,
0.80998,,Surface,1,1000014193,14193,
0.814899,,Surface,1,1000014194,14194,
0.866192,,Surface,1,1000014195,14195,
0.78051,,Surface,1,1000014196,14196,
0.830501,,Surface,1,1000014197,14197,
0.8906,,Surface,1,1000014198,14198,
0.847342,,Surface,1,1000014199,14199,
0.911436,,Surface,1,1000014200,14200,
0.855829,,Surface,1,1000014201,14201,
0.863751,,Surface,1,1000014202,14202,
0.910441,,Surface,2,1000014185,14203,
0.889816,,Surface,2,1000014184,14204,
0.916118,,Surface,2,1000014186,14205,
0.790692,,Surface,2,1000014187,14206,
0.815844,,Surface,2,1000014207,14207,
0.746928,,Surface,2,1000014188,14208,
0.913175,,Surface,2,1000014189,14209,
0.898358,,Surface,2,1000014210,14210,
0.946688,,Surface,2,1000014190,14211,
0.663916,,Surface,2,1000014212,14212,
0.891792,,Surface,2,1000014191,14213,
0.883813,,Surface,2,1000014192,14214,
0.825965,,Surface,2,1000014193,14215,
0.82968,,Surface,2,1000014216,14216,
0.892646,,Surface,2,1000014194,14217,
0.77115,,Surface,2,1000014218,14218,
0.871806,,Surface,2,1000014195,14219,
0.837849,,Surface,2,1000014220,14220,
0.826015,,Surface,2,1000014196,14221,
0.785612,,Surface,2,1000014197,14222,
0.89479,,Surface,2,1000014223,14223,
0.941478,,Surface,2,1000014199,14224,
0.873236,,Surface,2,1000014198,14225,
0.878745,,Surface,2,1000014200,14226,
0.885582,,Surface,2,1000014201,14227,
0.878032,,Surface,2,1000014202,14228,
0.935296,,Surface,3,1000014185,14229,
0.862848,,Surface,3,1000014184,14230,
0.881723,,Surface,3,1000014186,14231,
0.765079,,Surface,3,1000014187,14232,
0.860259,,Surface,3,1000014233,14233,
0.790264,,Surface,3,1000014207,14234,
0.665927,,Surface,3,1000014188,14235,
0.922685,,Surface,3,1000014236,14236,
0.900367,,Surface,3,1000014189,14237,
0.890489,,Surface,3,1000014210,14238,
0.844378,,Surface,3,1000014239,14239,
0.904355,,Surface,3,1000014190,14240,
0.670308,,Surface,3,1000014212,14241,
0.86759,,Surface,3,1000014242,14242,
0.87591,,Surface,3,1000014191,14243,
0.922958,,Surface,3,1000014192,14244,
0.880519,,Surface,3,1000014193,14245,
0.799019,,Surface,3,1000014216,14246,
0.802296,,Surface,3,1000014194,14247,
0.80436,,Surface,3,1000014218,14248,
0.843376,,Surface,3,1000014195,14249,
0.860736,,Surface,3,1000014220,14250,
0.789764,,Surface,3,1000014196,14251,
0.805568,,Surface,3,1000014197,14252,
0.87907,,Surface,3,1000014223,14253,
0.822273,,Surface,3,1000014198,14254,
0.928975,,Surface,3,1000014199,14255,
0.897801,,Surface,3,1000014200,14256,
0.851089,,Surface,3,1000014201,14257,
0.742134,,Surface,3,1000014202,14258,
0.93643,,Surface,4,1000014185,14259,
0.877374,,Surface,4,1000014184,14260,
0.868927,,Surface,4,1000014261,14261,
0.886852,,Surface,4,1000014186,14262,
0.805596,,Surface,4,1000014187,14263,
0.887709,,Surface,4,1000014233,14264,
0.825898,,Surface,4,1000014207,14265,
0.713047,,Surface,4,1000014188,14266,
0.920605,,Surface,4,1000014236,14267,
0.8917,,Surface,4,1000014189,14268,
0.909957,,Surface,4,1000014210,14269,
0.781361,,Surface,4,1000014190,14270,
0.838287,,Surface,4,1000014239,14271,
0.746924,,Surface,4,1000014212,14272,
0.832362,,Surface,4,1000014242,14273,
0.819557,,Surface,4,1000014191,14274,
0.915245,,Surface,4,1000014275,14275,
0.936205,,Surface,4,1000014192,14276,
0.875019,,Surface,4,1000014193,14277,
0.674495,,Surface,4,1000014216,14278,
0.751292,,Surface,4,1000014194,14279,
0.826601,,Surface,4,1000014218,14280,
0.832061,,Surface,4,1000014195,14281,
0.834246,,Surface,4,1000014220,14282,
0.807501,,Surface,4,1000014196,14283,
0.812507,,Surface,4,1000014197,14284,
0.872545,,Surface,4,1000014223,14285,
0.926723,,Surface,4,1000014199,14286,
0.789766,,Surface,4,1000014198,14287,
0.726351,,Surface,4,1000014288,14288,
0.882302,,Surface,4,1000014289,14289,
0.856075,,Surface,4,1000014200,14290,
0.842938,,Surface,4,1000014201,14291,
0.805023,,Surface,4,1000014202,14292,
0.853042,,Surface,5,1000014184,14293,
0.912345,,Surface,5,1000014185,14294,
0.769566,,Surface,5,1000014261,14295,
0.868579,,Surface,5,1000014186,14296,
0.850511,,Surface,5,1000014187,14297,
0.906511,,Surface,5,1000014298,14298,
0.841237,,Surface,5,1000014299,14299,
0.876299,,Surface,5,1000014233,14300,
0.83507,,Surface,5,1000014207,14301,
0.836609,,Surface,5,1000014302,14302,
0.84725,,Surface,5,1000014236,14303,
0.65683,,Surface,5,1000014304,14304,
