
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
90.914,um,Surface,Image 1,5,1000014302,14302,
171.159,um,Surface,Image 1,5,1000014236,14303,
140.384,um,Surface,Image 1,5,1000014304,14304,
171.482,um,Surface,Image 1,5,1000014189,14305,
127.529,um,Surface,Image 1,5,1000014210,14306,
130.575,um,Surface,Image 1,5,1000014239,14307,
67.9127,um,Surface,Image 1,5,1000014190,14308,
131.735,um,Surface,Image 1,5,1000014212,14309,
141.394,um,Surface,Image 1,5,1000014242,14310,
48.4972,um,Surface,Image 1,5,1000014191,14311,
129.21,um,Surface,Image 1,5,1000014275,14312,
132.496,um,Surface,Image 1,5,1000014192,14313,
85.6921,um,Surface,Image 1,5,1000014193,14314,
87.755,um,Surface,Image 1,5,1000014216,14315,
120.112,um,Surface,Image 1,5,1000014194,14316,
71.6104,um,Surface,Image 1,5,1000014218,14317,
72.5444,um,Surface,Image 1,5,1000014220,14318,
93.5709,um,Surface,Image 1,5,1000014196,14319,
83.3956,um,Surface,Image 1,5,1000014197,14320,
107.436,um,Surface,Image 1,5,1000014223,14321,
58.3558,um,Surface,Image 1,5,1000014288,14322,
71.7141,um,Surface,Image 1,5,1000014199,14323,
97.9713,um,Surface,Image 1,5,1000014198,14324,
83.4693,um,Surface,Image 1,5,1000014289,14325,
71.0057,um,Surface,Image 1,5,1000014200,14326,
90.0838,um,Surface,Image 1,5,1000014201,14327,
45.2494,um,Surface,Image 1,5,1000014202,14328,
13.7632,um,Surface,Image 1,6,1000014329,14329,
13.6239,um,Surface,Image 1,6,1000014185,14330,
128.805,um,Surface,Image 1,6,1000014331,14331,
163.681,um,Surface,Image 1,6,1000014184,14332,
134.465,um,Surface,Image 1,6,1000014261,14333,
187.701,um,Surface,Image 1,6,1000014187,14334,
173.978,um,Surface,Image 1,6,1000014298,14335,
130.616,um,Surface,Image 1,6,1000014299,14336,
173.941,um,Surface,Image 1,6,1000014233,14337,
175.922,um,Surface,Image 1,6,1000014207,14338,
93.5709,um,Surface,Image 1,6,1000014302,14339,
169.947,um,Surface,Image 1,6,1000014236,14340,
138.997,um,Surface,Image 1,6,1000014304,14341,
172.972,um,Surface,Image 1,6,1000014189,14342,
126.615,um,Surface,Image 1,6,1000014210,14343,
132.131,um,Surface,Image 1,6,1000014239,14344,
134.005,um,Surface,Image 1,6,1000014212,14345,
63.712,um,Surface,Image 1,6,1000014190,14346,
140.434,um,Surface,Image 1,6,1000014242,14347,
130.029,um,Surface,Image 1,6,1000014275,14348,
86.1946,um,Surface,Image 1,6,1000014193,14349,
51.8323,um,Surface,Image 1,6,1000014350,14350,
87.9602,um,Surface,Image 1,6,1000014216,14351,
73.5378,um,Surface,Image 1,6,1000014218,14352,
85.1853,um,Surface,Image 1,6,1000014353,14353,
93.4048,um,Surface,Image 1,6,1000014196,14354,
82.1133,um,Surface,Image 1,6,1000014197,14355,
98.2999,um,Surface,Image 1,6,1000014198,14356,
71.8179,um,Surface,Image 1,6,1000014199,14357,
84.3641,um,Surface,Image 1,6,1000014289,14358,
53.1294,um,Surface,Image 1,6,1000014288,14359,
72.5171,um,Surface,Image 1,6,1000014200,14360,
90.5508,um,Surface,Image 1,6,1000014201,14361,
46.0797,um,Surface,Image 1,6,1000014202,14362,
12.9521,um,Surface,Image 1,7,1000014185,14363,
14.9967,um,Surface,Image 1,7,1000014329,14364,
128.94,um,Surface,Image 1,7,1000014331,14365,
163.092,um,Surface,Image 1,7,1000014184,14366,
184.853,um,Surface,Image 1,7,1000014187,14367,
132.095,um,Surface,Image 1,7,1000014261,14368,
171.494,um,Surface,Image 1,7,1000014298,14369,
130.53,um,Surface,Image 1,7,1000014299,14370,
181.607,um,Surface,Image 1,7,1000014207,14371,
174.134,um,Surface,Image 1,7,1000014233,14372,
92.4362,um,Surface,Image 1,7,1000014302,14373,
141.62,um,Surface,Image 1,7,1000014304,14374,
175.601,um,Surface,Image 1,7,1000014189,14375,
134.996,um,Surface,Image 1,7,1000014239,14376,
67.9158,um,Surface,Image 1,7,1000014190,14377,
133.258,um,Surface,Image 1,7,1000014212,14378,
130.559,um,Surface,Image 1,7,1000014275,14379,
89.2535,um,Surface,Image 1,7,1000014193,14380,
50.3806,um,Surface,Image 1,7,1000014350,14381,
89.9705,um,Surface,Image 1,7,1000014216,14382,
71.8818,um,Surface,Image 1,7,1000014218,14383,
89.0691,um,Surface,Image 1,7,1000014353,14384,
86.7628,um,Surface,Image 1,7,1000014197,14385,
71.8179,um,Surface,Image 1,7,1000014199,14386,
84.1442,um,Surface,Image 1,7,1000014289,14387,
97.9021,um,Surface,Image 1,7,1000014198,14388,
57.4849,um,Surface,Image 1,7,1000014288,14389,
74.1703,um,Surface,Image 1,7,1000014200,14390,
89.035,um,Surface,Image 1,7,1000014201,14391,
164.116,um,Surface,Image 1,8,1000014184,14392,
130.645,um,Surface,Image 1,8,1000014331,14393,
164.986,um,Surface,Image 1,8,1000014394,14394,
16.1902,um,Surface,Image 1,8,1000014329,14395,
12.8313,um,Surface,Image 1,8,1000014185,14396,
190.601,um,Surface,Image 1,8,1000014397,14397,
173.983,um,Surface,Image 1,8,1000014298,14398,
131.36,um,Surface,Image 1,8,1000014299,14399,
42.7393,um,Surface,Image 1,8,1000014400,14400,
174.926,um,Surface,Image 1,8,1000014233,14401,
94.9823,um,Surface,Image 1,8,1000014402,14402,
90.914,um,Surface,Image 1,8,1000014302,14403,
141.56,um,Surface,Image 1,8,1000014304,14404,
174.037,um,Surface,Image 1,8,1000014189,14405,
136.765,um,Surface,Image 1,8,1000014239,14406,
134.088,um,Surface,Image 1,8,1000014407,14407,
88.4751,um,Surface,Image 1,8,1000014193,14408,
48.8392,um,Surface,Image 1,8,1000014350,14409,
91.0178,um,Surface,Image 1,8,1000014216,14410,
74.9154,um,Surface,Image 1,8,1000014218,14411,
82.3741,um,Surface,Image 1,8,1000014412,14412,
88.285,um,Surface,Image 1,8,1000014353,14413,
94.8993,um,Surface,Image 1,8,1000014414,14414,
85.8288,um,Surface,Image 1,8,1000014197,14415,
84.9361,um,Surface,Image 1,8,1000014289,14416,
72.6482,um,Surface,Image 1,8,1000014199,14417,
99.0932,um,Surface,Image 1,8,1000014198,14418,
77.6298,um,Surface,Image 1,8,1000014200,14419,
91.8575,um,Surface,Image 1,8,1000014201,14420,
173.941,um,Surface,Image 1,9,1000014298,14421,
178.369,um,Surface,Image 1,9,1000014422,14422,
191.169,um,Surface,Image 1,9,1000014397,14423,
164.946,um,Surface,Image 1,9,1000014184,14424,
166.589,um,Surface,Image 1,9,1000014394,14425,
130.842,um,Surface,Image 1,9,1000014331,14426,
16.1209,um,Surface,Image 1,9,1000014329,14427,
12.9068,um,Surface,Image 1,9,1000014185,14428,
