
Track Number of Surfaces
 ==================== 
Track Number of Surfaces,Unit,Category,ID,
9,,Track,1000016095,
5,,Track,1000016100,
6,,Track,1000016102,
19,,Track,1000016107,
10,,Track,1000016109,
4,,Track,1000016117,
4,,Track,1000016143,
4,,Track,1000016167,
5,,Track,1000016188,
4,,Track,1000016195,
4,,Track,1000016200,
4,,Track,1000016214,
4,,Track,1000016218,
5,,Track,1000016223,
5,,Track,1000016232,
5,,Track,1000016233,
4,,Track,1000016235,
6,,Track,1000016250,
5,,Track,1000016259,
5,,Track,1000016275,
4,,Track,1000016281,
5,,Track,1000016292,
17,,Track,1000016299,
9,,Track,1000016304,
5,,Track,1000016316,
6,,Track,1000016320,
6,,Track,1000016332,
5,,Track,1000016337,
4,,Track,1000016338,
7,,Track,1000016342,
7,,Track,1000016354,
4,,Track,1000016357,
16,,Track,1000016360,
5,,Track,1000016381,
4,,Track,1000016386,
5,,Track,1000016390,
4,,Track,1000016397,
15,,Track,1000016402,
4,,Track,1000016404,
5,,Track,1000016415,
4,,Track,1000016419,
4,,Track,1000016423,
4,,Track,1000016426,
10,,Track,1000016430,
7,,Track,1000016436,
4,,Track,1000016453,
9,,Track,1000016466,
4,,Track,1000016468,
5,,Track,1000016474,
5,,Track,1000016475,
6,,Track,1000016485,
5,,Track,1000016504,
4,,Track,1000016508,
4,,Track,1000016512,
5,,Track,1000016521,
11,,Track,1000016531,
11,,Track,1000016534,
6,,Track,1000016542,
4,,Track,1000016585,
4,,Track,1000016590,
8,,Track,1000016591,
8,,Track,1000016603,
8,,Track,1000016609,
5,,Track,1000016611,
4,,Track,1000016612,
6,,Track,1000016623,
7,,Track,1000016626,
4,,Track,1000016639,
4,,Track,1000016641,
6,,Track,1000016643,
5,,Track,1000016665,
5,,Track,1000016666,
5,,Track,1000016674,
5,,Track,1000016677,
4,,Track,1000016700,
4,,Track,1000016703,
4,,Track,1000016708,
