
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
192.075,,Surface,3,Image 1,5,1000014207,14301,
253.996,,Surface,3,Image 1,5,1000014302,14302,
161.08,,Surface,3,Image 1,5,1000014236,14303,
159.494,,Surface,3,Image 1,5,1000014304,14304,
210.499,,Surface,3,Image 1,5,1000014189,14305,
253.978,,Surface,3,Image 1,5,1000014210,14306,
129.012,,Surface,3,Image 1,5,1000014239,14307,
133.992,,Surface,3,Image 1,5,1000014190,14308,
193.484,,Surface,3,Image 1,5,1000014212,14309,
253.946,,Surface,3,Image 1,5,1000014242,14310,
231.016,,Surface,3,Image 1,5,1000014191,14311,
254.055,,Surface,3,Image 1,5,1000014275,14312,
155.456,,Surface,3,Image 1,5,1000014192,14313,
174.949,,Surface,3,Image 1,5,1000014193,14314,
144.973,,Surface,3,Image 1,5,1000014216,14315,
208.952,,Surface,3,Image 1,5,1000014194,14316,
160.464,,Surface,3,Image 1,5,1000014218,14317,
124.49,,Surface,3,Image 1,5,1000014220,14318,
253.973,,Surface,3,Image 1,5,1000014196,14319,
213.024,,Surface,3,Image 1,5,1000014197,14320,
188.009,,Surface,3,Image 1,5,1000014223,14321,
220.48,,Surface,3,Image 1,5,1000014288,14322,
254,,Surface,3,Image 1,5,1000014199,14323,
179.458,,Surface,3,Image 1,5,1000014198,14324,
227.044,,Surface,3,Image 1,5,1000014289,14325,
253.932,,Surface,3,Image 1,5,1000014200,14326,
232.049,,Surface,3,Image 1,5,1000014201,14327,
159.99,,Surface,3,Image 1,5,1000014202,14328,
113.988,,Surface,3,Image 1,6,1000014329,14329,
202.004,,Surface,3,Image 1,6,1000014185,14330,
153,,Surface,3,Image 1,6,1000014331,14331,
153.065,,Surface,3,Image 1,6,1000014184,14332,
167.972,,Surface,3,Image 1,6,1000014261,14333,
156.08,,Surface,3,Image 1,6,1000014187,14334,
182.954,,Surface,3,Image 1,6,1000014298,14335,
231.96,,Surface,3,Image 1,6,1000014299,14336,
181.96,,Surface,3,Image 1,6,1000014233,14337,
186.014,,Surface,3,Image 1,6,1000014207,14338,
241.004,,Surface,3,Image 1,6,1000014302,14339,
146.096,,Surface,3,Image 1,6,1000014236,14340,
189.04,,Surface,3,Image 1,6,1000014304,14341,
140.982,,Surface,3,Image 1,6,1000014189,14342,
234.512,,Surface,3,Image 1,6,1000014210,14343,
145.088,,Surface,3,Image 1,6,1000014239,14344,
226.015,,Surface,3,Image 1,6,1000014212,14345,
169.944,,Surface,3,Image 1,6,1000014190,14346,
238.5,,Surface,3,Image 1,6,1000014242,14347,
222,,Surface,3,Image 1,6,1000014275,14348,
227.017,,Surface,3,Image 1,6,1000014193,14349,
124.018,,Surface,3,Image 1,6,1000014350,14350,
175.456,,Surface,3,Image 1,6,1000014216,14351,
141.04,,Surface,3,Image 1,6,1000014218,14352,
253.99,,Surface,3,Image 1,6,1000014353,14353,
216.028,,Surface,3,Image 1,6,1000014196,14354,
246.479,,Surface,3,Image 1,6,1000014197,14355,
170.92,,Surface,3,Image 1,6,1000014198,14356,
253.945,,Surface,3,Image 1,6,1000014199,14357,
249.02,,Surface,3,Image 1,6,1000014289,14358,
146.012,,Surface,3,Image 1,6,1000014288,14359,
254.105,,Surface,3,Image 1,6,1000014200,14360,
254.04,,Surface,3,Image 1,6,1000014201,14361,
151.955,,Surface,3,Image 1,6,1000014202,14362,
157.016,,Surface,3,Image 1,7,1000014185,14363,
123.512,,Surface,3,Image 1,7,1000014329,14364,
145.52,,Surface,3,Image 1,7,1000014331,14365,
187.964,,Surface,3,Image 1,7,1000014184,14366,
141.013,,Surface,3,Image 1,7,1000014187,14367,
136.04,,Surface,3,Image 1,7,1000014261,14368,
155.996,,Surface,3,Image 1,7,1000014298,14369,
192.967,,Surface,3,Image 1,7,1000014299,14370,
178.931,,Surface,3,Image 1,7,1000014207,14371,
188.991,,Surface,3,Image 1,7,1000014233,14372,
253.978,,Surface,3,Image 1,7,1000014302,14373,
220.967,,Surface,3,Image 1,7,1000014304,14374,
155.5,,Surface,3,Image 1,7,1000014189,14375,
142.512,,Surface,3,Image 1,7,1000014239,14376,
153.96,,Surface,3,Image 1,7,1000014190,14377,
253.975,,Surface,3,Image 1,7,1000014212,14378,
232.952,,Surface,3,Image 1,7,1000014275,14379,
168.02,,Surface,3,Image 1,7,1000014193,14380,
155.985,,Surface,3,Image 1,7,1000014350,14381,
166.006,,Surface,3,Image 1,7,1000014216,14382,
169.991,,Surface,3,Image 1,7,1000014218,14383,
254.97,,Surface,3,Image 1,7,1000014353,14384,
244.496,,Surface,3,Image 1,7,1000014197,14385,
254.008,,Surface,3,Image 1,7,1000014199,14386,
253.988,,Surface,3,Image 1,7,1000014289,14387,
191.504,,Surface,3,Image 1,7,1000014198,14388,
170.496,,Surface,3,Image 1,7,1000014288,14389,
254.027,,Surface,3,Image 1,7,1000014200,14390,
243.099,,Surface,3,Image 1,7,1000014201,14391,
187.03,,Surface,3,Image 1,8,1000014184,14392,
149.024,,Surface,3,Image 1,8,1000014331,14393,
