
Track Intensity Sum Ch=6 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
29702,,Track,6,Image 1,1000015184,
34756,,Track,6,Image 1,1000015190,
17982,,Track,6,Image 1,1000015202,
30592,,Track,6,Image 1,1000015204,
11309,,Track,6,Image 1,1000015206,
5445,,Track,6,Image 1,1000015207,
34523,,Track,6,Image 1,1000015208,
68019,,Track,6,Image 1,1000015213,
20764,,Track,6,Image 1,1000015219,
13708,,Track,6,Image 1,1000015221,
4228,,Track,6,Image 1,1000015228,
34850,,Track,6,Image 1,1000015237,
29267,,Track,6,Image 1,1000015240,
35167,,Track,6,Image 1,1000015248,
142299,,Track,6,Image 1,1000015251,
24632,,Track,6,Image 1,1000015267,
6468,,Track,6,Image 1,1000015268,
11518,,Track,6,Image 1,1000015274,
57757,,Track,6,Image 1,1000015279,
49979,,Track,6,Image 1,1000015280,
10455,,Track,6,Image 1,1000015290,
32822,,Track,6,Image 1,1000015293,
10304,,Track,6,Image 1,1000015307,
18106,,Track,6,Image 1,1000015308,
14474,,Track,6,Image 1,1000015348,
4491,,Track,6,Image 1,1000015352,
12420,,Track,6,Image 1,1000015353,
12525,,Track,6,Image 1,1000015362,
9608,,Track,6,Image 1,1000015370,
13609,,Track,6,Image 1,1000015377,
27885,,Track,6,Image 1,1000015388,
14681,,Track,6,Image 1,1000015394,
5180,,Track,6,Image 1,1000015400,
43007,,Track,6,Image 1,1000015407,
6160,,Track,6,Image 1,1000015415,
18574,,Track,6,Image 1,1000015421,
46897,,Track,6,Image 1,1000015432,
5621,,Track,6,Image 1,1000015443,
14088,,Track,6,Image 1,1000015450,
16867,,Track,6,Image 1,1000015455,
6525,,Track,6,Image 1,1000015461,
36552,,Track,6,Image 1,1000015477,
5926,,Track,6,Image 1,1000015497,
24826,,Track,6,Image 1,1000015502,
21912,,Track,6,Image 1,1000015503,
10776,,Track,6,Image 1,1000015508,
9571,,Track,6,Image 1,1000015516,
