
Track Speed Variation
 ==================== 
Track Speed Variation,Unit,Category,ID,
0.269557,,Track,1000014184,
0.336354,,Track,1000014185,
0.220424,,Track,1000014186,
0.337735,,Track,1000014187,
0.518034,,Track,1000014188,
0.333247,,Track,1000014189,
0.530169,,Track,1000014190,
0.324674,,Track,1000014191,
0.235151,,Track,1000014192,
0.237154,,Track,1000014193,
0.366529,,Track,1000014194,
0.144184,,Track,1000014195,
0.167368,,Track,1000014196,
0.32557,,Track,1000014197,
0.377618,,Track,1000014198,
0.406852,,Track,1000014199,
0.373411,,Track,1000014200,
0.262958,,Track,1000014201,
0.29965,,Track,1000014202,
0.529014,,Track,1000014207,
0.354244,,Track,1000014210,
0.171818,,Track,1000014212,
0.137305,,Track,1000014216,
0.181107,,Track,1000014218,
0.225145,,Track,1000014220,
0.386616,,Track,1000014223,
0.139508,,Track,1000014233,
0.192402,,Track,1000014236,
0.27851,,Track,1000014239,
0.111167,,Track,1000014242,
0.120392,,Track,1000014261,
0.224956,,Track,1000014275,
0.304688,,Track,1000014288,
0.333661,,Track,1000014289,
0.44844,,Track,1000014298,
0.442456,,Track,1000014299,
0.0474018,,Track,1000014302,
0.450326,,Track,1000014304,
0.230501,,Track,1000014329,
0.443236,,Track,1000014331,
0.352267,,Track,1000014350,
0.354853,,Track,1000014353,
0.299415,,Track,1000014394,
0.362135,,Track,1000014397,
0.349778,,Track,1000014400,
0.0492359,,Track,1000014402,
0.54665,,Track,1000014407,
0.291113,,Track,1000014412,
0.321764,,Track,1000014414,
0.0707449,,Track,1000014422,
0.291639,,Track,1000014430,
0.200088,,Track,1000014433,
0.0687481,,Track,1000014436,
0.172067,,Track,1000014438,
0.438327,,Track,1000014439,
0.32218,,Track,1000014440,
0.307015,,Track,1000014447,
0.557757,,Track,1000014453,
0.40879,,Track,1000014459,
0.50778,,Track,1000014465,
0.133308,,Track,1000014470,
0.192102,,Track,1000014493,
0.389032,,Track,1000014501,
0.259299,,Track,1000014521,
0.300149,,Track,1000014536,
0.141804,,Track,1000014545,
0.179674,,Track,1000014556,
0.340804,,Track,1000014582,
0.64976,,Track,1000014583,
0.561108,,Track,1000014584,
0.0675573,,Track,1000014586,
0.330572,,Track,1000014591,
0.181759,,Track,1000014605,
0.424445,,Track,1000014607,
0.647013,,Track,1000014626,
0.496679,,Track,1000014627,
0.264906,,Track,1000014647,
0.201013,,Track,1000014648,
0.0965858,,Track,1000014656,
0.658742,,Track,1000014658,
0.279799,,Track,1000014659,
0.28528,,Track,1000014661,
0.440863,,Track,1000014663,
0.347929,,Track,1000014668,
0.349315,,Track,1000014676,
0.412155,,Track,1000014683,
0.276833,,Track,1000014686,
0.184124,,Track,1000014702,
0.440072,,Track,1000014710,
0.437293,,Track,1000014716,
0.320738,,Track,1000014732,
0.401558,,Track,1000014748,
0.280098,,Track,1000014750,
0.415615,,Track,1000014752,
0.219322,,Track,1000014756,
0.523451,,Track,1000014762,
0.360409,,Track,1000014764,
0.121135,,Track,1000014765,
0.227157,,Track,1000014775,
0.41004,,Track,1000014776,
0.296317,,Track,1000014780,
0.27879,,Track,1000014783,
0.39821,,Track,1000014786,
0.032221,,Track,1000014798,
0.258758,,Track,1000014800,
0.279439,,Track,1000014803,
0.10082,,Track,1000014804,
0.309265,,Track,1000014809,
0.369005,,Track,1000014822,
0.217076,,Track,1000014846,
0.210132,,Track,1000014848,
0.363273,,Track,1000014852,
0.210886,,Track,1000014859,
0.277004,,Track,1000014887,
0.284503,,Track,1000014909,
0.427584,,Track,1000014918,
0.206027,,Track,1000014926,
0.32565,,Track,1000014938,
0.258024,,Track,1000014939,
0.339696,,Track,1000014943,
0.182531,,Track,1000014948,
0.142694,,Track,1000014950,
0.279067,,Track,1000014956,
0.206996,,Track,1000014964,
0.270957,,Track,1000014966,
0.222123,,Track,1000014981,
