
Track Speed Max
 ==================== 
Track Speed Max,Unit,Category,ID,
0.0587446,um/s,Track,1000014184,
0.0540311,um/s,Track,1000014185,
0.0709555,um/s,Track,1000014186,
0.0551215,um/s,Track,1000014187,
0.144894,um/s,Track,1000014188,
0.112045,um/s,Track,1000014189,
0.0968128,um/s,Track,1000014190,
0.0516744,um/s,Track,1000014191,
0.0562203,um/s,Track,1000014192,
0.0591401,um/s,Track,1000014193,
0.10713,um/s,Track,1000014194,
0.051094,um/s,Track,1000014195,
0.0538803,um/s,Track,1000014196,
0.115604,um/s,Track,1000014197,
0.0990016,um/s,Track,1000014198,
0.0736108,um/s,Track,1000014199,
0.105313,um/s,Track,1000014200,
0.0566877,um/s,Track,1000014201,
0.0364131,um/s,Track,1000014202,
0.07307,um/s,Track,1000014207,
0.0548244,um/s,Track,1000014210,
0.0478617,um/s,Track,1000014212,
0.045292,um/s,Track,1000014216,
0.0744128,um/s,Track,1000014218,
0.125842,um/s,Track,1000014220,
0.0515618,um/s,Track,1000014223,
0.0446401,um/s,Track,1000014233,
0.0513612,um/s,Track,1000014236,
0.134516,um/s,Track,1000014239,
0.0253515,um/s,Track,1000014242,
0.131474,um/s,Track,1000014261,
0.0504815,um/s,Track,1000014275,
0.0780943,um/s,Track,1000014288,
0.143434,um/s,Track,1000014289,
0.125923,um/s,Track,1000014298,
0.0815598,um/s,Track,1000014299,
0.0798012,um/s,Track,1000014302,
0.137289,um/s,Track,1000014304,
0.0755376,um/s,Track,1000014329,
0.115797,um/s,Track,1000014331,
0.111412,um/s,Track,1000014350,
0.13434,um/s,Track,1000014353,
0.0720356,um/s,Track,1000014394,
0.0582881,um/s,Track,1000014397,
0.0677578,um/s,Track,1000014400,
0.0439154,um/s,Track,1000014402,
0.0474174,um/s,Track,1000014407,
0.0692009,um/s,Track,1000014412,
0.0557387,um/s,Track,1000014414,
0.0418501,um/s,Track,1000014422,
0.156642,um/s,Track,1000014430,
0.0941518,um/s,Track,1000014433,
0.0566109,um/s,Track,1000014436,
0.0465886,um/s,Track,1000014438,
0.0593769,um/s,Track,1000014439,
0.0588835,um/s,Track,1000014440,
0.0553112,um/s,Track,1000014447,
0.112256,um/s,Track,1000014453,
0.0934515,um/s,Track,1000014459,
0.108953,um/s,Track,1000014465,
0.0705418,um/s,Track,1000014470,
0.113318,um/s,Track,1000014493,
0.0673985,um/s,Track,1000014501,
0.0844613,um/s,Track,1000014521,
